ENSEMBL	Gene	Species
ENSG00000137203	TFAP2A	Human
ENSG00000008196	TFAP2B	Human
ENSG00000087510	TFAP2C	Human
ENSG00000008197	TFAP2D	Human
ENSG00000116819	TFAP2E	Human
ENSG00000116017	ARID3A	Human
ENSG00000179361	ARID3B	Human
ENSG00000205143	ARID3C	Human
ENSG00000196843	ARID5A	Human
ENSG00000150347	ARID5B	Human
ENSG00000117139	KDM5B	Human
ENSG00000189079	ARID2	Human
ENSG00000153207	AHCTF1	Human
ENSG00000126705	AHDC1	Human
ENSG00000106948	AKNA	Human
ENSG00000116539	ASH1L	Human
ENSG00000173894	CBX2	Human
ENSG00000101457	DNTTIP1	Human
ENSG00000104885	DOT1L	Human
ENSG00000140632	GLYR1	Human
ENSG00000137309	HMGA1	Human
ENSG00000149948	HMGA2	Human
ENSG00000025293	PHF20	Human
ENSG00000135365	PHF21A	Human
ENSG00000126464	PRR12	Human
ENSG00000146285	SCML4	Human
ENSG00000152217	SETBP1	Human
ENSG00000080603	SRCAP	Human
ENSG00000188070	C11orf95	Human
ENSG00000237765	FAM200B	Human
ENSG00000141258	SGSM2	Human
ENSG00000214717	ZBED1	Human
ENSG00000177494	ZBED2	Human
ENSG00000132846	ZBED3	Human
ENSG00000100426	ZBED4	Human
ENSG00000236287	ZBED5	Human
ENSG00000257315	ZBED6	Human
ENSG00000232040	ZBED9	Human
ENSG00000106546	AHR	Human
ENSG00000063438	AHRR	Human
ENSG00000143437	ARNT	Human
ENSG00000172379	ARNT2	Human
ENSG00000133794	ARNTL	Human
ENSG00000029153	ARNTL2	Human
ENSG00000139352	ASCL1	Human
ENSG00000183734	ASCL2	Human
ENSG00000176009	ASCL3	Human
ENSG00000187855	ASCL4	Human
ENSG00000232237	ASCL5	Human
ENSG00000172238	ATOH1	Human
ENSG00000179774	ATOH7	Human
ENSG00000168874	ATOH8	Human
ENSG00000180535	BHLHA15	Human
ENSG00000205899	BHLHA9	Human
ENSG00000180828	BHLHE22	Human
ENSG00000125533	BHLHE23	Human
ENSG00000134107	BHLHE40	Human
ENSG00000123095	BHLHE41	Human
ENSG00000250709	CCDC169-SOHLH2	Human
ENSG00000134852	CLOCK	Human
ENSG00000116016	EPAS1	Human
ENSG00000146618	FERD3L	Human
ENSG00000183733	FIGLA	Human
ENSG00000113196	HAND1	Human
ENSG00000164107	HAND2	Human
ENSG00000187821	HELT	Human
ENSG00000114315	HES1	Human
ENSG00000069812	HES2	Human
ENSG00000173673	HES3	Human
ENSG00000188290	HES4	Human
ENSG00000197921	HES5	Human
ENSG00000144485	HES6	Human
ENSG00000179111	HES7	Human
ENSG00000164683	HEY1	Human
ENSG00000135547	HEY2	Human
ENSG00000163909	HEYL	Human
ENSG00000100644	HIF1A	Human
ENSG00000124440	HIF3A	Human
ENSG00000104903	LYL1	Human
ENSG00000125952	MAX	Human
ENSG00000166823	MESP1	Human
ENSG00000188095	MESP2	Human
ENSG00000187098	MITF	Human
ENSG00000108788	MLX	Human
ENSG00000175727	MLXIP	Human
ENSG00000009950	MLXIPL	Human
ENSG00000070444	MNT	Human
ENSG00000178860	MSC	Human
ENSG00000151379	MSGN1	Human
ENSG00000059728	MXD1	Human
ENSG00000213347	MXD3	Human
ENSG00000123933	MXD4	Human
ENSG00000119950	MXI1	Human
ENSG00000136997	MYC	Human
ENSG00000116990	MYCL	Human
ENSG00000134323	MYCN	Human
ENSG00000111049	MYF5	Human
ENSG00000111046	MYF6	Human
ENSG00000129152	MYOD1	Human
ENSG00000122180	MYOG	Human
ENSG00000084676	NCOA1	Human
ENSG00000140396	NCOA2	Human
ENSG00000124151	NCOA3	Human
ENSG00000162992	NEUROD1	Human
ENSG00000171532	NEUROD2	Human
ENSG00000123307	NEUROD4	Human
ENSG00000164600	NEUROD6	Human
ENSG00000181965	NEUROG1	Human
ENSG00000178403	NEUROG2	Human
ENSG00000122859	NEUROG3	Human
ENSG00000171786	NHLH1	Human
ENSG00000177551	NHLH2	Human
ENSG00000130751	NPAS1	Human
ENSG00000170485	NPAS2	Human
ENSG00000151322	NPAS3	Human
ENSG00000174576	NPAS4	Human
ENSG00000184221	OLIG1	Human
ENSG00000205927	OLIG2	Human
ENSG00000177468	OLIG3	Human
