Method	Name	IsBaseline	Kind
Brennecke	Brennecke	False	selector-family
Brennecke-N100	Brennecke (N=100)	False	selector-setting
Brennecke-N200	Brennecke (N=200)	False	selector-setting
Brennecke-N500	Brennecke (N=500)	False	selector-setting
Brennecke-N1000	Brennecke (N=1000)	False	selector-setting
Brennecke-N2000	Brennecke (N=2000)	False	selector-setting
Brennecke-N5000	Brennecke (N=5000)	False	selector-setting
Brennecke-N10000	Brennecke (N=10000)	False	selector-setting
Brennecke-Nall	Brennecke (N=all)	False	selector-setting
TFs	Transcription factors	False	selector-family
TFs-N100	Transcription factors (N=100)	False	selector-setting
TFs-N200	Transcription factors (N=200)	False	selector-setting
TFs-N500	Transcription factors (N=500)	False	selector-setting
TFs-N1000	Transcription factors (N=1000)	False	selector-setting
TFs-N2000	Transcription factors (N=2000)	False	selector-setting
TFs-N5000	Transcription factors (N=5000)	False	selector-setting
TFs-N10000	Transcription factors (N=10000)	False	selector-setting
TFs-Nall	Transcription factors (N=all)	False	selector-setting
all_features	All features	True	selector-family
all_features-N100	All features (N=100)	True	selector-setting
all_features-N200	All features (N=200)	True	selector-setting
all_features-N500	All features (N=500)	True	selector-setting
all_features-N1000	All features (N=1000)	True	selector-setting
all_features-N2000	All features (N=2000)	True	selector-setting
all_features-N5000	All features (N=5000)	True	selector-setting
all_features-N10000	All features (N=10000)	True	selector-setting
all_features-Nall	All features (N=all)	True	selector-setting
anticor	Anticor	False	selector-family
anticor-N100	Anticor (N=100)	False	selector-setting
anticor-N200	Anticor (N=200)	False	selector-setting
anticor-N500	Anticor (N=500)	False	selector-setting
anticor-N1000	Anticor (N=1000)	False	selector-setting
anticor-N2000	Anticor (N=2000)	False	selector-setting
anticor-N5000	Anticor (N=5000)	False	selector-setting
anticor-N10000	Anticor (N=10000)	False	selector-setting
anticor-Nall	Anticor (N=all)	False	selector-setting
dubstepr	DUBStepR	False	selector-family
dubstepr-N100	DUBStepR (N=100)	False	selector-setting
dubstepr-N200	DUBStepR (N=200)	False	selector-setting
dubstepr-N500	DUBStepR (N=500)	False	selector-setting
dubstepr-N1000	DUBStepR (N=1000)	False	selector-setting
dubstepr-N2000	DUBStepR (N=2000)	False	selector-setting
dubstepr-N5000	DUBStepR (N=5000)	False	selector-setting
dubstepr-N10000	DUBStepR (N=10000)	False	selector-setting
dubstepr-Nall	DUBStepR (N=all)	False	selector-setting
hotspot	Hotspot	False	selector-family
hotspot-N100	Hotspot (N=100)	False	selector-setting
