Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.5182547505	0.5182547505	True	0	317.8434473723	100	cache_signature=bd62158f9666715b2610304ec75ac78b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.2368392813	1.2368392813	False	0	317.8434473723	100	cache_signature=bd62158f9666715b2610304ec75ac78b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0632954463	0.0632954463	True	0	318.2053331491	100	cache_signature=0d36e2dcfd4f9f07ad0900598f7a4251
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.1877256967	0.1877256967	True	0	318.2053331491	100	cache_signature=0d36e2dcfd4f9f07ad0900598f7a4251
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.2870075866	0.2870075866	True	0	318.2053331491	100	cache_signature=0d36e2dcfd4f9f07ad0900598f7a4251
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0591067855	0.0591067855	False	0	318.2053331491	100	cache_signature=0d36e2dcfd4f9f07ad0900598f7a4251
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0778894306	0.0778894306	False	0	318.2053331491	100	cache_signature=0d36e2dcfd4f9f07ad0900598f7a4251
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9789700864	0.9789700864	True	0	323.2693876326	100	cache_signature=42e4dcbccae1958bfde6557def3d6b2b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.2378796256	0.2378796256	True	0	323.2693876326	100	cache_signature=42e4dcbccae1958bfde6557def3d6b2b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5033522286	0.5033522286	True	0	323.2693876326	100	cache_signature=42e4dcbccae1958bfde6557def3d6b2b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.8473300141	0.8473300141	True	0	323.2693876326	100	cache_signature=42e4dcbccae1958bfde6557def3d6b2b
DLPFC	Visium	4	Brennecke-N100	Brennecke	100	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.4609871406	0.4609871406	True	0	323.2693876326	100	cache_signature=42e4dcbccae1958bfde6557def3d6b2b
