Dataset	Metric	Type	Lower	Upper	Range
DLPFC	Accuracy	Alignment	0.1725180228	0.7800272376	0.6075092148000001
DLPFC	CHAOS	Clustering	-0.083357573	-0.0579238314	0.025433741600000004
DLPFC	GC	Integration	0.251099158	0.994435774	0.7433366160000001
DLPFC	ILL	Integration	0.2107166615	0.6972805699	0.48656390839999997
DLPFC	PAS	Clustering	-0.9851830054	-0.0319339626	0.9532490428
DLPFC	Ratio	Alignment	-6.7107775281	-0.6944393312	6.0163381969000005
DLPFC	ari	Clustering	-0.000186162	0.4523700652	0.4525562272
DLPFC	bASW	Integration	0.2440876029	0.9957724646	0.7516848617
DLPFC	dASW	Integration	0.2840705067	0.529559778	0.24548927129999998
DLPFC	dLISI	Integration	0.4108191232	0.9471929148	0.5363737916
DLPFC	iLISI	Integration	0.0075638222	0.7943515828	0.7867877606
DLPFC	nmi	Clustering	0.0005024252	0.6001937279	0.5996913027
DLPFC	silhouette	Clustering	-0.0083979275	0.961053431	0.9694513585
E8p5Embryo	Accuracy	Alignment			
E8p5Embryo	CHAOS	Clustering	-0.1439571424	-0.0523634444	0.09159369799999999
E8p5Embryo	GC	Integration			
E8p5Embryo	ILL	Integration			
E8p5Embryo	PAS	Clustering	-0.99875	-0.0840833333	0.9146666667000001
E8p5Embryo	Ratio	Alignment			
E8p5Embryo	bASW	Integration			
E8p5Embryo	dASW	Integration			
E8p5Embryo	dLISI	Integration			
E8p5Embryo	iLISI	Integration	0.1377449855	0.71928525	0.5815402645
E8p5Embryo	silhouette	Clustering	-0.1907085478	0.6791920066	0.8699005544
E9p5Embryo	Accuracy	Alignment			
E9p5Embryo	CHAOS	Clustering	-0.1417381788	-0.0476497694	0.0940884094
E9p5Embryo	GC	Integration			
E9p5Embryo	ILL	Integration			
E9p5Embryo	PAS	Clustering	-0.9985	-0.0096666667	0.9888333333
E9p5Embryo	Ratio	Alignment			
E9p5Embryo	bASW	Integration			
E9p5Embryo	dASW	Integration			
E9p5Embryo	dLISI	Integration			
E9p5Embryo	iLISI	Integration	0.0914931659	0.7177198811	0.6262267152
E9p5Embryo	silhouette	Clustering	-0.198978886	0.7082412839	0.9072201699
MouseBrainSerialSections	Accuracy	Alignment	0.043	0.22675	0.18375000000000002
MouseBrainSerialSections	CHAOS	Clustering	-0.1061590898	-0.0619387991	0.0442202907
MouseBrainSerialSections	GC	Integration	0.3028900591	0.973845928	0.6709558689
MouseBrainSerialSections	ILL	Integration	0.0472440945	0.4671280277	0.4198839332
MouseBrainSerialSections	PAS	Clustering	-0.9958085485	-0.0191781398	0.9766304087
MouseBrainSerialSections	Ratio	Alignment	-7.7958592832	-0.7478265868	7.0480326964
MouseBrainSerialSections	ari	Clustering	-0.0020895533	0.4003860445	0.4024755978
MouseBrainSerialSections	bASW	Integration	0.0897153541	0.999746077	0.9100307229
MouseBrainSerialSections	dASW	Integration	0.3145878315	0.4993068189	0.18471898739999998
MouseBrainSerialSections	dLISI	Integration	0.4626195957	0.9526374718	0.4900178761
MouseBrainSerialSections	iLISI	Integration	0.0	0.8924709272	0.8924709272
MouseBrainSerialSections	nmi	Clustering	0.001924509	0.5144572689	0.5125327599
MouseBrainSerialSections	silhouette	Clustering	0.0074530495	0.7816323638	0.7741793143
STOmics0212	Accuracy	Alignment	0.1894623157	0.3567744683	0.16731215259999999
STOmics0212	CHAOS	Clustering	-0.1856503215	-0.1126210799	0.07302924159999999
STOmics0212	GC	Integration	0.6033521482	0.993009854	0.3896577057999999
