MethodBase	Method	Name
anticor	anticor-N2000	Anticor (N=2000)
dubstepr	dubstepr-N2000	DUBStepR (N=2000)
hotspot	hotspot-N2000	Hotspot (N=2000)
nbumi	nbumi-N2000	NBumi (N=2000)
osca	osca-N2000	OSCA (N=2000)
random	random-N500	Random (N=500)
scanpy_cell_ranger	scanpy_cell_ranger-N2000	scanpy-CellRanger (N=2000)
scanpy_cell_ranger_batch	scanpy_cell_ranger_batch-N2000	scanpy-CellRanger (batch) (N=2000)
scanpy_pearson	scanpy_pearson-N2000	scanpy-Pearson (N=2000)
scanpy_pearson_batch	scanpy_pearson_batch-N2000	scanpy-Pearson (batch) (N=2000)
scanpy_seurat	scanpy_seurat-N2000	scanpy-Seurat (N=2000)
scanpy_seurat_batch	scanpy_seurat_batch-N2000	scanpy-Seurat (batch) (N=2000)
scanpy_seurat_v3	scanpy_seurat_v3-N2000	scanpy-SeuratV3 (N=2000)
scanpy_seurat_v3_batch	scanpy_seurat_v3_batch-N2000	scanpy-SeuratV3 (batch) (N=2000)
scPNMF	scPNMF-N2000	scPNMF (N=2000)
scry	scry-N2000	scry (N=2000)
scsegindex	scsegindex-N2000	scSEGIndex (N=2000)
seurat_disp	seurat_disp-N2000	Seurat-Dispersion (N=2000)
seurat_mvp	seurat_mvp-N2000	Seurat-MVP (N=2000)
seurat_sct	seurat_sct-N2000	Seurat-scTransform (N=2000)
seurat_vst	seurat_vst-N2000	Seurat-VST (N=2000)
singleCellHaystack	singleCellHaystack-N2000	singleCellHaystack (N=2000)
statistic_mean	statistic_mean-N2000	Statistic mean (N=2000)
statistic_variance	statistic_variance-N2000	Statistic variance (N=2000)
TFs	TFs-N2000	Transcription factors (N=2000)
triku	triku-N2000	triku (N=2000)
wilcoxon	wilcoxon-N2000	Wilcoxon (N=2000)
