Dataset	Method	MethodLabel	Type	Rank	Value
Full	TFs-N2000	Transcription factors (N=2000)	Integration	27	0.25890667810860374
Full	TFs-N2000	Transcription factors (N=2000)	Clustering	26	0.1427755815006722
Full	TFs-N2000	Transcription factors (N=2000)	Alignment	25	0.14496069741219142
Full	TFs-N2000	Transcription factors (N=2000)	Overall	27	0.1822143190071558
Full	anticor-N2000	Anticor (N=2000)	Integration	18	0.5772578940832387
Full	anticor-N2000	Anticor (N=2000)	Clustering	3	0.8324202272217097
Full	anticor-N2000	Anticor (N=2000)	Alignment	27	0.061863383765994824
Full	anticor-N2000	Anticor (N=2000)	Overall	23	0.4905138350236477
Full	dubstepr-N2000	DUBStepR (N=2000)	Integration	17	0.6197333380302071
Full	dubstepr-N2000	DUBStepR (N=2000)	Clustering	17	0.7471552111028311
Full	dubstepr-N2000	DUBStepR (N=2000)	Alignment	10	0.5
Full	dubstepr-N2000	DUBStepR (N=2000)	Overall	15	0.6222961830443461
Full	hotspot-N2000	Hotspot (N=2000)	Integration	11	0.6833304466800836
Full	hotspot-N2000	Hotspot (N=2000)	Clustering	7	0.8053423644528293
Full	hotspot-N2000	Hotspot (N=2000)	Alignment	10	0.5
Full	hotspot-N2000	Hotspot (N=2000)	Overall	10	0.6628909370443042
Full	nbumi-N2000	NBumi (N=2000)	Integration	23	0.5147763119580031
Full	nbumi-N2000	NBumi (N=2000)	Clustering	20	0.7272644590700121
Full	nbumi-N2000	NBumi (N=2000)	Alignment	10	0.5
Full	nbumi-N2000	NBumi (N=2000)	Overall	20	0.5806802570093383
Full	osca-N2000	OSCA (N=2000)	Integration	22	0.5184764243544346
Full	osca-N2000	OSCA (N=2000)	Clustering	15	0.7730927614634547
Full	osca-N2000	OSCA (N=2000)	Alignment	19	0.4775226855006829
Full	osca-N2000	OSCA (N=2000)	Overall	19	0.589697290439524
Full	random-N500	Random (N=500)	Integration	25	0.4159612983386547
Full	random-N500	Random (N=500)	Clustering	27	0.03790002489917549
Full	random-N500	Random (N=500)	Alignment	10	0.5
Full	random-N500	Random (N=500)	Overall	26	0.31795377441261
Full	scPNMF-N2000	scPNMF (N=2000)	Integration	24	0.5106842575057619
Full	scPNMF-N2000	scPNMF (N=2000)	Clustering	1	0.8498845750671694
Full	scPNMF-N2000	scPNMF (N=2000)	Alignment	10	0.5
Full	scPNMF-N2000	scPNMF (N=2000)	Overall	16	0.6201896108576437
Full	scanpy_cell_ranger-N2000	scanpy-CellRanger (N=2000)	Integration	6	0.751094527551311
Full	scanpy_cell_ranger-N2000	scanpy-CellRanger (N=2000)	Clustering	16	0.7552508296890039
Full	scanpy_cell_ranger-N2000	scanpy-CellRanger (N=2000)	Alignment	10	0.5
Full	scanpy_cell_ranger-N2000	scanpy-CellRanger (N=2000)	Overall	8	0.6687817857467716
Full	scanpy_cell_ranger_batch-N2000	scanpy-CellRanger (batch) (N=2000)	Integration	8	0.749867743336608
Full	scanpy_cell_ranger_batch-N2000	scanpy-CellRanger (batch) (N=2000)	Clustering	9	0.8
Full	scanpy_cell_ranger_batch-N2000	scanpy-CellRanger (batch) (N=2000)	Alignment	1	0.664903059916439
Full	scanpy_cell_ranger_batch-N2000	scanpy-CellRanger (batch) (N=2000)	Overall	1	0.7382569344176824
Full	scanpy_pearson-N2000	scanpy-Pearson (N=2000)	Integration	3	0.7977364279214085
Full	scanpy_pearson-N2000	scanpy-Pearson (N=2000)	Clustering	22	0.7135648542548991
Full	scanpy_pearson-N2000	scanpy-Pearson (N=2000)	Alignment	20	0.4386399406421539
Full	scanpy_pearson-N2000	scanpy-Pearson (N=2000)	Overall	13	0.6499804076061538
Full	scanpy_pearson_batch-N2000	scanpy-Pearson (batch) (N=2000)	Integration	2	0.8206142816930015
Full	scanpy_pearson_batch-N2000	scanpy-Pearson (batch) (N=2000)	Clustering	23	0.7046504445724566
Full	scanpy_pearson_batch-N2000	scanpy-Pearson (batch) (N=2000)	Alignment	18	0.48915476918578504
Full	scanpy_pearson_batch-N2000	scanpy-Pearson (batch) (N=2000)	Overall	7	0.6714731651504143
Full	scanpy_seurat-N2000	scanpy-Seurat (N=2000)	Integration	13	0.6769615719269051
Full	scanpy_seurat-N2000	scanpy-Seurat (N=2000)	Clustering	8	0.8016143017708464
Full	scanpy_seurat-N2000	scanpy-Seurat (N=2000)	Alignment	21	0.3177520487312601
Full	scanpy_seurat-N2000	scanpy-Seurat (N=2000)	Overall	18	0.5987759741430039
Full	scanpy_seurat_batch-N2000	scanpy-Seurat (batch) (N=2000)	Integration	4	0.785118182689582
Full	scanpy_seurat_batch-N2000	scanpy-Seurat (batch) (N=2000)	Clustering	5	0.8129139224724926
Full	scanpy_seurat_batch-N2000	scanpy-Seurat (batch) (N=2000)	Alignment	10	0.5
Full	scanpy_seurat_batch-N2000	scanpy-Seurat (batch) (N=2000)	Overall	2	0.6993440350540249
Full	scanpy_seurat_v3-N2000	scanpy-SeuratV3 (N=2000)	Integration	7	0.7508960687133246
Full	scanpy_seurat_v3-N2000	scanpy-SeuratV3 (N=2000)	Clustering	13	0.7787078616738055
Full	scanpy_seurat_v3-N2000	scanpy-SeuratV3 (N=2000)	Alignment	10	0.5
Full	scanpy_seurat_v3-N2000	scanpy-SeuratV3 (N=2000)	Overall	6	0.6765346434623766
Full	scanpy_seurat_v3_batch-N2000	scanpy-SeuratV3 (batch) (N=2000)	Integration	1	0.8457234656535403
Full	scanpy_seurat_v3_batch-N2000	scanpy-SeuratV3 (batch) (N=2000)	Clustering	18	0.7381456549923904
Full	scanpy_seurat_v3_batch-N2000	scanpy-SeuratV3 (batch) (N=2000)	Alignment	10	0.5
Full	scanpy_seurat_v3_batch-N2000	scanpy-SeuratV3 (batch) (N=2000)	Overall	3	0.6946230402153102
Full	scry-N2000	scry (N=2000)	Integration	19	0.5700934540719418
Full	scry-N2000	scry (N=2000)	Clustering	14	0.7774432429406108
Full	scry-N2000	scry (N=2000)	Alignment	23	0.21951054524108973
Full	scry-N2000	scry (N=2000)	Overall	21	0.5223490807512141
Full	scsegindex-N2000	scSEGIndex (N=2000)	Integration	26	0.39005102029407185
Full	scsegindex-N2000	scSEGIndex (N=2000)	Clustering	25	0.5291135769987966
Full	scsegindex-N2000	scSEGIndex (N=2000)	Alignment	26	0.07405904617299343
Full	scsegindex-N2000	scSEGIndex (N=2000)	Overall	25	0.33107454782195395
Full	seurat_disp-N2000	Seurat-Dispersion (N=2000)	Integration	12	0.6786465748098082
Full	seurat_disp-N2000	Seurat-Dispersion (N=2000)	Clustering	4	0.8193716891352948
Full	seurat_disp-N2000	Seurat-Dispersion (N=2000)	Alignment	10	0.5
Full	seurat_disp-N2000	Seurat-Dispersion (N=2000)	Overall	9	0.6660060879817009
Full	seurat_mvp-N2000	Seurat-MVP (N=2000)	Integration	14	0.6494270159004119
Full	seurat_mvp-N2000	Seurat-MVP (N=2000)	Clustering	21	0.7233726204524678
Full	seurat_mvp-N2000	Seurat-MVP (N=2000)	Alignment	10	0.5
Full	seurat_mvp-N2000	Seurat-MVP (N=2000)	Overall	14	0.6242665454509598
Full	seurat_sct-N2000	Seurat-scTransform (N=2000)	Integration	15	0.6269527771889812
Full	seurat_sct-N2000	Seurat-scTransform (N=2000)	Clustering	2	0.8412206712945973
Full	seurat_sct-N2000	Seurat-scTransform (N=2000)	Alignment	10	0.5
Full	seurat_sct-N2000	Seurat-scTransform (N=2000)	Overall	12	0.6560578161611929
Full	seurat_vst-N2000	Seurat-VST (N=2000)	Integration	5	0.7572284240645067
Full	seurat_vst-N2000	Seurat-VST (N=2000)	Clustering	12	0.7859531817747742
Full	seurat_vst-N2000	Seurat-VST (N=2000)	Alignment	10	0.5
Full	seurat_vst-N2000	Seurat-VST (N=2000)	Overall	5	0.6810605352797602
Full	singleCellHaystack-N2000	singleCellHaystack (N=2000)	Integration	16	0.6231564927331812
Full	singleCellHaystack-N2000	singleCellHaystack (N=2000)	Clustering	24	0.6752857479365891
Full	singleCellHaystack-N2000	singleCellHaystack (N=2000)	Alignment	10	0.5
Full	singleCellHaystack-N2000	singleCellHaystack (N=2000)	Overall	17	0.5994807468899234
Full	statistic_mean-N2000	Statistic mean (N=2000)	Integration	20	0.5386187604897269
