Method	Combination	Jaccard
Anticor (N=2000)	Full - Immune	0.2779552715654952
Anticor (N=2000)	Full - Epithelial	0.6116035455278002
Anticor (N=2000)	Immune - Epithelial	0.24069478908188585
DUBStepR (N=2000)	Full - Immune	0.3313796212804328
DUBStepR (N=2000)	Full - Epithelial	0.7785682525566918
DUBStepR (N=2000)	Immune - Epithelial	0.3077945084145261
Hotspot (N=2000)	Full - Immune	0.4749262536873156
Hotspot (N=2000)	Full - Epithelial	0.6604400166044002
Hotspot (N=2000)	Immune - Epithelial	0.3793103448275862
NBumi (N=2000)	Full - Immune	0.20336943441636582
NBumi (N=2000)	Full - Epithelial	0.49812734082397003
NBumi (N=2000)	Immune - Epithelial	0.0958904109589041
OSCA (N=2000)	Full - Immune	0.2730744748567791
OSCA (N=2000)	Full - Epithelial	0.6194331983805668
OSCA (N=2000)	Immune - Epithelial	0.2066365007541478
Random (N=500)	Full - Immune	1
Random (N=500)	Full - Epithelial	1
Random (N=500)	Immune - Epithelial	1
scanpy-CellRanger (N=2000)	Full - Immune	0.4119308153900459
scanpy-CellRanger (N=2000)	Full - Epithelial	0.6792611251049538
scanpy-CellRanger (N=2000)	Immune - Epithelial	0.3449899125756557
scanpy-CellRanger (batch) (N=2000)	Full - Immune	0.19940029985007496
scanpy-CellRanger (batch) (N=2000)	Full - Epithelial	0.6645859342488556
scanpy-CellRanger (batch) (N=2000)	Immune - Epithelial	0.17061750073163595
scanpy-Pearson (N=2000)	Full - Immune	0.33689839572192515
scanpy-Pearson (N=2000)	Full - Epithelial	0.5835312747426762
scanpy-Pearson (N=2000)	Immune - Epithelial	0.2012012012012012
scanpy-Pearson (batch) (N=2000)	Full - Immune	0.09200109200109201
scanpy-Pearson (batch) (N=2000)	Full - Epithelial	0.30378096479791394
scanpy-Pearson (batch) (N=2000)	Immune - Epithelial	0.0958904109589041
scanpy-Seurat (N=2000)	Full - Immune	0.25746620559572464
scanpy-Seurat (N=2000)	Full - Epithelial	0.49700598802395207
scanpy-Seurat (N=2000)	Immune - Epithelial	0.11265646731571627
scanpy-Seurat (batch) (N=2000)	Full - Immune	0.24107973937325472
scanpy-Seurat (batch) (N=2000)	Full - Epithelial	0.5372790161414297
scanpy-Seurat (batch) (N=2000)	Immune - Epithelial	0.14383757506434086
scanpy-SeuratV3 (N=2000)	Full - Immune	0.23533045089561458
scanpy-SeuratV3 (N=2000)	Full - Epithelial	0.659062629614268
scanpy-SeuratV3 (N=2000)	Immune - Epithelial	0.16245277535600117
scanpy-SeuratV3 (batch) (N=2000)	Full - Immune	0.15640358485111303
scanpy-SeuratV3 (batch) (N=2000)	Full - Epithelial	0.3127666557269445
scanpy-SeuratV3 (batch) (N=2000)	Immune - Epithelial	0.09469074986316366
scPNMF (N=2000)	Full - Immune	0.3201320132013201
scPNMF (N=2000)	Full - Epithelial	0.4652014652014652
scPNMF (N=2000)	Immune - Epithelial	0.27145581691036236
scry (N=2000)	Full - Immune	0.796138302649304
scry (N=2000)	Full - Epithelial	0.8752930145335208
scry (N=2000)	Immune - Epithelial	0.6985138004246284
scSEGIndex (N=2000)	Full - Immune	0.07307692307692308
scSEGIndex (N=2000)	Full - Epithelial	0.31839156229400134
scSEGIndex (N=2000)	Immune - Epithelial	0.020856201975850714
Seurat-Dispersion (N=2000)	Full - Immune	0.2519561815336463
Seurat-Dispersion (N=2000)	Full - Epithelial	0.5191796429927839
Seurat-Dispersion (N=2000)	Immune - Epithelial	0.10741971207087486
Seurat-MVP (N=2000)	Full - Immune	0.23591310251188052
Seurat-MVP (N=2000)	Full - Epithelial	0.5314285714285715
Seurat-MVP (N=2000)	Immune - Epithelial	0.13530280649926144
Seurat-scTransform (N=2000)	Full - Immune	0.34048257372654156
Seurat-scTransform (N=2000)	Full - Epithelial	0.5015015015015015
Seurat-scTransform (N=2000)	Immune - Epithelial	0.2519561815336463
Seurat-VST (N=2000)	Full - Immune	0.23571207908557307
Seurat-VST (N=2000)	Full - Epithelial	0.659062629614268
Seurat-VST (N=2000)	Immune - Epithelial	0.16245277535600117
singleCellHaystack (N=2000)	Full - Immune	0.044659179942543745
singleCellHaystack (N=2000)	Full - Epithelial	0.7406440382941688
singleCellHaystack (N=2000)	Immune - Epithelial	0.054574215660427104
Statistic mean (N=2000)	Full - Immune	0.7474879860200961
Statistic mean (N=2000)	Full - Epithelial	0.9193857965451055
Statistic mean (N=2000)	Immune - Epithelial	0.687051876845213
Statistic variance (N=2000)	Full - Immune	0.7785682525566918
Statistic variance (N=2000)	Full - Epithelial	0.8885741265344664
Statistic variance (N=2000)	Immune - Epithelial	0.6920473773265652
Transcription factors (N=2000)	Full - Immune	1
Transcription factors (N=2000)	Full - Epithelial	1
Transcription factors (N=2000)	Immune - Epithelial	1
triku (N=2000)	Full - Immune	0.34544231416078036
triku (N=2000)	Full - Epithelial	0.6474464579901154
triku (N=2000)	Immune - Epithelial	0.24882922260380894
Wilcoxon (N=2000)	Full - Immune	0.1813349084465446
Wilcoxon (N=2000)	Full - Epithelial	0.27754710954966466
Wilcoxon (N=2000)	Immune - Epithelial	0.11327581408293905
