Method	Lineage	Dataset	MeanProp	SDProp
Anticor (N=2000)	Immune	Full	0.58	0.29000000000000004
Anticor (N=2000)	Immune	Immune	0.7849999999999999	0.16499999999999998
Anticor (N=2000)	Immune	Epithelial	0.525	0.245
Anticor (N=2000)	Epithelial	Full	0.47250000000000003	0.1416642156650719
Anticor (N=2000)	Epithelial	Immune	0.4675	0.16452583383772898
Anticor (N=2000)	Epithelial	Epithelial	0.475	0.135
DUBStepR (N=2000)	Immune	Full	0.74	0.010000000000000009
DUBStepR (N=2000)	Immune	Immune	0.75	0.06999999999999995
DUBStepR (N=2000)	Immune	Epithelial	0.72	0.03999999999999998
DUBStepR (N=2000)	Epithelial	Full	0.735	0.17783419243778736
DUBStepR (N=2000)	Epithelial	Immune	0.55	0.21783020910791964
DUBStepR (N=2000)	Epithelial	Epithelial	0.79	0.12727922061357852
Hotspot (N=2000)	Immune	Full	0.865	0.135
Hotspot (N=2000)	Immune	Immune	0.94	0.04999999999999999
Hotspot (N=2000)	Immune	Epithelial	0.8400000000000001	0.15999999999999998
Hotspot (N=2000)	Epithelial	Full	0.945	0.05678908345800274
Hotspot (N=2000)	Epithelial	Immune	0.8400000000000001	0.1212435565298214
Hotspot (N=2000)	Epithelial	Epithelial	0.9475	0.03897114317029973
NBumi (N=2000)	Immune	Full	0.09	0.010000000000000002
NBumi (N=2000)	Immune	Immune	0.16	0.1
NBumi (N=2000)	Immune	Epithelial	0.12	0.06999999999999999
NBumi (N=2000)	Epithelial	Full	0.15999999999999998	0.13285330255586422
NBumi (N=2000)	Epithelial	Immune	0.22749999999999998	0.15706288549495073
NBumi (N=2000)	Epithelial	Epithelial	0.16749999999999998	0.12636751956100112
OSCA (N=2000)	Immune	Full	0.5650000000000001	0.335
OSCA (N=2000)	Immune	Immune	0.565	0.20500000000000002
OSCA (N=2000)	Immune	Epithelial	0.575	0.335
OSCA (N=2000)	Epithelial	Full	0.6325000000000001	0.23413404280454395
OSCA (N=2000)	Epithelial	Immune	0.6225	0.11882234638316144
OSCA (N=2000)	Epithelial	Epithelial	0.6224999999999999	0.26022826518270453
Random (N=500)	Immune	Full		
Random (N=500)	Immune	Immune		
Random (N=500)	Immune	Epithelial		
Random (N=500)	Epithelial	Full		
Random (N=500)	Epithelial	Immune		
Random (N=500)	Epithelial	Epithelial		
scanpy-CellRanger (N=2000)	Immune	Full	0.27	0.13
scanpy-CellRanger (N=2000)	Immune	Immune	0.125	0.0050000000000000044
scanpy-CellRanger (N=2000)	Immune	Epithelial	0.35000000000000003	0.18
scanpy-CellRanger (N=2000)	Epithelial	Full	0.35250000000000004	0.27353016287056897
scanpy-CellRanger (N=2000)	Epithelial	Immune	0.26	0.20236106344848062
scanpy-CellRanger (N=2000)	Epithelial	Epithelial	0.395	0.3018691769624716
scanpy-CellRanger (batch) (N=2000)	Immune	Full	0.27	0.18
scanpy-CellRanger (batch) (N=2000)	Immune	Immune	0.23500000000000001	0.04500000000000001
scanpy-CellRanger (batch) (N=2000)	Immune	Epithelial	0.32	0.21000000000000002
scanpy-CellRanger (batch) (N=2000)	Epithelial	Full	0.3375	0.2943106352138842
scanpy-CellRanger (batch) (N=2000)	Epithelial	Immune	0.2925	0.12275483697190918
scanpy-CellRanger (batch) (N=2000)	Epithelial	Epithelial	0.3675	0.30425112982534674
scanpy-Pearson (N=2000)	Immune	Full	0.37	0.33
scanpy-Pearson (N=2000)	Immune	Immune	0.20500000000000002	0.195
scanpy-Pearson (N=2000)	Immune	Epithelial	0.37	0.32
scanpy-Pearson (N=2000)	Epithelial	Full	0.35	0.3007490648364513
scanpy-Pearson (N=2000)	Epithelial	Immune	0.2875	0.22796655456447992
scanpy-Pearson (N=2000)	Epithelial	Epithelial	0.37750000000000006	0.3031810515187254
scanpy-Pearson (batch) (N=2000)	Immune	Full	0.22	0.15
scanpy-Pearson (batch) (N=2000)	Immune	Immune	0.495	0.125
scanpy-Pearson (batch) (N=2000)	Immune	Epithelial	0.27499999999999997	0.19499999999999998
scanpy-Pearson (batch) (N=2000)	Epithelial	Full	0.21250000000000002	0.1549798373982887
scanpy-Pearson (batch) (N=2000)	Epithelial	Immune	0.5900000000000001	0.08276472678623423
scanpy-Pearson (batch) (N=2000)	Epithelial	Epithelial	0.27749999999999997	0.22487496525847425
scanpy-Seurat (N=2000)	Immune	Full	0.30500000000000005	0.255
scanpy-Seurat (N=2000)	Immune	Immune	0.28500000000000003	0.035
scanpy-Seurat (N=2000)	Immune	Epithelial	0.335	0.28500000000000003
scanpy-Seurat (N=2000)	Epithelial	Full	0.30000000000000004	0.25632011235952595
scanpy-Seurat (N=2000)	Epithelial	Immune	0.30999999999999994	0.12083045973594571
scanpy-Seurat (N=2000)	Epithelial	Epithelial	0.35000000000000003	0.3012474066278414
scanpy-Seurat (batch) (N=2000)	Immune	Full	0.39	0.36
scanpy-Seurat (batch) (N=2000)	Immune	Immune	0.33999999999999997	0.16
scanpy-Seurat (batch) (N=2000)	Immune	Epithelial	0.42000000000000004	0.37000000000000005
scanpy-Seurat (batch) (N=2000)	Epithelial	Full	0.39749999999999996	0.3149900792088538
scanpy-Seurat (batch) (N=2000)	Epithelial	Immune	0.33	0.17790446874657198
scanpy-Seurat (batch) (N=2000)	Epithelial	Epithelial	0.39749999999999996	0.3389966813996857
scanpy-SeuratV3 (N=2000)	Immune	Full	0.305	0.11499999999999999
scanpy-SeuratV3 (N=2000)	Immune	Immune	0.315	0.11499999999999999
scanpy-SeuratV3 (N=2000)	Immune	Epithelial	0.36	0.24
scanpy-SeuratV3 (N=2000)	Epithelial	Full	0.4825	0.050187149749711855
scanpy-SeuratV3 (N=2000)	Epithelial	Immune	0.4775	0.22993205518152532
scanpy-SeuratV3 (N=2000)	Epithelial	Epithelial	0.4625	0.14532291629333619
scanpy-SeuratV3 (batch) (N=2000)	Immune	Full	0.235	0.175
scanpy-SeuratV3 (batch) (N=2000)	Immune	Immune	0.29000000000000004	0.11000000000000001
scanpy-SeuratV3 (batch) (N=2000)	Immune	Epithelial	0.27499999999999997	0.19499999999999998
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Full	0.21000000000000002	0.0982344135219425
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Immune	0.2625	0.02861380785564899
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Epithelial	0.28500000000000003	0.15206906325745548
scPNMF (N=2000)	Immune	Full	0.855	0.14500000000000002
scPNMF (N=2000)	Immune	Immune	0.615	0.385
scPNMF (N=2000)	Immune	Epithelial	0.9299999999999999	0.04999999999999999
scPNMF (N=2000)	Epithelial	Full	0.9325000000000001	0.04815340071064555
scPNMF (N=2000)	Epithelial	Immune	0.6475	0.21533404282648852
scPNMF (N=2000)	Epithelial	Epithelial	0.8674999999999999	0.11986972094736853
scry (N=2000)	Immune	Full	0.8	0.2
scry (N=2000)	Immune	Immune	0.7849999999999999	0.21500000000000002
