Method	Dataset	Label	Lineage	Value
Anticor (N=2000)	Full	Langerhans Cell	Immune	0.87
Anticor (N=2000)	Full	T Cell	Immune	0.29
Anticor (N=2000)	Full	Keratinocyte	Epithelial	0.55
Anticor (N=2000)	Full	Merkel Cell	Epithelial	0.26
Anticor (N=2000)	Full	Stem Cell	Epithelial	0.44
Anticor (N=2000)	Full	Progenitor Cell	Epithelial	0.64
Anticor (N=2000)	Immune	Langerhans Cell	Immune	0.95
Anticor (N=2000)	Immune	T Cell	Immune	0.62
Anticor (N=2000)	Epithelial	Keratinocyte	Epithelial	0.56
Anticor (N=2000)	Epithelial	Merkel Cell	Epithelial	0.29
Anticor (N=2000)	Epithelial	Stem Cell	Epithelial	0.41
Anticor (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.64
DUBStepR (N=2000)	Full	Langerhans Cell	Immune	0.73
DUBStepR (N=2000)	Full	T Cell	Immune	0.75
DUBStepR (N=2000)	Full	Keratinocyte	Epithelial	0.97
DUBStepR (N=2000)	Full	Merkel Cell	Epithelial	0.53
DUBStepR (N=2000)	Full	Stem Cell	Epithelial	0.84
DUBStepR (N=2000)	Full	Progenitor Cell	Epithelial	0.6
DUBStepR (N=2000)	Immune	Langerhans Cell	Immune	0.68
DUBStepR (N=2000)	Immune	T Cell	Immune	0.82
DUBStepR (N=2000)	Epithelial	Keratinocyte	Epithelial	0.97
DUBStepR (N=2000)	Epithelial	Merkel Cell	Epithelial	0.67
DUBStepR (N=2000)	Epithelial	Stem Cell	Epithelial	0.85
DUBStepR (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.67
Hotspot (N=2000)	Full	Langerhans Cell	Immune	1.0
Hotspot (N=2000)	Full	T Cell	Immune	0.73
Hotspot (N=2000)	Full	Keratinocyte	Epithelial	0.97
Hotspot (N=2000)	Full	Merkel Cell	Epithelial	0.96
Hotspot (N=2000)	Full	Stem Cell	Epithelial	0.85
Hotspot (N=2000)	Full	Progenitor Cell	Epithelial	1.0
Hotspot (N=2000)	Immune	Langerhans Cell	Immune	0.99
Hotspot (N=2000)	Immune	T Cell	Immune	0.89
Hotspot (N=2000)	Epithelial	Keratinocyte	Epithelial	0.95
Hotspot (N=2000)	Epithelial	Merkel Cell	Epithelial	0.95
Hotspot (N=2000)	Epithelial	Stem Cell	Epithelial	0.89
Hotspot (N=2000)	Epithelial	Progenitor Cell	Epithelial	1.0
NBumi (N=2000)	Full	Langerhans Cell	Immune	0.1
NBumi (N=2000)	Full	T Cell	Immune	0.08
NBumi (N=2000)	Full	Keratinocyte	Epithelial	0.05
NBumi (N=2000)	Full	Merkel Cell	Epithelial	0.38
NBumi (N=2000)	Full	Stem Cell	Epithelial	0.15
NBumi (N=2000)	Full	Progenitor Cell	Epithelial	0.06
NBumi (N=2000)	Immune	Langerhans Cell	Immune	0.06
NBumi (N=2000)	Immune	T Cell	Immune	0.26
NBumi (N=2000)	Epithelial	Keratinocyte	Epithelial	0.02
NBumi (N=2000)	Epithelial	Merkel Cell	Epithelial	0.36
NBumi (N=2000)	Epithelial	Stem Cell	Epithelial	0.1
NBumi (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.19
OSCA (N=2000)	Full	Langerhans Cell	Immune	0.9
OSCA (N=2000)	Full	T Cell	Immune	0.23
OSCA (N=2000)	Full	Keratinocyte	Epithelial	0.37
OSCA (N=2000)	Full	Merkel Cell	Epithelial	0.79
OSCA (N=2000)	Full	Stem Cell	Epithelial	0.44
OSCA (N=2000)	Full	Progenitor Cell	Epithelial	0.93
OSCA (N=2000)	Immune	Langerhans Cell	Immune	0.77
OSCA (N=2000)	Immune	T Cell	Immune	0.36
OSCA (N=2000)	Epithelial	Keratinocyte	Epithelial	0.33
OSCA (N=2000)	Epithelial	Merkel Cell	Epithelial	0.84
OSCA (N=2000)	Epithelial	Stem Cell	Epithelial	0.4
OSCA (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.92
Random (N=500)	Full	Langerhans Cell	Immune	0.02
Random (N=500)	Full	T Cell	Immune	0.04
Random (N=500)	Full	Keratinocyte	Epithelial	0.02
Random (N=500)	Full	Merkel Cell	Epithelial	0.05
Random (N=500)	Full	Stem Cell	Epithelial	0.04
Random (N=500)	Full	Progenitor Cell	Epithelial	0.03
Random (N=500)	Immune	Langerhans Cell	Immune	0.02
Random (N=500)	Immune	T Cell	Immune	0.04
Random (N=500)	Epithelial	Keratinocyte	Epithelial	0.02
Random (N=500)	Epithelial	Merkel Cell	Epithelial	0.05
Random (N=500)	Epithelial	Stem Cell	Epithelial	0.04
Random (N=500)	Epithelial	Progenitor Cell	Epithelial	0.03
scanpy-CellRanger (N=2000)	Full	Langerhans Cell	Immune	0.4
scanpy-CellRanger (N=2000)	Full	T Cell	Immune	0.14
scanpy-CellRanger (N=2000)	Full	Keratinocyte	Epithelial	0.05
scanpy-CellRanger (N=2000)	Full	Merkel Cell	Epithelial	0.64
scanpy-CellRanger (N=2000)	Full	Stem Cell	Epithelial	0.11
scanpy-CellRanger (N=2000)	Full	Progenitor Cell	Epithelial	0.61
scanpy-CellRanger (N=2000)	Immune	Langerhans Cell	Immune	0.12
scanpy-CellRanger (N=2000)	Immune	T Cell	Immune	0.13
scanpy-CellRanger (N=2000)	Epithelial	Keratinocyte	Epithelial	0.05
scanpy-CellRanger (N=2000)	Epithelial	Merkel Cell	Epithelial	0.68
scanpy-CellRanger (N=2000)	Epithelial	Stem Cell	Epithelial	0.14
scanpy-CellRanger (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.71
scanpy-CellRanger (batch) (N=2000)	Full	Langerhans Cell	Immune	0.45
scanpy-CellRanger (batch) (N=2000)	Full	T Cell	Immune	0.09
scanpy-CellRanger (batch) (N=2000)	Full	Keratinocyte	Epithelial	0.01
scanpy-CellRanger (batch) (N=2000)	Full	Merkel Cell	Epithelial	0.6
scanpy-CellRanger (batch) (N=2000)	Full	Stem Cell	Epithelial	0.08
scanpy-CellRanger (batch) (N=2000)	Full	Progenitor Cell	Epithelial	0.66
scanpy-CellRanger (batch) (N=2000)	Immune	Langerhans Cell	Immune	0.19
scanpy-CellRanger (batch) (N=2000)	Immune	T Cell	Immune	0.28
scanpy-CellRanger (batch) (N=2000)	Epithelial	Keratinocyte	Epithelial	0.03
scanpy-CellRanger (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	0.64
scanpy-CellRanger (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	0.1
scanpy-CellRanger (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.7
scanpy-Pearson (N=2000)	Full	Langerhans Cell	Immune	0.7
scanpy-Pearson (N=2000)	Full	T Cell	Immune	0.04
scanpy-Pearson (N=2000)	Full	Keratinocyte	Epithelial	0.05
scanpy-Pearson (N=2000)	Full	Merkel Cell	Epithelial	0.5
scanpy-Pearson (N=2000)	Full	Stem Cell	Epithelial	0.08
scanpy-Pearson (N=2000)	Full	Progenitor Cell	Epithelial	0.77
scanpy-Pearson (N=2000)	Immune	Langerhans Cell	Immune	0.4
scanpy-Pearson (N=2000)	Immune	T Cell	Immune	0.01
scanpy-Pearson (N=2000)	Epithelial	Keratinocyte	Epithelial	0.06
scanpy-Pearson (N=2000)	Epithelial	Merkel Cell	Epithelial	0.56
scanpy-Pearson (N=2000)	Epithelial	Stem Cell	Epithelial	0.11
scanpy-Pearson (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.78
scanpy-Pearson (batch) (N=2000)	Full	Langerhans Cell	Immune	0.37
