Method	Dataset	Label	Lineage	Difference
Anticor (N=2000)	Immune	Langerhans Cell	Immune	0.07999999999999996
Anticor (N=2000)	Immune	T Cell	Immune	0.33
Anticor (N=2000)	Epithelial	Keratinocyte	Epithelial	0.010000000000000009
Anticor (N=2000)	Epithelial	Merkel Cell	Epithelial	0.02999999999999997
Anticor (N=2000)	Epithelial	Stem Cell	Epithelial	-0.030000000000000027
Anticor (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.0
DUBStepR (N=2000)	Immune	Langerhans Cell	Immune	-0.04999999999999993
DUBStepR (N=2000)	Immune	T Cell	Immune	0.06999999999999995
DUBStepR (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
DUBStepR (N=2000)	Epithelial	Merkel Cell	Epithelial	0.14
DUBStepR (N=2000)	Epithelial	Stem Cell	Epithelial	0.010000000000000009
DUBStepR (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.07000000000000006
Hotspot (N=2000)	Immune	Langerhans Cell	Immune	-0.010000000000000009
Hotspot (N=2000)	Immune	T Cell	Immune	0.16000000000000003
Hotspot (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.020000000000000018
Hotspot (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.010000000000000009
Hotspot (N=2000)	Epithelial	Stem Cell	Epithelial	0.040000000000000036
Hotspot (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.0
NBumi (N=2000)	Immune	Langerhans Cell	Immune	-0.04000000000000001
NBumi (N=2000)	Immune	T Cell	Immune	0.18
NBumi (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.030000000000000002
NBumi (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.020000000000000018
NBumi (N=2000)	Epithelial	Stem Cell	Epithelial	-0.04999999999999999
NBumi (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.13
OSCA (N=2000)	Immune	Langerhans Cell	Immune	-0.13
OSCA (N=2000)	Immune	T Cell	Immune	0.12999999999999998
OSCA (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.03999999999999998
OSCA (N=2000)	Epithelial	Merkel Cell	Epithelial	0.04999999999999993
OSCA (N=2000)	Epithelial	Stem Cell	Epithelial	-0.03999999999999998
OSCA (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.010000000000000009
Random (N=500)	Immune	Langerhans Cell	Immune	0.0
Random (N=500)	Immune	T Cell	Immune	0.0
Random (N=500)	Epithelial	Keratinocyte	Epithelial	0.0
Random (N=500)	Epithelial	Merkel Cell	Epithelial	0.0
Random (N=500)	Epithelial	Stem Cell	Epithelial	0.0
Random (N=500)	Epithelial	Progenitor Cell	Epithelial	0.0
scanpy-CellRanger (N=2000)	Immune	Langerhans Cell	Immune	-0.28
scanpy-CellRanger (N=2000)	Immune	T Cell	Immune	-0.010000000000000009
scanpy-CellRanger (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
scanpy-CellRanger (N=2000)	Epithelial	Merkel Cell	Epithelial	0.040000000000000036
scanpy-CellRanger (N=2000)	Epithelial	Stem Cell	Epithelial	0.030000000000000013
scanpy-CellRanger (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.09999999999999998
scanpy-CellRanger (batch) (N=2000)	Immune	Langerhans Cell	Immune	-0.26
scanpy-CellRanger (batch) (N=2000)	Immune	T Cell	Immune	0.19000000000000003
scanpy-CellRanger (batch) (N=2000)	Epithelial	Keratinocyte	Epithelial	0.019999999999999997
scanpy-CellRanger (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	0.040000000000000036
scanpy-CellRanger (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	0.020000000000000004
scanpy-CellRanger (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.039999999999999925
scanpy-Pearson (N=2000)	Immune	Langerhans Cell	Immune	-0.29999999999999993
scanpy-Pearson (N=2000)	Immune	T Cell	Immune	-0.03
scanpy-Pearson (N=2000)	Epithelial	Keratinocyte	Epithelial	0.009999999999999995
scanpy-Pearson (N=2000)	Epithelial	Merkel Cell	Epithelial	0.06000000000000005
scanpy-Pearson (N=2000)	Epithelial	Stem Cell	Epithelial	0.03
