Method	Type	Mean	SD	Integration
All features	Alignment	-5.375	7.52021086330506	Cell
Charter
All features	Clustering	-0.625	10.112757148416902	Cell
Charter
All features	Integration	-4.625	8.070006195784487	Cell
Charter
All features	Overall	-7.375	10.40518414747462	Cell
Charter
All features	Alignment	-4.75	6.447590912226719	GPSA
All features	Clustering	4.75	11.301074538037774	GPSA
All features	Integration	-12.75	12.781124475457661	GPSA
All features	Overall	-4	6.654751256486923	GPSA
All features	Alignment	-5.875	6.770471602058878	STAligner
All features	Clustering	0.25	7.106335201775948	STAligner
All features	Integration	-8.5	6.094494002200441	STAligner
All features	Overall	-6.625	6.4572771793867245	STAligner
Anticor	Alignment	-1.25	3.4121631178560534	Cell
Charter
Anticor	Clustering	3.5	9.57675757833964	Cell
Charter
Anticor	Integration	-3.875	10.629305850202208	Cell
Charter
Anticor	Overall	0.625	3.2043497223082786	Cell
Charter
Anticor	Alignment	-3.375	13.564001727261127	GPSA
Anticor	Clustering	8.875	12.287479109123355	GPSA
Anticor	Integration	-4	13.277263057035297	GPSA
Anticor	Overall	3.375	8.416607731995457	GPSA
Anticor	Alignment	0.75	6.692212958783834	STAligner
Anticor	Clustering	4.625	8.991066995317391	STAligner
Anticor	Integration	-0.25	6.408699444616557	STAligner
Anticor	Overall	1.125	6.7493385919341335	STAligner
Brennecke	Alignment	-2.4	4.505552130427524	Cell
Charter
Brennecke	Clustering	-3.8	8.07465169527454	Cell
Charter
Brennecke	Integration	-1.6	3.847076812334269	Cell
Charter
Brennecke	Overall	-1	7	Cell
Charter
Brennecke	Alignment	-4.8	7.040951640225915	GPSA
Brennecke	Clustering	-8.6	9.154233993076646	GPSA
Brennecke	Integration	-0.6	13.758633653092156	GPSA
Brennecke	Overall	-4.6	7.635443667528429	GPSA
Brennecke	Alignment	-4.8	7.155417527999327	STAligner
Brennecke	Clustering	-8.6	9.581231653602787	STAligner
Brennecke	Integration	-2.4	9.555103348473002	STAligner
Brennecke	Overall	-2.8	8.34865258589672	STAligner
DUBStepR	Alignment	-3	14.51895313030523	Cell
Charter
DUBStepR	Clustering	-4.833333333333333	7.67897562612792	Cell
Charter
DUBStepR	Integration	-1.8333333333333333	5.036533199202271	Cell
Charter
DUBStepR	Overall	-6.833333333333333	10.64737839407742	Cell
Charter
DUBStepR	Alignment	-1.5	10.908712114635714	GPSA
DUBStepR	Clustering	3.9166666666666665	8.101954496704277	GPSA
DUBStepR	Integration	-3.8333333333333335	10.323113225508411	GPSA
DUBStepR	Overall	-0.5	10.52140675005011	GPSA
DUBStepR	Alignment	1.8333333333333333	7.332575718440736	STAligner
DUBStepR	Clustering	1.6666666666666667	12.516655570345725	STAligner
DUBStepR	Integration	-2.8333333333333335	3.125166662222459	STAligner
DUBStepR	Overall	-0.5	8.502940667792526	STAligner
Hotspot	Alignment	0	9.561828874675149	Cell
Charter
Hotspot	Clustering	-0.125	6.174544517614234	Cell
Charter
Hotspot	Integration	3.75	7.045768740375825	Cell
Charter
Hotspot	Overall	1.125	6.128096884724607	Cell
Charter
Hotspot	Alignment	2.25	9.935506313937188	GPSA
Hotspot	Clustering	12.75	10.620061877678223	GPSA
Hotspot	Integration	2.375	11.057479692174756	GPSA
Hotspot	Overall	9.625	9.913014533574392	GPSA
Hotspot	Alignment	-1	4.535573676110727	STAligner
Hotspot	Clustering	4.375	6.885543862739841	STAligner
Hotspot	Integration	0	4.898979485566356	STAligner
Hotspot	Overall	1.125	4.356850107261306	STAligner
NBumi	Alignment	0.75	4.652188425123938	Cell
Charter
NBumi	Clustering	-1	9.870591240071256	Cell
Charter
NBumi	Integration	7.75	5.035587637718447	Cell
Charter
NBumi	Overall	0.5	6.8660656232559525	Cell
Charter
NBumi	Alignment	2.6875	4.6746848633280695	GPSA
NBumi	Clustering	0.4375	12.717921831584189	GPSA
NBumi	Integration	4.75	13.905291901184341	GPSA
NBumi	Overall	-0.5	11.710800875382398	GPSA
NBumi	Alignment	-0.875	7.772432970808708	STAligner
NBumi	Clustering	-0.125	11.293961724238818	STAligner
NBumi	Integration	4.125	8.096516005577426	STAligner
NBumi	Overall	-1.125	7.772432970808708	STAligner
OSCA	Alignment	1.25	7.343607521414215	Cell
Charter
OSCA	Clustering	0.5	6.98978847012861	Cell
Charter
OSCA	Integration	1.75	8.08437646681195	Cell
Charter
OSCA	Overall	1.75	7.667184247539268	Cell
Charter
OSCA	Alignment	-3.1875	6.129189529270104	GPSA
OSCA	Clustering	1	9.665845613735584	GPSA
OSCA	Integration	3.875	8.57633787980461	GPSA
OSCA	Overall	-0.75	9.035643703846292	GPSA
OSCA	Alignment	-2.75	5.4707011825333165	STAligner
OSCA	Clustering	1.375	7.501190381723233	STAligner
OSCA	Integration	-1.375	6.345695954176906	STAligner
OSCA	Overall	-0.75	7.995534467974697	STAligner
Random	Alignment	1.5	12.660399452059728	Cell
Charter
Random	Clustering	-2.25	5.599744892148468	Cell
Charter
Random	Integration	0.25	6.017830648521585	Cell
Charter
Random	Overall	-0.25	9.953463144626024	Cell
Charter
Random	Alignment	3.8125	12.836714922440242	GPSA
Random	Clustering	-15.5625	7.921207970649787	GPSA
Random	Integration	-6.1875	13.04918579835539	GPSA
Random	Overall	-8.0625	9.259888536817584	GPSA
Random	Alignment	3.75	5.522680508593631	STAligner
Random	Clustering	-1.25	2.434865792722759	STAligner
Random	Integration	2.375	5.829420456369815	STAligner
Random	Overall	2.375	4.438065859293728	STAligner
Seurat-Dispersion	Alignment	0.16666666666666666	5.636192568273964	Cell
Charter
Seurat-Dispersion	Clustering	-1.3333333333333333	10.576703960434303	Cell
Charter
Seurat-Dispersion	Integration	-4	5.366563145999495	Cell
Charter
Seurat-Dispersion	Overall	-2.5	9.85393322486001	Cell
Charter
Seurat-Dispersion	Alignment	1.5	11.584472366059664	GPSA
Seurat-Dispersion	Clustering	-5.5	9.757048734120374	GPSA
Seurat-Dispersion	Integration	-8.333333333333334	6.918574034197124	GPSA
Seurat-Dispersion	Overall	-6.166666666666667	7.25028735062733	GPSA
Seurat-Dispersion	Alignment	2.5	9.934787365615835	STAligner
Seurat-Dispersion	Clustering	2.8333333333333335	8.79583234643923	STAligner
Seurat-Dispersion	Integration	1.5	4.370354676682432	STAligner
Seurat-Dispersion	Overall	2.1666666666666665	11.160943807163742	STAligner
Seurat-MVP	Alignment	6.666666666666667	7.474400756359446	Cell
Charter
Seurat-MVP	Clustering	4.833333333333333	9.196013629104007	Cell
Charter
Seurat-MVP	Integration	-0.16666666666666666	6.177917664283546	Cell
Charter
Seurat-MVP	Overall	7	9.121403400793104	Cell
Charter
Seurat-MVP	Alignment	8	10.319883720275147	GPSA
Seurat-MVP	Clustering	5.583333333333333	10.346094271108623	GPSA
Seurat-MVP	Integration	3.5	10.67239429556461	GPSA
Seurat-MVP	Overall	12.5	9.049861877399014	GPSA
Seurat-MVP	Alignment	3.6666666666666665	6.889605697474034	STAligner
Seurat-MVP	Clustering	-1	7.720103626247513	STAligner
Seurat-MVP	Integration	-0.5	9.00555384193554	STAligner
Seurat-MVP	Overall	2.3333333333333335	5.391351098441528	STAligner
Seurat-VST	Alignment	1.3333333333333333	7.554248252914824	Cell
Charter
Seurat-VST	Clustering	0.3333333333333333	10.93008081702357	Cell
Charter
Seurat-VST	Integration	4	6.2289646009589745	Cell
Charter
Seurat-VST	Overall	2.5	6.59545297913646	Cell
Charter
Seurat-VST	Alignment	8.333333333333334	10.448285345771653	GPSA
Seurat-VST	Clustering	0.8333333333333334	11.129540272026812	GPSA
Seurat-VST	Integration	7.25	8.784930278607794	GPSA
Seurat-VST	Overall	7.666666666666667	11.183320914051723	GPSA
Seurat-VST	Alignment	-1	5.366563145999495	STAligner
Seurat-VST	Clustering	1.8333333333333333	6.794605703546503	STAligner
Seurat-VST	Integration	6.166666666666667	5.564770136013406	STAligner
Seurat-VST	Overall	2.5	5.540758070878027	STAligner
Seurat-scTransform	Alignment	3.5	8.91227083456127	Cell
Charter
Seurat-scTransform	Clustering	8.625	9.117291264405235	Cell
Charter
Seurat-scTransform	Integration	-1.375	10.689614452488787	Cell
Charter
Seurat-scTransform	Overall	5.5	6.6332495807108	Cell
Charter
Seurat-scTransform	Alignment	1.75	12.27948346982536	GPSA
Seurat-scTransform	Clustering	2.6875	13.106534629718109	GPSA
Seurat-scTransform	Integration	6.875	8.88718981777383	GPSA
Seurat-scTransform	Overall	2.875	11.444743022765643	GPSA
Seurat-scTransform	Alignment	0.125	7.661359446692772	STAligner
