Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
All features	cellcharter	Alignment	12.25	7.45941399460153	Cell
Charter
All features	cellcharter	Clustering	9.125	5.986592162013855	Cell
Charter
All features	cellcharter	Integration	19.375	5.180664601601393	Cell
Charter
All features	cellcharter	Overall	10.875	8.609587678861281	Cell
Charter
All features	gpsa	Alignment	12.875	9.931012033020602	GPSA
All features	gpsa	Clustering	14.5	7.314369419163897	GPSA
All features	gpsa	Integration	11.25	9.498120114753535	GPSA
All features	gpsa	Overall	14.25	9.72111104761179	GPSA
All features	scvi	Alignment	17.625	11.325540037581305	scVI
All features	scvi	Clustering	9.75	6.341473465550866	scVI
All features	scvi	Integration	24	5.707138387268051	scVI
All features	scvi	Overall	18.25	11.436158196077661	scVI
All features	staligner	Alignment	11.75	9.662150012142373	STAligner
All features	staligner	Clustering	10	4.20883424647321	STAligner
All features	staligner	Integration	15.5	7.578164119928482	STAligner
All features	staligner	Overall	11.625	7.74481393302272	STAligner
Anticor	cellcharter	Alignment	12	10.967484410096706	Cell
Charter
Anticor	cellcharter	Clustering	13	8.12403840463596	Cell
Charter
Anticor	cellcharter	Integration	14.75	8.49789889998026	Cell
Charter
Anticor	cellcharter	Overall	13.5	10.515294982615968	Cell
Charter
Anticor	gpsa	Alignment	9.875	9.280355596635292	GPSA
Anticor	gpsa	Clustering	18.375	7.539183358579741	GPSA
Anticor	gpsa	Integration	14.625	9.257236551554064	GPSA
Anticor	gpsa	Overall	16.25	10.333717350775292	GPSA
Anticor	scvi	Alignment	13.25	9.392246042043709	scVI
Anticor	scvi	Clustering	9.5	8.12403840463596	scVI
Anticor	scvi	Integration	18.625	5.629958132298016	scVI
Anticor	scvi	Overall	12.875	9.847951200993172	scVI
Anticor	staligner	Alignment	14	8.332380897952964	STAligner
Anticor	staligner	Clustering	14.125	4.223657859520077	STAligner
Anticor	staligner	Integration	18.375	4.34042460069124	STAligner
Anticor	staligner	Overall	14	7.801098823700598	STAligner
Brennecke	cellcharter	Alignment	9.4	10.114346246792227	Cell
Charter
Brennecke	cellcharter	Clustering	19.4	6.4265076052238514	Cell
Charter
Brennecke	cellcharter	Integration	10.6	9.154233993076646	Cell
Charter
Brennecke	cellcharter	Overall	11.2	11.691877522451216	Cell
Charter
Brennecke	gpsa	Alignment	7	6.051859218455102	GPSA
Brennecke	gpsa	Clustering	14.6	10.597169433391164	GPSA
