Method	Type	Mean	SD	Integration
All features	Alignment	0.37272948904531833	0.3928282198957265	Cell
Charter
All features	Clustering	0.13650740921620583	0.10321580488453283	Cell
Charter
All features	Integration	0.17949355537413036	0.42085678267568594	Cell
Charter
All features	Overall	0.28742367946140723	0.17558205625358983	Cell
Charter
All features	Alignment	0.08778875215801386	0.3151174223986326	GPSA
All features	Clustering	-0.5682002172073674	0.119501609243845	GPSA
All features	Integration	0.25762839579487473	0.1927221515096621	GPSA
All features	Overall	-0.12011002407440242	0.13322616255600508	GPSA
All features	Alignment	0.3081587574535011	0.36332326411996474	STAligner
All features	Clustering	0.038864121720016236	0.14459224056680514	STAligner
All features	Integration	0.13452229772618135	0.22214726015086195	STAligner
All features	Overall	0.17138405027734463	0.15316074985592878	STAligner
Anticor	Alignment	0.09365905670911708	0.1759861905000569	Cell
Charter
Anticor	Clustering	0.13394768041251787	0.12505906355440424	Cell
Charter
Anticor	Integration	0.04589377514012521	0.33959992845927267	Cell
Charter
Anticor	Overall	0.1346161552848332	0.09098958884409578	Cell
Charter
Anticor	Alignment	-0.18645144238386724	0.22596336964160998	GPSA
Anticor	Clustering	-0.5602485151733664	0.12724047639663746	GPSA
Anticor	Integration	0.10672468803875854	0.24410302829345742	GPSA
Anticor	Overall	-0.270142345233879	0.12300936797481783	GPSA
Anticor	Alignment	0.007281147815710098	0.22587818768680765	STAligner
Anticor	Clustering	0.022155835622910375	0.16144235629884765	STAligner
Anticor	Integration	-0.007194845444562267	0.22824732237193834	STAligner
Anticor	Overall	0.014360270980555959	0.1198525216980867	STAligner
Brennecke	Alignment	0.05400889955252597	0.05156477666008473	Cell
Charter
Brennecke	Clustering	0.25959840807100365	0.08590972719472723	Cell
Charter
Brennecke	Integration	-0.04081107558697357	0.3162573419405404	Cell
Charter
Brennecke	Overall	0.15088543022135414	0.07527696155360435	Cell
Charter
Brennecke	Alignment	-0.1716055478955086	0.2115494393818488	GPSA
Brennecke	Clustering	-0.268504270133696	0.2309880791677016	GPSA
Brennecke	Integration	0.10815647417669541	0.14358455476948007	GPSA
Brennecke	Overall	-0.15473360520058993	0.19748321015719178	GPSA
Brennecke	Alignment	0.002737810514894005	0.06605635636118974	STAligner
Brennecke	Clustering	0.17526715432388107	0.31488391646161706	STAligner
Brennecke	Integration	-0.11386049166577325	0.2616777494170832	STAligner
Brennecke	Overall	0.004392767979722656	0.05735745210525897	STAligner
DUBStepR	Alignment	0.16252706762980812	0.24860848656379422	Cell
Charter
DUBStepR	Clustering	0.12810614534339151	0.0948602750571345	Cell
Charter
DUBStepR	Integration	0.22769962202133578	0.11863429883131121	Cell
Charter
DUBStepR	Overall	0.17277761166484512	0.13743546477648	Cell
Charter
DUBStepR	Alignment	-0.15439208572374244	0.31838329997618564	GPSA
DUBStepR	Clustering	-0.6181965491492794	0.060416201614100495	GPSA
DUBStepR	Integration	0.01107426705410681	0.2038734438575215	GPSA
DUBStepR	Overall	-0.253838122606305	0.1786100601368386	GPSA
DUBStepR	Alignment	0.04359269404854094	0.2899337879033584	STAligner
DUBStepR	Clustering	-0.044457799913892544	0.09396136612690152	STAligner
DUBStepR	Integration	0.10103257347902624	0.12762984036995242	STAligner
DUBStepR	Overall	0.033389155871224874	0.12868842480646386	STAligner
Hotspot	Alignment	0.0736454772910153	0.15823758525966303	Cell
Charter
Hotspot	Clustering	0.13953902334312807	0.12464502437605442	Cell
Charter
Hotspot	Integration	-0.02311780442219783	0.3374619546582785	Cell
Charter
Hotspot	Overall	0.10366357979453034	0.11614856808635211	Cell
Charter
Hotspot	Alignment	-0.2094771332506475	0.22663968135339813	GPSA
Hotspot	Clustering	-0.5903634325598681	0.1327290394201747	GPSA
