Method	IntegrationMethod	Type	Mean	SD	Integration
All features	cellcharter	Alignment	0.8072501610178896	0.1645672681090395	Cell
Charter
All features	cellcharter	Clustering	0.7198119363059188	0.07021488369488027	Cell
Charter
All features	cellcharter	Integration	0.5811156823731304	0.33129138929248075	Cell
Charter
All features	cellcharter	Overall	0.7662483589022213	0.0817489639152934	Cell
Charter
All features	gpsa	Alignment	0.5223094241305851	0.09120702819561777	GPSA
All features	gpsa	Clustering	0.015104309882345648	0.014520938243313268	GPSA
All features	gpsa	Integration	0.6592505227938747	0.2159215473026878	GPSA
All features	gpsa	Overall	0.35871465536641167	0.04380303024458567	GPSA
All features	scvi	Alignment	0.43452067197257127	0.3001933972141646	scVI
All features	scvi	Clustering	0.583304527089713	0.10619456947220757	scVI
All features	scvi	Integration	0.401622126999	0.13309333578993268	scVI
All features	scvi	Overall	0.47882467944081414	0.13221120984611912	scVI
All features	staligner	Alignment	0.7426794294260723	0.19540597766074408	STAligner
All features	staligner	Clustering	0.6221686488097292	0.07310836199531436	STAligner
All features	staligner	Integration	0.5361444247251813	0.17866512061314288	STAligner
All features	staligner	Overall	0.6502087297181587	0.11861361275491004	STAligner
Anticor	cellcharter	Alignment	0.8028931712762999	0.16495518774861265	Cell
Charter
Anticor	cellcharter	Clustering	0.7077694056492806	0.07390306409240777	Cell
Charter
Anticor	cellcharter	Integration	0.5987258825950903	0.32677718031041486	Cell
Charter
Anticor	cellcharter	Overall	0.7630609003382914	0.08216723831653713	Cell
Charter
Anticor	gpsa	Alignment	0.5227826721833155	0.09144214238166484	GPSA
Anticor	gpsa	Clustering	0.01357321006339633	0.014749195569122932	GPSA
Anticor	gpsa	Integration	0.6595567954937237	0.21648642916838542	GPSA
Anticor	gpsa	Overall	0.3583023998195793	0.043471215817501865	GPSA
Anticor	scvi	Alignment	0.7092341145671828	0.17847240378906917	scVI
Anticor	scvi	Clustering	0.5738217252367628	0.11397487861824815	scVI
Anticor	scvi	Integration	0.5528321074549651	0.11169172880585206	scVI
Anticor	scvi	Overall	0.6284447450534583	0.0951929589559955	scVI
Anticor	staligner	Alignment	0.7165152623828929	0.239661210462514	STAligner
Anticor	staligner	Clustering	0.5959775608596731	0.07799832217804469	STAligner
Anticor	staligner	Integration	0.5456372620104029	0.2066440718610503	STAligner
Anticor	staligner	Overall	0.6428050160340142	0.10854071340347096	STAligner
Brennecke	cellcharter	Alignment	0.8701144756605593	0.1202222766246321	Cell
Charter
Brennecke	cellcharter	Clustering	0.650815733282971	0.12404150396549193	Cell
Charter
Brennecke	cellcharter	Integration	0.6317312685460529	0.20859782256803566	Cell
Charter
Brennecke	cellcharter	Overall	0.7914601312640874	0.07234836251572604	Cell
Charter
Brennecke	gpsa	Alignment	0.6445000282125248	0.13211164811913673	GPSA
Brennecke	gpsa	Clustering	0.12271305507827135	0.224017458087645	GPSA
Brennecke	gpsa	Integration	0.7806988183097219	0.212530425198547	GPSA
Brennecke	gpsa	Overall	0.48584109584214336	0.1565415137005103	GPSA
Brennecke	scvi	Alignment	0.8161055761080334	0.12882363795330698	scVI
Brennecke	scvi	Clustering	0.39121732521196734	0.1594909189015026	scVI
Brennecke	scvi	Integration	0.6725423441330265	0.12210318255966407	scVI
Brennecke	scvi	Overall	0.6405747010427333	0.04154073444452241	scVI
Brennecke	staligner	Alignment	0.8188433866229274	0.17536744077782873	STAligner
Brennecke	staligner	Clustering	0.5664844795358485	0.1605078083324339	STAligner
Brennecke	staligner	Integration	0.5586818524672532	0.15261518154540327	STAligner
Brennecke	staligner	Overall	0.6449674690224559	0.06953626112225371	STAligner
DUBStepR	cellcharter	Alignment	0.8395046595047297	0.11053427288404973	Cell
Charter
DUBStepR	cellcharter	Clustering	0.7531290283802244	0.059094971022814496	Cell
Charter
DUBStepR	cellcharter	Integration	0.7627599483915318	0.0560372399088152	Cell
Charter
DUBStepR	cellcharter	Overall	0.7851312120921621	0.06560671412893626	Cell
Charter
