dataset	fs_method	n_features	MethodGroup	CanonicalConfig	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	BatchMixingRank	BiologicalConservationRank	IntegrationRank	LabelIndependentClusteringRank	LabelAgreementRank	ClusteringRank	AlignmentRank	CoreOverallRank	AlignmentEligibleOverallRank
DLPFC	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.6027768003037455	0.0014756408265539785	3	0.8511928773946383	0.009134366038314171	3	0.7269848388491919	0.004478377450421118	3	0.6770619605031593	0.0077637964529055775	3	0.6045300817662366	0.03787579263149182	3	0.6407960211346979	0.017651522541277033	3	0.8515784664846677	0.006283565296151242	3	0.6838904299919449	0.009504450388486798	3	0.7397864421561859	0.008339714880350988	3	8.0	27.0	28.0	27.0	29.0	28.0	29.0	28.0	29.0
DLPFC	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8575313007763056	0.01914874520371093	3	0.6286432292469821	0.017806184706546893	3	0.7430872650116438	0.011257929095653709	3	0.4279932018445287	0.008354279105969292	3	0.45230455729909974	0.024047738358732074	3	0.4401488795718142	0.011917415256536397	3	0.7251048785642406	0.008928360279580511	3	0.591618072291729	0.01006267397583725	3	0.6361136743825662	0.009610879562481979	3	8.0	28.0	19.0	29.0	27.0	28.0	30.0	27.0	28.0
DLPFC	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.7907898573175789	0.0091371331683236	3	0.6671428228978264	0.0075004907227785396	3	0.7289663401077027	0.006862790354250246	3	0.5073010135893152	0.06231273840664903	3	0.614412429296423	0.06659895877741141	3	0.5608567214428691	0.06445573489971497	3	0.7250505825000174	0.004226287973856782	3	0.644911530775286	0.028841010998329874	3	0.6716245480168631	0.020513581005647145	3	1.0	33.0	25.0	33.0	25.0	32.0	33.0	32.0	32.0
DLPFC	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.9936967856879354	0.0023272172650596282	3	0.4618695771508457	0.009608546799336624	3	0.7277831814193906	0.005723722687023461	3	0.04954792282083092	0.006821549850767492	3	0.18916473214154036	0.011368821371577019	3	0.11935632748118563	0.00689203097129725	3	0.603834138028969	0.0026922210044020914	3	0.4235697544502881	0.006300900875708777	3	0.48365788230984835	0.0036487378660044825	3	1.0	32.0	25.0	34.0	34.0	34.0	32.0	34.0	34.0
DLPFC	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5202493369087148	0.0014288014871857242	3	0.8885081814978255	0.019498179827829892	3	0.7043787592032701	0.010432042674823781	3	0.6994881887594536	0.015579571679031384	3	0.4909137549727068	0.046413842154027274	3	0.5952009718660803	0.030955286722744734	3	0.8667445201899272	0.0103905970172602	3	0.6497898655346752	0.02057408395229724	3	0.7221080837530924	0.012137132097537567	3	34.0	21.0	31.0	19.0	33.0	31.0	26.0	31.0	31.0
DLPFC	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.47523459993911626	0.007599201605042111	3	0.3784432264733457	0.04690165304167819	3	0.42683891320623096	0.020466578668600178	3	0.48394948860983705	0.0608553496823134	3	0.39247979752167456	0.019116147779489022	3	0.4382146430657558	0.03866248107000887	3	0.5977543886380262	0.048855153583723665	3	0.43252677813599344	0.00953041491020848	3	0.4876026483033377	0.010098603771596593	3	34.0	34.0	34.0	18.0	29.0	29.0	33.0	32.0	32.0
DLPFC	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5361794303507982	0.001831856888663078	3	0.9182927755907047	0.031151596424150354	3	0.7272361029707515	0.016491610635703265	3	0.7232766891251775	0.001598772943031239	3	0.6962529099944604	0.019289290254602205	3	0.709764799559819	0.01016956929124894	3	0.917312075942172	0.007489692044965925	3	0.7185004512652852	0.013089911677875453	3	0.7847709928242476	0.0069880141251843905	3	32.0	19.0	27.0	2.0	12.0	11.0	15.0	15.0	14.0
DLPFC	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7278972203226646	0.05340987949761991	3	0.7303041041834142	0.023903908540649596	3	0.7291006622530394	0.03834261502500337	3	0.4972734964850218	0.011445102644364434	3	0.6943105858480122	0.03215721524219624	3	0.5957920411665171	0.010952324682744118	3	0.7989031743850794	0.032405523009498303	3	0.6624463517097782	0.01612733589137658	3	0.7079319592682118	0.021476806497830455	3	28.0	10.0	24.0	16.0	11.0	11.0	11.0	16.0	14.0
DLPFC	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5676949608535634	0.003545405630604263	3	0.9542541798578501	0.004823165932157583	3	0.7609745703557067	0.0012129408840161919	3	0.706922386740961	0.0009834632237789797	3	0.6881526847236229	0.06312300425674074	3	0.6975375357322919	0.0319874030802809	3	0.9296509408060478	0.0034904389986611653	3	0.7292560530439993	0.015565446716898636	3	0.7960543489646822	0.010681626843384093	3	17.0	7.0	7.0	10.0	14.0	14.0	8.0	11.0	11.0
DLPFC	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8113686337161141	0.03376355122178883	3	0.7281999369782866	0.006275037232447168	3	0.7697842853472004	0.015306405048966139	3	0.5152503300898409	0.008203712462636754	3	0.7086935325682492	0.016842715473680155	3	0.611971931329045	0.009826647221933263	3	0.8141767943246973	0.0036840877149621402	3	0.6908781083381227	0.011013182755999464	3	0.7319776703336475	0.007100301609768553	3	16.0	11.0	10.0	2.0	8.0	6.0	10.0	7.0	8.0
DLPFC	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5412582743306723	0.004301403765031617	3	0.9255143520029544	0.04417705817898314	3	0.7333863131668134	0.020849120874227012	3	0.7263796062481965	0.004086163873560426	3	0.6857936671180017	0.09677445587553235	3	0.7060866366830991	0.04686337577261118	3	0.9274054422436843	0.003737616900789955	3	0.7197364749249563	0.027380104299377026	3	0.788959464031199	0.019212886050789982	3	30.0	18.0	24.0	1.0	15.0	12.0	10.0	14.0	13.0
DLPFC	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7897886676170446	0.025298689632795482	3	0.7497895507475962	0.021936541465131756	3	0.7697891091823204	0.005296695039903866	3	0.5134706464352076	0.013986465448167054	3	0.7423528445564743	0.03306564264066205	3	0.6279117454958408	0.021116941549901944	3	0.8157064165572464	0.012826093095045146	3	0.6988504273390808	0.012946524010949905	3	0.7378024237451358	0.011015757739529196	3	20.0	6.0	9.0	6.0	2.0	3.0	9.0	4.0	5.0
