dataset	task	metric_name	Lower	Upper	NFiniteSettings	Range	RangeStatus	FrozenScaleDenominator	RangeSource
DLPFC	alignment_eval	Accuracy	0.1911	0.7779333333333334	438	0.5868333333333333	ok	0.5868333333333333	seed-averaged setting-level oriented metric values
DLPFC	alignment_eval	Ratio	-6.5600224227	-0.7340294017333333	438	5.825993020966667	ok	5.825993020966667	seed-averaged setting-level oriented metric values
DLPFC	clustering_eval	CHAOS	-0.0892011679	-0.0581763831	438	0.031024784800000003	ok	0.031024784800000003	seed-averaged setting-level oriented metric values
DLPFC	clustering_eval	PAS	-0.8281666667	-0.026944444433333336	438	0.8012222222666667	ok	0.8012222222666667	seed-averaged setting-level oriented metric values
DLPFC	clustering_eval	ari	0.0102727844	0.3847598367	438	0.3744870523	ok	0.3744870523	seed-averaged setting-level oriented metric values
DLPFC	clustering_eval	nmi	0.0183960378	0.5333746913	438	0.5149786535	ok	0.5149786535	seed-averaged setting-level oriented metric values
DLPFC	clustering_eval	silhouette	0.029338402066666668	0.8794011474	438	0.8500627453333333	ok	0.8500627453333333	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	GC	0.2342750748	0.993962209	438	0.7596871342	ok	0.7596871342	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	ILL	0.2138871761	0.7071418377	438	0.4932546616000001	ok	0.4932546616000001	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	bASW	0.2491534837	0.996775472	438	0.7476219883	ok	0.7476219883	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	dASW	0.4023712054	0.535358496	438	0.13298729059999997	ok	0.13298729059999997	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	dLISI	0.4844990385	0.9507964562	438	0.4662974177	ok	0.4662974177	seed-averaged setting-level oriented metric values
DLPFC	integration_eval	iLISI	0.0012992992	0.7221799351000001	438	0.7208806359000001	ok	0.7208806359000001	seed-averaged setting-level oriented metric values
E8p5Embryo	clustering_eval	CHAOS	-0.1368430974	-0.0532607287	424	0.08358236869999999	ok	0.08358236869999999	seed-averaged setting-level oriented metric values
E8p5Embryo	clustering_eval	PAS	-0.981	-0.0909166667	424	0.8900833333	ok	0.8900833333	seed-averaged setting-level oriented metric values
E8p5Embryo	clustering_eval	silhouette	-0.1284756213	0.6791920066	424	0.8076676279	ok	0.8076676279	seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	GC			0		unavailable		seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	ILL			0		unavailable		seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	bASW	0.8819584101	0.9997620521	424	0.11780364200000004	ok	0.11780364200000004	seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	dASW			0		unavailable		seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	dLISI			0		unavailable		seed-averaged setting-level oriented metric values
E8p5Embryo	integration_eval	iLISI	0.1295350299	0.6596340276	424	0.5300989977	ok	0.5300989977	seed-averaged setting-level oriented metric values
E9p5Embryo	clustering_eval	CHAOS	-0.1356938325	-0.0502401742	424	0.0854536583	ok	0.0854536583	seed-averaged setting-level oriented metric values
E9p5Embryo	clustering_eval	PAS	-0.9751666667	-0.0728333333	424	0.9023333334	ok	0.9023333334	seed-averaged setting-level oriented metric values
E9p5Embryo	clustering_eval	silhouette	-0.0883996114	0.7082412839	424	0.7966408952999999	ok	0.7966408952999999	seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	GC			0		unavailable		seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	ILL			0		unavailable		seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	bASW	0.8604619801	0.9999292047	424	0.13946722460000005	ok	0.13946722460000005	seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	dASW			0		unavailable		seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	dLISI			0		unavailable		seed-averaged setting-level oriented metric values
E9p5Embryo	integration_eval	iLISI	0.0891234357	0.6306939552	424	0.5415705195	ok	0.5415705195	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	alignment_eval	Accuracy	0.0216	0.226	438	0.2044	ok	0.2044	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	alignment_eval	Ratio	-9.4952311292	-0.796076736	438	8.6991543932	ok	8.6991543932	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	clustering_eval	CHAOS	-0.10243881	-0.0620070386	438	0.040431771400000004	ok	0.040431771400000004	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	clustering_eval	PAS	-0.9762004657	-0.0226779495	438	0.9535225162	ok	0.9535225162	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	clustering_eval	ari	0.0012709551	0.4013912207	438	0.40012026559999997	ok	0.40012026559999997	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	clustering_eval	nmi	0.0225759272	0.5184147746	438	0.49583884739999995	ok	0.49583884739999995	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	clustering_eval	silhouette	0.0036862821	0.859418869	438	0.8557325869	ok	0.8557325869	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	GC	0.3598446367	0.9682639717666667	438	0.6084193350666667	ok	0.6084193350666667	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	ILL	0.0529482551	0.4750430293	438	0.42209477419999997	ok	0.42209477419999997	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	bASW	0.0654689148	0.9842992541	438	0.9188303392999999	ok	0.9188303392999999	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	dASW	0.2939853966	0.4960020958	438	0.20201669919999998	ok	0.20201669919999998	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	dLISI	0.4308970575	0.9526374718	438	0.5217404143	ok	0.5217404143	seed-averaged setting-level oriented metric values
MouseBrainSerialSections	integration_eval	iLISI	0.0	0.8848293675	438	0.8848293675	ok	0.8848293675	seed-averaged setting-level oriented metric values
STOmics0212	clustering_eval	CHAOS	-0.1751944338	-0.1118312248	438	0.06336320899999999	ok	0.06336320899999999	seed-averaged setting-level oriented metric values
STOmics0212	clustering_eval	PAS	-0.8910629844	-0.00850812	438	0.8825548644	ok	0.8825548644	seed-averaged setting-level oriented metric values
STOmics0212	clustering_eval	ari	0.0076496369	0.16880999330000002	438	0.1611603564	ok	0.1611603564	seed-averaged setting-level oriented metric values
