dataset	fs_method	n_features	MethodGroup	CanonicalConfig
DLPFC	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml
DLPFC	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml
DLPFC	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml
DLPFC	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml
DLPFC	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml
