dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	Brennecke	100	cellcharter	alignment_eval	Accuracy	0.5841	0	59.0163120525	28892.62109375	100	cache_signature=6833453c72957f833bfe55cd235eb6fc	1	0.5841	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.6696961090599262
DLPFC	Visium	4	Brennecke	100	cellcharter	alignment_eval	Ratio	1.0607215738	0	59.0163120525	28892.62109375	100	cache_signature=6833453c72957f833bfe55cd235eb6fc	-1	-1.0607215738	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9439250663550468
DLPFC	Visium	4	Brennecke	100	cellcharter	clustering_eval	silhouette	0.0886779279	0	59.3865839103	28892.62109375	100	cache_signature=d7a784ef602b5ea8db4e997292095f13	1	0.0886779279	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.06980605391671958
DLPFC	Visium	4	Brennecke	100	cellcharter	clustering_eval	ari	0.1880283574	0	59.3865839103	28892.62109375	100	cache_signature=d7a784ef602b5ea8db4e997292095f13	1	0.1880283574	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.4746641356711066
DLPFC	Visium	4	Brennecke	100	cellcharter	clustering_eval	nmi	0.2848408153	0	59.3865839103	28892.62109375	100	cache_signature=d7a784ef602b5ea8db4e997292095f13	1	0.2848408153	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.5173899455620834
DLPFC	Visium	4	Brennecke	100	cellcharter	clustering_eval	CHAOS	0.0599558113	0	59.3865839103	28892.62109375	100	cache_signature=d7a784ef602b5ea8db4e997292095f13	-1	-0.0599558113	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9426449462431081
DLPFC	Visium	4	Brennecke	100	cellcharter	clustering_eval	PAS	0.0874166667	0	59.3865839103	28892.62109375	100	cache_signature=d7a784ef602b5ea8db4e997292095f13	-1	-0.0874166667	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9245250311510456
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	bASW	0.9843476299	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.9843476299	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.98337683709884
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	iLISI	0.2811936258	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.2811936258	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.3882672285274517
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	dASW	0.5018335679	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.5018335679	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.7479087817433889
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	dLISI	0.8388933331	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.8388933331	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.7600177078999081
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	ILL	0.450463078	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.450463078	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.47962223232235535
DLPFC	Visium	4	Brennecke	100	cellcharter	integration_eval	GC	0.9673257001	0	61.8827353865	28892.62109375	100	cache_signature=99c9ac50fbc28692fa74e992e7882ad9	1	0.9673257001	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.964937527962679
DLPFC	Visium	4	Brennecke	1000	cellcharter	alignment_eval	Accuracy	0.6323	0	65.9206537139	28892.62109375	1000	cache_signature=f5252bf2379979f4e4b0e7892bc35c13	1	0.6323	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7518318659471741
DLPFC	Visium	4	Brennecke	1000	cellcharter	alignment_eval	Ratio	1.2230692201	0	65.9206537139	28892.62109375	1000	cache_signature=f5252bf2379979f4e4b0e7892bc35c13	-1	-1.2230692201	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9160589762798027
DLPFC	Visium	4	Brennecke	1000	cellcharter	clustering_eval	silhouette	0.0865360349	0	66.3855906501	28892.62109375	1000	cache_signature=0d9f8afa480a28574c95ec2242207615	1	0.0865360349	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.06728636579750892
DLPFC	Visium	4	Brennecke	1000	cellcharter	clustering_eval	ari	0.1823914167	0	66.3855906501	28892.62109375	1000	cache_signature=0d9f8afa480a28574c95ec2242207615	1	0.1823914167	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.45961170417746905
DLPFC	Visium	4	Brennecke	1000	cellcharter	clustering_eval	nmi	0.3182680596	0	66.3855906501	28892.62109375	1000	cache_signature=0d9f8afa480a28574c95ec2242207615	1	0.3182680596	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.5822999065338929
