dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Brennecke	100	cellcharter	alignment_eval	Accuracy	0.5841		0.5841		1	100	100	59.0163120525	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.6696961090599262
DLPFC	Brennecke	100	cellcharter	alignment_eval	Ratio	1.0607215738		-1.0607215738		1	100	100	59.0163120525	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9439250663550468
DLPFC	Brennecke	100	cellcharter	clustering_eval	CHAOS	0.0599558113		-0.0599558113		1	100	100	59.3865839103	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9426449462431081
DLPFC	Brennecke	100	cellcharter	clustering_eval	PAS	0.0874166667		-0.0874166667		1	100	100	59.3865839103	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9245250311510456
DLPFC	Brennecke	100	cellcharter	clustering_eval	ari	0.1880283574		0.1880283574		1	100	100	59.3865839103	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.4746641356711066
DLPFC	Brennecke	100	cellcharter	clustering_eval	nmi	0.2848408153		0.2848408153		1	100	100	59.3865839103	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.5173899455620834
DLPFC	Brennecke	100	cellcharter	clustering_eval	silhouette	0.0886779279		0.0886779279		1	100	100	59.3865839103	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.06980605391671958
DLPFC	Brennecke	100	cellcharter	integration_eval	GC	0.9673257001		0.9673257001		1	100	100	61.8827353865	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.964937527962679
DLPFC	Brennecke	100	cellcharter	integration_eval	ILL	0.450463078		0.450463078		1	100	100	61.8827353865	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.47962223232235535
DLPFC	Brennecke	100	cellcharter	integration_eval	bASW	0.9843476299		0.9843476299		1	100	100	61.8827353865	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.98337683709884
