dataset	fs_method	n_features	integration_method	random_seed	Accuracy	CHAOS	GC	ILL	PAS	Ratio	ari	bASW	dASW	dLISI	iLISI	nmi	silhouette	BatchMixing	BiologicalConservation	Integration	LabelIndependentClustering	LabelAgreement	Clustering	Alignment	CoreOverall	AlignmentEligibleOverall	MethodGroup
DLPFC	Brennecke	100	cellcharter	0	0.6696961090599262	0.9426449462431081	0.964937527962679	0.47962223232235535	0.9245250311510456	0.9439250663550468	0.4746641356711066	0.98337683709884	0.7479087817433889	0.7600177078999081	0.3882672285274517	0.5173899455620834	0.06980605391671958	0.6858220328131459	0.7381215624820828	0.7119717976476143	0.6456586771036245	0.49602704061659497	0.5708428588601098	0.8068105877074865	0.641407328253862	0.6965417480717369	expression_driven
DLPFC	Brennecke	100	scvi	0	0.332803180914513	0.3867773161798046	0.7568906646095995	0.2013511756337753	0.38118846209229296	0.9898020889738709	0.21947099531269962	0.9799766326642696	0.6377358769951512	0.4943588753654811	0.9102054176844618	0.22502678259070788	0.10469276817728997	0.9450910251743657	0.5225841481510018	0.7338375866626838	0.29088618214979584	0.22224888895170375	0.2565675355507498	0.661302634944192	0.4952025611067168	0.5505692523858752	expression_driven
DLPFC	Brennecke	1000	cellcharter	0	0.7518318659471741	0.9631809533131718	0.9775362388913287	0.6816759971600032	0.9563514075187158	0.9160589762798027	0.45961170417746905	0.9662267938943121	0.778322191789958	0.853274357517421	0.2827896784125562	0.5822999065338929	0.06728636579750892	0.6245082361534342	0.8227021963396777	0.7236052162465559	0.6622729088764655	0.520955805355681	0.5916143571160732	0.8339454211134885	0.6576097866813146	0.7163883314920393	expression_driven
DLPFC	Brennecke	1000	scvi	0	0.4473161033797217	0.49662510471305515	0.7909356034214644	0.2985093272557933	0.507869920967529	0.9841137031002982	0.3468904398754295	0.9753780169817405	0.680947372425076	0.6060353788658779	0.8971799174388115	0.3808106079099839	0.163072146137843	0.936278967210276	0.5941069204920529	0.7651929438511644	0.389189057272809	0.36385052389270667	0.37651979058275786	0.71571490324001	0.5708563672169611	0.6191425458913108	expression_driven
DLPFC	Brennecke	10000	cellcharter	0	0.8409542743538767	0.9894586182592957	0.7809013543775769	0.8854032748182343	0.9858896130780258	0.8724845558185373	0.550255942720613	0.88677164178586	0.8506500507650767	0.9571830380307936	0.17395170858410347	0.6737810434311525	0.21778590751055446	0.5303616751849818	0.8685344294979205	0.6994480523414511	0.731044712949292	0.6120184930758827	0.6715316030125873	0.856719415086207	0.6854898276770192	0.742566356813415	expression_driven
DLPFC	Brennecke	10000	scvi	0	0.44782732178358425	0.5906822277136313	0.6086574667174349	0.3486040524021273	0.4116627375447698	0.9268825409619206	0.38204197560717634	0.9176550068571598	0.5333473219883765	0.6591786780980066	0.25078897656099464	0.4725648087469707	0.4085935682278789	0.5842219917090772	0.5374468798014863	0.5608344357552817	0.4703128444954266	0.4273033921770735	0.44880811833625006	0.6873549313727524	0.5048212770457658	0.5656658284880947	expression_driven
DLPFC	Brennecke	200	cellcharter	0	0.7267821641579097	0.9334982139827768	0.9742373696763865	0.5515369691946564	0.9141242546019068	0.9367782008936303	0.3963102865332361	0.9849951754020662	0.7708044989676632	0.8049515108863105	0.36040695679893486	0.4878912655745642	0.05041604313164904	0.6727010661005005	0.7753825871812542	0.7240418266408774	0.6326795039054441	0.44210077605390014	0.5373901399796721	0.83178018252577	0.6307159833102747	0.6977373830487732	expression_driven
DLPFC	Brennecke	200	scvi	0	0.40215847770519736	0.4332772003627244	0.7736344519233007	0.2365702801905359	0.41145472197135186	0.9851805577253607	0.27856630972765944	0.9856390198950492	0.6879672921165597	0.5364454217521181	0.9170604772517511	0.3018188545168503	0.11580378763067906	0.9513497485734002	0.5586543614956285	0.7550020550345143	0.3201785699882518	0.29019258212225485	0.3051855760552533	0.6936695177152791	0.5300938155448838	0.5846190496016822	expression_driven
DLPFC	Brennecke	2000	cellcharter	0	0.7826753763135473	0.9710005337410109	0.9792501699839897	0.7444548866682216	0.9664401608949417	0.9159083407577824	0.5522326019814704	0.9509881999547389	0.8124593050397856	0.8820612718139015	0.2575127763949971	0.6008515675300704	0.08228858895104714	0.604250488174868	0.8545564083764745	0.7294034482756713	0.6732430945289999	0.5765420847557704	0.6248925896423851	0.8492918585356648	0.6771480189590282	0.7345292988179071	expression_driven
DLPFC	Brennecke	2000	cellcharter	1	0.7801192842942347	0.9830881502198203	0.9708999072055103	0.7138818393683073	0.9813132713364963	0.9133975201221661	0.5614934439216658	0.9516395186794695	0.807953170676898	0.870679684872722	0.25392187830301516	0.6173454498342619	0.09358521940887818	0.6027806984912423	0.8408536505308594	0.7218171745110509	0.6859955469883983	0.5894194468779639	0.6377074969331811	0.8467584022082004	0.679762335722116	0.7354276912174775	expression_driven
DLPFC	Brennecke	2000	cellcharter	2	0.8043169554103948	0.9704207198884421	0.9724962712156459	0.7538107380352024	0.9605117182382188	0.9130533220098815	0.6229462865731232	0.9516536956300754	0.8185598270997491	0.8878074567557273	0.25094473286017693	0.6723111407568275	0.08490928184957716	0.6012992142451261	0.8581685732765811	0.7297338937608536	0.6719472399920794	0.6476287136649754	0.6597879768285274	0.8586851387101382	0.6947609352946905	0.7494023364331731	expression_driven
DLPFC	Brennecke	2000	scvi	0	0.4583925021300767	0.5565467870707034	0.7832720004224076	0.33680367877541006	0.5099500763272805	0.9714148319664423	0.3911907530587807	0.9620655408163039	0.6652627863974244	0.650810835489643	0.7510629903715519	0.47206793164680166	0.2028403221761235	0.8565642655939278	0.6090373252712213	0.7328007954325746	0.4231123951913691	0.43162934235279116	0.42737086877208014	0.7149036670482595	0.5800858321023273	0.6250251104176381	expression_driven
DLPFC	Brennecke	2000	scvi	1	0.48037489349616586	0.5464267362138155	0.7796172154787032	0.3554059471660146	0.54583275556534	0.9774537661143865	0.4241015648593627	0.9715167170933247	0.7306857299038775	0.666622026845507	0.7827737651677986	0.46907698107141055	0.22065949821125286	0.8771452411305616	0.6330827298485256	0.7551139854895437	0.4376396633301362	0.44658927296538664	0.44211446814776145	0.7289143298052762	0.5986142268186525	0.6420475944808604	expression_driven
DLPFC	Brennecke	2000	scvi	2	0.4917921045157626	0.5359294031267543	0.8111740943841826	0.38561934758611105	0.5228470392581974	0.9712011731626091	0.45962036802840883	0.9654132189734045	0.6924045612521114	0.6860405272623925	0.7123555722354504	0.4977697451298338	0.21090619865129048	0.8388843956044274	0.6438096326211994	0.7413470141128133	0.42322754701208076	0.4786950565791213	0.450961301795601	0.7314966388391859	0.5961541579542071	0.6412683182492	expression_driven
DLPFC	Brennecke	500	cellcharter	0	0.7462084635046862	0.9614378018183707	0.971709484427912	0.6275801684182197	0.9358618777181604	0.9225760194968748	0.4294865761370944	0.9832455484241673	0.7702962007709327	0.8335451337413657	0.3445512254465039	0.57143158711529	0.05625440427292443	0.6638983869353356	0.8007827468396076	0.7323405668874716	0.6511846946031519	0.5004590816261922	0.575821888114672	0.8343922415007805	0.6540812275010719	0.7141848988343081	expression_driven
DLPFC	Brennecke	500	scvi	0	0.4529395058222096	0.4622942815706493	0.7917973461975737	0.2826671223901515	0.4726112883249141	0.9860853572129381	0.357837382566297	0.9800531924777793	0.7053735148432301	0.594416422392296	0.9227747032898209	0.38867203706337705	0.135296696467076	0.9514139478838002	0.5935636014558129	0.7724887746698066	0.3567340887875465	0.373254709814837	0.3649943993011917	0.7195124315175738	0.5687415869854991	0.6189985351628574	expression_driven
DLPFC	Brennecke	5000	cellcharter	0	0.8540755467196821	0.9926756784466076	0.519832628225126	0.8420425924668037	0.9951463042853891	0.895829920052673	0.5617753610115935	0.9145273899109047	0.8228003759330671	0.9370832794985047	0.2076253978068604	0.6301206690696355	0.16307119961947783	0.5610763938588825	0.7804397190308754	0.670758056444879	0.7169643941171583	0.5959480150406145	0.6564562045788864	0.8749527333861775	0.6636071305118827	0.7340556648033143	expression_driven
DLPFC	Brennecke	5000	scvi	0	0.5343936381709743	0.6533372215365053	0.7509570782724465	0.41497178827675973	0.589308001673038	0.9639411106723554	0.5566265904782524	0.9240518320908245	0.6913754568964805	0.7239305580224749	0.6739367475080765	0.5972316009793598	0.3338865891858816	0.7989942897994505	0.6453087203670403	0.7221515050832454	0.5255106041318083	0.576929095728806	0.5512198499303071	0.7491673744216649	0.6366856775067763	0.6741795764784059	expression_driven
