dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	100	cellcharter	alignment_eval	Accuracy	0.5841		0.5841		1	100	100	59.0163120525
DLPFC	Brennecke	100	cellcharter	alignment_eval	Ratio	1.0607215738		-1.0607215738		1	100	100	59.0163120525
DLPFC	Brennecke	100	cellcharter	clustering_eval	CHAOS	0.0599558113		-0.0599558113		1	100	100	59.3865839103
DLPFC	Brennecke	100	cellcharter	clustering_eval	PAS	0.0874166667		-0.0874166667		1	100	100	59.3865839103
DLPFC	Brennecke	100	cellcharter	clustering_eval	ari	0.1880283574		0.1880283574		1	100	100	59.3865839103
DLPFC	Brennecke	100	cellcharter	clustering_eval	nmi	0.2848408153		0.2848408153		1	100	100	59.3865839103
DLPFC	Brennecke	100	cellcharter	clustering_eval	silhouette	0.0886779279		0.0886779279		1	100	100	59.3865839103
DLPFC	Brennecke	100	cellcharter	integration_eval	GC	0.9673257001		0.9673257001		1	100	100	61.8827353865
DLPFC	Brennecke	100	cellcharter	integration_eval	ILL	0.450463078		0.450463078		1	100	100	61.8827353865
DLPFC	Brennecke	100	cellcharter	integration_eval	bASW	0.9843476299		0.9843476299		1	100	100	61.8827353865
DLPFC	Brennecke	100	cellcharter	integration_eval	dASW	0.5018335679		0.5018335679		1	100	100	61.8827353865
DLPFC	Brennecke	100	cellcharter	integration_eval	dLISI	0.8388933331		0.8388933331		1	100	100	61.8827353865
DLPFC	Brennecke	100	cellcharter	integration_eval	iLISI	0.2811936258		0.2811936258		1	100	100	61.8827353865
DLPFC	Brennecke	100	scvi	alignment_eval	Accuracy	0.3864		0.3864		1	100	100	38.8507700153
DLPFC	Brennecke	100	scvi	alignment_eval	Ratio	0.7934423602		-0.7934423602		1	100	100	38.8507700153
DLPFC	Brennecke	100	scvi	clustering_eval	CHAOS	0.0772014849		-0.0772014849		1	100	100	39.8205660144
DLPFC	Brennecke	100	scvi	clustering_eval	PAS	0.52275		-0.52275		1	100	100	39.8205660144
DLPFC	Brennecke	100	scvi	clustering_eval	ari	0.0924618305		0.0924618305		1	100	100	39.8205660144
DLPFC	Brennecke	100	scvi	clustering_eval	nmi	0.1342800273		0.1342800273		1	100	100	39.8205660144
DLPFC	Brennecke	100	scvi	clustering_eval	silhouette	0.118333824		0.118333824		1	100	100	39.8205660144
DLPFC	Brennecke	100	scvi	integration_eval	GC	0.8092751747		0.8092751747		1	100	100	41.7255699728
DLPFC	Brennecke	100	scvi	integration_eval	ILL	0.3132045821		0.3132045821		1	100	100	41.7255699728
DLPFC	Brennecke	100	scvi	integration_eval	bASW	0.9818055623		0.9818055623		1	100	100	41.7255699728
DLPFC	Brennecke	100	scvi	integration_eval	dASW	0.4871819718		0.4871819718		1	100	100	41.7255699728
DLPFC	Brennecke	100	scvi	integration_eval	dLISI	0.7150173055		0.7150173055		1	100	100	41.7255699728
DLPFC	Brennecke	100	scvi	integration_eval	iLISI	0.6574487595		0.6574487595		1	100	100	41.7255699728
DLPFC	Brennecke	1000	cellcharter	alignment_eval	Accuracy	0.6323		0.6323		1	1000	1000	65.9206537139
DLPFC	Brennecke	1000	cellcharter	alignment_eval	Ratio	1.2230692201		-1.2230692201		1	1000	1000	65.9206537139
DLPFC	Brennecke	1000	cellcharter	clustering_eval	CHAOS	0.0593186861		-0.0593186861		1	1000	1000	66.3855906501
DLPFC	Brennecke	1000	cellcharter	clustering_eval	PAS	0.0619166667		-0.0619166667		1	1000	1000	66.3855906501
DLPFC	Brennecke	1000	cellcharter	clustering_eval	ari	0.1823914167		0.1823914167		1	1000	1000	66.3855906501
DLPFC	Brennecke	1000	cellcharter	clustering_eval	nmi	0.3182680596		0.3182680596		1	1000	1000	66.3855906501
DLPFC	Brennecke	1000	cellcharter	clustering_eval	silhouette	0.0865360349		0.0865360349		1	1000	1000	66.3855906501
DLPFC	Brennecke	1000	cellcharter	integration_eval	GC	0.9768967787		0.9768967787		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	cellcharter	integration_eval	ILL	0.5501270394		0.5501270394		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	cellcharter	integration_eval	bASW	0.9715258805		0.9715258805		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	cellcharter	integration_eval	dASW	0.5058781649		0.5058781649		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	cellcharter	integration_eval	dLISI	0.882378668		0.882378668		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	cellcharter	integration_eval	iLISI	0.2051569024		0.2051569024		1	1000	1000	68.9939867109
DLPFC	Brennecke	1000	scvi	alignment_eval	Accuracy	0.4536		0.4536		1	1000	1000	39.8982423032
DLPFC	Brennecke	1000	scvi	alignment_eval	Ratio	0.8265828566		-0.8265828566		1	1000	1000	39.8982423032
DLPFC	Brennecke	1000	scvi	clustering_eval	CHAOS	0.0737934809		-0.0737934809		1	1000	1000	40.7450697599
DLPFC	Brennecke	1000	scvi	clustering_eval	PAS	0.42125		-0.42125		1	1000	1000	40.7450697599
DLPFC	Brennecke	1000	scvi	clustering_eval	ari	0.1401787627		0.1401787627		1	1000	1000	40.7450697599
DLPFC	Brennecke	1000	scvi	clustering_eval	nmi	0.2145053719		0.2145053719		1	1000	1000	40.7450697599
DLPFC	Brennecke	1000	scvi	clustering_eval	silhouette	0.1679599583		0.1679599583		1	1000	1000	40.7450697599
DLPFC	Brennecke	1000	scvi	integration_eval	GC	0.8351386767		0.8351386767		1	1000	1000	42.5088175675
DLPFC	Brennecke	1000	scvi	integration_eval	ILL	0.3611282933		0.3611282933		1	1000	1000	42.5088175675
DLPFC	Brennecke	1000	scvi	integration_eval	bASW	0.9783675361		0.9783675361		1	1000	1000	42.5088175675
DLPFC	Brennecke	1000	scvi	integration_eval	dASW	0.4929285515		0.4929285515		1	1000	1000	42.5088175675
DLPFC	Brennecke	1000	scvi	integration_eval	dLISI	0.7670917707		0.7670917707		1	1000	1000	42.5088175675
DLPFC	Brennecke	1000	scvi	integration_eval	iLISI	0.6480589286		0.6480589286		1	1000	1000	42.5088175675
DLPFC	Brennecke	10000	cellcharter	alignment_eval	Accuracy	0.6846		0.6846		1	10000	10000	192.1670436971
DLPFC	Brennecke	10000	cellcharter	alignment_eval	Ratio	1.4769334896		-1.4769334896		1	10000	10000	192.1670436971
DLPFC	Brennecke	10000	cellcharter	clustering_eval	CHAOS	0.0585034272		-0.0585034272		1	10000	10000	192.5292484639
DLPFC	Brennecke	10000	cellcharter	clustering_eval	PAS	0.03825		-0.03825		1	10000	10000	192.5292484639
DLPFC	Brennecke	10000	cellcharter	clustering_eval	ari	0.2163365104		0.2163365104		1	10000	10000	192.5292484639
DLPFC	Brennecke	10000	cellcharter	clustering_eval	nmi	0.3653788923		0.3653788923		1	10000	10000	192.5292484639
DLPFC	Brennecke	10000	cellcharter	clustering_eval	silhouette	0.2144700885		0.2144700885		1	10000	10000	192.5292484639
DLPFC	Brennecke	10000	cellcharter	integration_eval	GC	0.8275157868		0.8275157868		1	10000	10000	195.1995171402
DLPFC	Brennecke	10000	cellcharter	integration_eval	ILL	0.6506164688		0.6506164688		1	10000	10000	195.1995171402
DLPFC	Brennecke	10000	cellcharter	integration_eval	bASW	0.9121234617		0.9121234617		1	10000	10000	195.1995171402
DLPFC	Brennecke	10000	cellcharter	integration_eval	dASW	0.5154968509		0.5154968509		1	10000	10000	195.1995171402
