dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	Brennecke	100	cellcharter	0.6858220328131459		1	0.7381215624820828		1	0.7119717976476143		1	0.6456586771036245		1	0.49602704061659497		1	0.5708428588601098		1	0.8068105877074865		1	0.641407328253862		1	0.6965417480717369		1	expression_driven
DLPFC	Brennecke	100	scvi	0.9450910251743657		1	0.5225841481510018		1	0.7338375866626838		1	0.29088618214979584		1	0.22224888895170375		1	0.2565675355507498		1	0.661302634944192		1	0.4952025611067168		1	0.5505692523858752		1	expression_driven
DLPFC	Brennecke	1000	cellcharter	0.6245082361534342		1	0.8227021963396777		1	0.7236052162465559		1	0.6622729088764655		1	0.520955805355681		1	0.5916143571160732		1	0.8339454211134885		1	0.6576097866813146		1	0.7163883314920393		1	expression_driven
DLPFC	Brennecke	1000	scvi	0.936278967210276		1	0.5941069204920529		1	0.7651929438511644		1	0.389189057272809		1	0.36385052389270667		1	0.37651979058275786		1	0.71571490324001		1	0.5708563672169611		1	0.6191425458913108		1	expression_driven
DLPFC	Brennecke	10000	cellcharter	0.5303616751849818		1	0.8685344294979205		1	0.6994480523414511		1	0.731044712949292		1	0.6120184930758827		1	0.6715316030125873		1	0.856719415086207		1	0.6854898276770192		1	0.742566356813415		1	expression_driven
DLPFC	Brennecke	10000	scvi	0.5842219917090772		1	0.5374468798014863		1	0.5608344357552817		1	0.4703128444954266		1	0.4273033921770735		1	0.44880811833625006		1	0.6873549313727524		1	0.5048212770457658		1	0.5656658284880947		1	expression_driven
DLPFC	Brennecke	200	cellcharter	0.6727010661005005		1	0.7753825871812542		1	0.7240418266408774		1	0.6326795039054441		1	0.44210077605390014		1	0.5373901399796721		1	0.83178018252577		1	0.6307159833102747		1	0.6977373830487732		1	expression_driven
DLPFC	Brennecke	200	scvi	0.9513497485734002		1	0.5586543614956285		1	0.7550020550345143		1	0.3201785699882518		1	0.29019258212225485		1	0.3051855760552533		1	0.6936695177152791		1	0.5300938155448838		1	0.5846190496016822		1	expression_driven
DLPFC	Brennecke	2000	cellcharter	0.6027768003037455	0.0014756408265539785	3	0.8511928773946383	0.009134366038314171	3	0.7269848388491919	0.004478377450421118	3	0.6770619605031593	0.0077637964529055775	3	0.6045300817662366	0.03787579263149182	3	0.6407960211346979	0.017651522541277033	3	0.8515784664846677	0.006283565296151242	3	0.6838904299919449	0.009504450388486798	3	0.7397864421561859	0.008339714880350988	3	expression_driven
DLPFC	Brennecke	2000	scvi	0.8575313007763056	0.01914874520371093	3	0.6286432292469821	0.017806184706546893	3	0.7430872650116438	0.011257929095653709	3	0.4279932018445287	0.008354279105969292	3	0.45230455729909974	0.024047738358732074	3	0.4401488795718142	0.011917415256536397	3	0.7251048785642406	0.008928360279580511	3	0.591618072291729	0.01006267397583725	3	0.6361136743825662	0.009610879562481979	3	expression_driven
DLPFC	Brennecke	500	cellcharter	0.6638983869353356		1	0.8007827468396076		1	0.7323405668874716		1	0.6511846946031519		1	0.5004590816261922		1	0.575821888114672		1	0.8343922415007805		1	0.6540812275010719		1	0.7141848988343081		1	expression_driven
DLPFC	Brennecke	500	scvi	0.9514139478838002		1	0.5935636014558129		1	0.7724887746698066		1	0.3567340887875465		1	0.373254709814837		1	0.3649943993011917		1	0.7195124315175738		1	0.5687415869854991		1	0.6189985351628574		1	expression_driven
DLPFC	Brennecke	5000	cellcharter	0.5610763938588825		1	0.7804397190308754		1	0.670758056444879		1	0.7169643941171583		1	0.5959480150406145		1	0.6564562045788864		1	0.8749527333861775		1	0.6636071305118827		1	0.7340556648033143		1	expression_driven
DLPFC	Brennecke	5000	scvi	0.7989942897994505		1	0.6453087203670403		1	0.7221515050832454		1	0.5255106041318083		1	0.576929095728806		1	0.5512198499303071		1	0.7491673744216649		1	0.6366856775067763		1	0.6741795764784059		1	expression_driven
DLPFC	TFs	2000	cellcharter	0.7907898573175789	0.0091371331683236	3	0.6671428228978264	0.0075004907227785396	3	0.7289663401077027	0.006862790354250246	3	0.5073010135893152	0.06231273840664903	3	0.614412429296423	0.06659895877741141	3	0.5608567214428691	0.06445573489971497	3	0.7250505825000174	0.004226287973856782	3	0.644911530775286	0.028841010998329874	3	0.6716245480168631	0.020513581005647145	3	control
DLPFC	TFs	2000	scvi	0.9936967856879354	0.0023272172650596282	3	0.4618695771508457	0.009608546799336624	3	0.7277831814193906	0.005723722687023461	3	0.04954792282083092	0.006821549850767492	3	0.18916473214154036	0.011368821371577019	3	0.11935632748118563	0.00689203097129725	3	0.603834138028969	0.0026922210044020914	3	0.4235697544502881	0.006300900875708777	3	0.48365788230984835	0.0036487378660044825	3	control
DLPFC	all_features	all	cellcharter	0.5202493369087148	0.0014288014871857242	3	0.8885081814978255	0.019498179827829892	3	0.7043787592032701	0.010432042674823781	3	0.6994881887594536	0.015579571679031384	3	0.4909137549727068	0.046413842154027274	3	0.5952009718660803	0.030955286722744734	3	0.8667445201899272	0.0103905970172602	3	0.6497898655346752	0.02057408395229724	3	0.7221080837530924	0.012137132097537567	3	control
DLPFC	all_features	all	scvi	0.47523459993911626	0.007599201605042111	3	0.3784432264733457	0.04690165304167819	3	0.42683891320623096	0.020466578668600178	3	0.48394948860983705	0.0608553496823134	3	0.39247979752167456	0.019116147779489022	3	0.4382146430657558	0.03866248107000887	3	0.5977543886380262	0.048855153583723665	3	0.43252677813599344	0.00953041491020848	3	0.4876026483033377	0.010098603771596593	3	control
DLPFC	anticor	100	cellcharter	0.6344775926457714		1	0.8737648689618149		1	0.7541212308037932		1	0.6994940461412466		1	0.8120531950977988		1	0.7557736206195227		1	0.9139828682135842		1	0.754947425711658		1	0.8079592398789668		1	expression_driven
DLPFC	anticor	100	scvi	0.7958368624135539		1	0.6922988535758003		1	0.7440678579946771		1	0.41081377153383186		1	0.6786657408421223		1	0.5447397561879771		1	0.7785851962241208		1	0.6444038070913272		1	0.6891309368022585		1	expression_driven
DLPFC	anticor	1000	cellcharter	0.5427285995750608		1	0.8933329854279026		1	0.7180307925014817		1	0.7187034655486849		1	0.7009184855177977		1	0.7098109755332414		1	0.9122719185756215		1	0.7139208840173615		1	0.7800378955367816		1	expression_driven
DLPFC	anticor	1000	scvi	0.7738429379993843		1	0.7449837324303468		1	0.7594133352148655		1	0.4957375914949007		1	0.7088397322670281		1	0.6022886618809644		1	0.8100546773279825		1	0.680850998547915		1	0.7239188914746042		1	expression_driven
DLPFC	anticor	10000	cellcharter	0.5176904993495925		1	0.9369429306521372		1	0.7273167150008648		1	0.6742287498286575		1	0.518002482939484		1	0.5961156163840708		1	0.8791883621710292		1	0.6617161656924678		1	0.7342068978519883		1	expression_driven
DLPFC	anticor	10000	scvi	0.4608678617553389		1	0.39237233744990063		1	0.42662009960261976		1	0.49166300644563127		1	0.38965959773687736		1	0.4406613020912543		1	0.6167673850384023		1	0.43364070084693707		1	0.4946829289107588		1	expression_driven
DLPFC	anticor	200	cellcharter	0.6066898448728619		1	0.8376014313246092		1	0.7221456380987356		1	0.7073194525929392		1	0.8452977823322729		1	0.776308617462606		1	0.9324435674523248		1	0.7492271277806708		1	0.8102992743378888		1	expression_driven
DLPFC	anticor	200	scvi	0.8132224341429337		1	0.740382543558509		1	0.7768024888507213		1	0.4598450401816406		1	0.7248023719322434		1	0.592323706056942		1	0.7826544936790101		1	0.6845630974538317		1	0.7172602295288911		1	expression_driven
DLPFC	anticor	2000	cellcharter	0.5361794303507982	0.001831856888663078	3	0.9182927755907047	0.031151596424150354	3	0.7272361029707515	0.016491610635703265	3	0.7232766891251775	0.001598772943031239	3	0.6962529099944604	0.019289290254602205	3	0.709764799559819	0.01016956929124894	3	0.917312075942172	0.007489692044965925	3	0.7185004512652852	0.013089911677875453	3	0.7847709928242476	0.0069880141251843905	3	expression_driven
DLPFC	anticor	2000	scvi	0.7278972203226646	0.05340987949761991	3	0.7303041041834142	0.023903908540649596	3	0.7291006622530394	0.03834261502500337	3	0.4972734964850218	0.011445102644364434	3	0.6943105858480122	0.03215721524219624	3	0.5957920411665171	0.010952324682744118	3	0.7989031743850794	0.032405523009498303	3	0.6624463517097782	0.01612733589137658	3	0.7079319592682118	0.021476806497830455	3	expression_driven
