dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9905464742	0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	0.9905464742
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1490620421	0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	0.1490620421
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1495887339	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	1	0.1495887339
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0566297911	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	-1	-0.0566297911
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.2038333333	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	-1	-0.2038333333
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9911323478	2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	0.9911323478
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1484946392	2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	0.1484946392
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	
