dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9905464742	0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	0.9905464742	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.921771706345038
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1490620421	0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1	0.1490620421	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.03683653861773751
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		0	1988.4258701857	10711.1640625	2000	cache_signature=4b6826df93a8e805e4a996d1d98a33ca	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1495887339	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	1	0.1495887339	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3442806738744617
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0566297911	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	-1	-0.0566297911	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9596917094789168
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.2038333333	0	1987.9753111396	10711.1640625	2000	cache_signature=a313d322a9b85abf7f454d62300d243c	-1	-0.2038333333	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.8731392192443831
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9911323478	2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	0.9911323478	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9267450126881481
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1484946392	2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	0.1484946392	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.03576616704099083
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1605161726	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	1	0.1605161726	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.35781029710377477
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0560874587	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	-1	-0.0560874587	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9661803075939878
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.193	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	-1	-0.193	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.8853103642312634
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9904439868	1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	0.9904439868	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9209017213576473
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1472682971	1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	0.1472682971	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.03345274614164775
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1					unavailable		
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1631176472	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	1	0.1631176472	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.361031268837858
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0554977897	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	-1	-0.0554977897	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9732352524247151
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.1961666667	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	-1	-0.1961666667	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.8817526448790095
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	bASW	0.978537323	0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	0.978537323	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.8198296017028063
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	iLISI	0.2094022915	0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	0.2094022915	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.15066480402062457
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dASW		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dLISI		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	ILL		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	GC		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	clustering_eval	silhouette	0.1272174567	0	25.8629618976	10711.1640625	2000	cache_signature=8d58801ee3cd9a303f5c8aaaf3923f50	1	0.1272174567	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3165820557459042
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	clustering_eval	CHAOS	0.0633967405	0	25.8629618976	10711.1640625	2000	cache_signature=8d58801ee3cd9a303f5c8aaaf3923f50	-1	-0.0633967405	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.8787302638385276
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	clustering_eval	PAS	0.33	0	25.8629618976	10711.1640625	2000	cache_signature=8d58801ee3cd9a303f5c8aaaf3923f50	-1	-0.33	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.7313921917697367
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	bASW	0.9818885531	2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1	0.9818885531	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.8482771950293355
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	iLISI	0.1695046491	2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1	0.1695046491	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.07540029197078409
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dASW		2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dLISI		2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	ILL		2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	GC		2	27.1705853045	10892.65234375	2000	cache_signature=05d2e7a9a89f5f203b4c2f87eb494927	1					unavailable		
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	clustering_eval	silhouette	0.1335160434	2	27.0874187863	10893.0390625	2000	cache_signature=f185c9f036cd899d50c56e3bb69012f1	1	0.1335160434	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3243805442359986
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	clustering_eval	CHAOS	0.0596648644	2	27.0874187863	10893.0390625	2000	cache_signature=f185c9f036cd899d50c56e3bb69012f1	-1	-0.0596648644	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9233793466300758
