dataset	fs_method	n_features	integration_method	random_seed	Accuracy	CHAOS	GC	ILL	PAS	Ratio	ari	bASW	dASW	dLISI	iLISI	nmi	silhouette	BatchMixing	BiologicalConservation	Integration	LabelIndependentClustering	LabelAgreement	Clustering	Alignment	CoreOverall	AlignmentEligibleOverall	MethodGroup
DLPFC	Brennecke	2000	graphst	0	0.6080090883271799	0.9823028651595999	0.9111220117330243	0.6893135981667121	0.9205727361297699	0.8230685215795824	0.45155379247807437	0.8785451988825621	0.8262924900885239	0.8481406061623146	0.2423371730354451	0.4853485747443704	0.1635822015453765	0.5604411859590036	0.8187171765376438	0.6895791812483236	0.6888192676115822	0.4684511836112224	0.5786352256114022	0.7155388049533812	0.6341072034298629	0.661251070604369	expression_driven
DLPFC	Brennecke	2000	graphst	1	0.6187446748082932	0.9658089554258569	0.9062735137998865	0.7076619597830882	0.9120440992421553	0.8206825587832018	0.49788025955737425	0.8800418821229044	0.8252044191958301	0.856239031880875	0.23597963591797458	0.5365039481194729	0.14748519203035027	0.5580107590204395	0.82384473116492	0.6909277450926797	0.675112748899454	0.5171921038384235	0.5961524263689388	0.7197136167957475	0.6435400857308093	0.6689312627524554	expression_driven
DLPFC	Brennecke	2000	graphst	2	0.6105651803464925	0.9599290822478164	0.9075503233657369	0.712054745637299	0.9118360837935467	0.8261141472842725	0.40912089045274574	0.8784297644767385	0.846955897754038	0.8498958882396573	0.24672796929542268	0.47240140022619403	0.134321653972213	0.5625788668860806	0.8291142137491828	0.6958465403176317	0.668695606671192	0.44076114533946986	0.554728376005331	0.7183396638153825	0.6252874581614813	0.6563048600461151	expression_driven
DLPFC	anticor	2000	graphst	0	0.8383981823345642	0.9628106397050659	0.9093293578381626	0.8963484940331681	0.9373179863576582	0.8188770053844691	0.7311815688106768	0.8533622716885518	0.9148357309266071	0.9577722988535435	0.2137766988394701	0.7776516958095623	0.2556033499011091	0.5335694852640109	0.9195714704128704	0.7265704778384406	0.7185773253212777	0.7544166323101196	0.7364969788156986	0.8286375938595166	0.7315337283270696	0.7639016835045519	expression_driven
DLPFC	anticor	2000	graphst	1	0.8544163589889238	0.959001962198945	0.9119950762751776	0.9106959906732283	0.9149563167707694	0.8155047706548194	0.5909079439219906	0.846645609152424	0.9165338977136822	0.9546382834279205	0.20475921317503096	0.6842058248536703	0.2919484909740601	0.5257024111637275	0.9234658120225021	0.7245841115931149	0.7219689233145915	0.6375568843878305	0.679762903851211	0.8349605648218716	0.7021735077221629	0.7464358600887325	expression_driven
DLPFC	anticor	2000	graphst	2	0.820675944333996	0.9470326801428772	0.9720072017247018	0.870741003859577	0.8920746081879309	0.8224053768957328	0.45931419856461614	0.8590572707209927	0.9113319983676705	0.9515976704067433	0.22096884639039863	0.5791443856419963	0.2725816367149143	0.5400130585556957	0.9264194685896732	0.7332162635726844	0.7038963083485742	0.5192292921033063	0.6115628002259402	0.8215406606148644	0.6723895318993123	0.7221065748044962	expression_driven
DLPFC	dubstepr	2000	graphst	0	0.7721101959670549	0.9672496487389013	0.9388286774805827	0.879602738254182	0.9559353764966891	0.8283910196650427	0.54004972737478	0.8676857050112526	0.9104883500799748	0.9403712865553793	0.22049430028253583	0.6799900114694754	0.28792827914997887	0.5440900026468942	0.9173227630925297	0.730706382869712	0.7370377681285231	0.6100198694221277	0.6735288187753254	0.8002506078160487	0.7021176008225187	0.7348286031536954	expression_driven
DLPFC	dubstepr	2000	graphst	1	0.8136892928145413	0.9505800730002164	0.9365657112901518	0.9059256278501635	0.9476147551824926	0.8240435862560344	0.5242167612853407	0.8644786163521135	0.9041198197025313	0.9466325629192951	0.22948646386299748	0.6399902484501718	0.27697904798898937	0.5469825401075555	0.9233109304405354	0.7351467352740455	0.7250579587238994	0.5821035048677563	0.6535807317958279	0.8188664395352878	0.6943637335349366	0.7358646355350537	expression_driven
DLPFC	dubstepr	2000	graphst	2	0.8089179210451576	0.9568611673335442	0.8993134729331053	0.8825897762179404	0.9348217999758801	0.8281609336359014	0.5651791625373639	0.8628292534129577	0.9127578428911918	0.9497558853841366	0.2204273439827044	0.6890798002756439	0.2674558402676281	0.541628298697831	0.9111042443565935	0.7263662715272123	0.7197129358590174	0.6271294814065038	0.6734212086327607	0.8185394273405295	0.6998937400799865	0.7394423025001675	expression_driven
DLPFC	hotspot	2000	graphst	0	0.7966486793524566	0.9668751062537589	0.9775705861888218	0.8985358961684063	0.9494868949688261	0.8146642270801229	0.5363376206638479	0.8438706216153166	0.9121280263153219	0.9500788472841676	0.2054156802465999	0.6937171752110303	0.29645454999267756	0.5246431509309583	0.9345783389891793	0.7296107449600688	0.7376055170717541	0.6150273979374391	0.6763164575045966	0.8056564532162898	0.7029636012323327	0.7371945518936517	expression_driven
