dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	Brennecke	2000	graphst	0.5603436039551746	0.0022856167775102826	3	0.8238920404839155	0.005198680055868014	3	0.692117822219545	0.0032988119227723776	3	0.6775425410607427	0.010279511168885489	3	0.47546814426303863	0.038695621933999794	3	0.5765053426618907	0.020793996445263835	3	0.7178640285215038	0.002127659554387851	3	0.6343115824407178	0.009128029983583882	3	0.6621623978009799	0.006362342278605517	3	expression_driven
DLPFC	anticor	2000	graphst	0.533094984994478	0.007167113789640262	3	0.9231522503416819	0.003434750420792272	3	0.72812361766808	0.00452080683588736	3	0.714814185661481	0.0096060276910817	3	0.6370676029337522	0.11759443352321067	3	0.6759408942976166	0.06255472054725554	3	0.8283796064320842	0.00671367078175925	3	0.7020322559828482	0.02957235122224279	3	0.7441480394659269	0.020991268904331818	3	expression_driven
DLPFC	dubstepr	2000	graphst	0.544233613817427	0.0026800080960005667	3	0.9172459792965529	0.006103705276425831	3	0.73073979655699	0.004390327238172118	3	0.7272695542371466	0.008871630026510714	3	0.6064176185654626	0.022728105931703126	3	0.6668435864013046	0.011486095037052772	3	0.812552158230622	0.010654709812829097	3	0.6987916914791473	0.003992680530335185	3	0.7367118470629722	0.002420719096609073	3	expression_driven
DLPFC	hotspot	2000	graphst	0.5277123048612011	0.0037677824357697635	3	0.9283325574318594	0.009345560265323722	3	0.7280224311465302	0.0028318550720249636	3	0.7229221631290441	0.01329272374670353	3	0.6230365292753621	0.027743309733082346	3	0.6729793462022031	0.01563674991033976	3	0.8037402436112235	0.0031129545561878126	3	0.7005008886743668	0.009172745516833157	3	0.7349140069866523	0.0071054821076502505	3	expression_driven
DLPFC	morans_i	2000	graphst	0.5347277778926288	0.0045453024998957465	3	0.9530595167752945	0.002227138886144872	3	0.7438936473339618	0.002273806958783807	3	0.6999067895397735	0.011503538557988684	3	0.6386142784155396	0.1254598813418982	3	0.6692605339776566	0.06820261634834104	3	0.8451090858090616	0.0076948047128839875	3	0.7065770906558092	0.03519688009037631	3	0.75275442237356	0.021318979257836285	3	spatially_informed
DLPFC	nbumi	2000	graphst	0.548959655642597	0.006776086483384873	3	0.9557047434233437	0.018493423471062708	3	0.7523321995329703	0.007908227691339788	3	0.7194131091720081	0.017374344121251037	3	0.738530904775225	0.06264280120066795	3	0.7289720069736165	0.023272624839548242	3	0.8672302222493423	0.004900382894882703	3	0.7406521032532933	0.013025654160685225	3	0.7828448095853098	0.010250868948276665	3	expression_driven
DLPFC	nnsvg	2000	graphst	0.5430417601084065	0.006059323971920283	3	0.9216449362288572	0.00505216642333413	3	0.7323433481686319	0.00433900307984999	3	0.7109667670413927	0.015385165494895355	3	0.5926414561567012	0.0282956043640128	3	0.6518041115990468	0.019731958861748743	3	0.8374273978111422	0.004733061212627742	3	0.6920737298838393	0.007697665388763789	3	0.7405249525262736	0.006565686743880682	3	spatially_informed
DLPFC	osca	2000	graphst	0.5254638576036866	0.0031861814797385247	3	0.9043566584418944	0.0038098298623368125	3	0.7149102580227905	0.0003895737256198778	3	0.7196242555024952	0.009323705642878452	3	0.5440536818561932	0.02835254077739933	3	0.6318389686793441	0.01077896695860553	3	0.7768797736730836	0.005523643501107139	3	0.6733746133510673	0.005512121369442703	3	0.7078763334584061	0.0018336893474223896	3	expression_driven
DLPFC	scPNMF	2000	graphst	0.5232651962970886	0.006198890686640575	3	0.8827185852456281	0.018232733040047785	3	0.7029918907713584	0.007980675352904684	3	0.7207276489539322	0.015116173030849625	3	0.5488512306739882	0.031547615472090396	3	0.6347894398139602	0.023324782814838674	3	0.7599793273885526	0.017532600895330888	3	0.6688906652926593	0.015312114194519633	3	0.699253552657957	0.014610773567916329	3	expression_driven
DLPFC	scanpy_cell_ranger	2000	graphst	0.5948468338850793	0.0023805259838856644	3	0.8636610586902568	0.003333664407956243	3	0.729253946287668	0.002654200971441681	3	0.672788233897776	0.010439562651153478	3	0.5090362253878793	0.0459924070193413	3	0.5909122296428276	0.026461944730033875	3	0.781421222032978	0.006211056235639943	3	0.6600830879652478	0.01427964967078758	3	0.7005291326544912	0.009352807058091338	3	expression_driven
