prevalence	seed	method	summary	stratum	cutoff	metric	value	runtime_seconds	Prevalence	Method
0.05	0	Brennecke	overall	all_svg	NA	AUPRC	0.876194466960573	7.807730739936233	5% SVGs	Brennecke
0.05	0	all_features	overall	all_svg	NA	AUPRC	0.05	5.657467991113e-4	5% SVGs	All features
0.05	0	anticor	overall	all_svg	NA	AUPRC	0.9933254553868356	6.037955681793392	5% SVGs	Anticor
0.05	0	dubstepr	overall	all_svg	NA	AUPRC	0.9353679720347174	23.564140183851123	5% SVGs	DUBStepR
0.05	0	hotspot	overall	all_svg	NA	AUPRC	0.9923172712366104	18.86949950922281	5% SVGs	Hotspot
0.05	0	morans_i	overall	all_svg	NA	AUPRC	0.9533657947041604	0.0388868637382984	5% SVGs	Moran's I
0.05	0	nbumi	overall	all_svg	NA	AUPRC	0.795606435725594	12.906176771968603	5% SVGs	NBumi
0.05	0	nnsvg	overall	all_svg	NA	AUPRC	0.946915451486608	1428.6637988463044	5% SVGs	nnSVG
0.05	0	osca	overall	all_svg	NA	AUPRC	0.8021166877940192	8.5022466275841	5% SVGs	OSCA
0.05	0	random	overall	all_svg	NA	AUPRC	0.0477976862415945	8.99514183402e-4	5% SVGs	Random
0.05	0	scPNMF	overall	all_svg	NA	AUPRC	0.0521390020844729	75.52711670938879	5% SVGs	scPNMF
0.05	0	scanpy_cell_ranger	overall	all_svg	NA	AUPRC	0.8017033744647395	0.2573139341548085	5% SVGs	scanpy-CellRanger
0.05	0	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.8104519975482686	0.177473091520369	5% SVGs	scanpy-CellRanger (batch)
0.05	0	scanpy_pearson	overall	all_svg	NA	AUPRC	0.7121664985512255	1.805818922817707	5% SVGs	scanpy-Pearson
0.05	0	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.7036734299406717	0.1014837175607681	5% SVGs	scanpy-Pearson (batch)
0.05	0	scanpy_seurat	overall	all_svg	NA	AUPRC	0.7970766826393295	0.250347820110619	5% SVGs	scanpy-Seurat
0.05	0	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.8448299221520222	0.1384886363521218	5% SVGs	scanpy-Seurat (batch)
0.05	0	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.8712785490267764	0.071371728554368	5% SVGs	scanpy-SeuratV3
0.05	0	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.8428123892619003	0.0613170815631747	5% SVGs	scanpy-SeuratV3 (batch)
0.05	0	scry	overall	all_svg	NA	AUPRC	0.0501366532766039	9.451208310201764	5% SVGs	scry
