method	stratum	MeanRecall	SDRecall	Method	Stratum
all_features	domain	NA	NA	All features	Domain
all_features	focal	NA	NA	All features	Focal
all_features	gradient	NA	NA	All features	Gradient
all_features	periodic	NA	NA	All features	Periodic
anticor	domain	1	0	Anticor	Domain
anticor	focal	0.967967967967968	0.027976590151471487	Anticor	Focal
anticor	gradient	0.991340530814215	0.010883726573940771	Anticor	Gradient
anticor	periodic	0.9984984984984985	0.0036779125267014765	Anticor	Periodic
Brennecke	domain	0.8887764282501125	0.03083432003997897	Brennecke	Domain
Brennecke	focal	0.8178178178178178	0.07646117823603497	Brennecke	Focal
Brennecke	gradient	0.8984480431848854	0.05251336251296227	Brennecke	Gradient
Brennecke	periodic	0.8863863863863863	0.05282568803223332	Brennecke	Periodic
dubstepr	domain	0.9651372019793073	0.027009664848659045	DUBStepR	Domain
dubstepr	focal	0.8224474474474475	0.05705853878272023	DUBStepR	Focal
dubstepr	gradient	0.9244264507422402	0.057400156809789694	DUBStepR	Gradient
dubstepr	periodic	0.9365615615615616	0.043210254976615826	DUBStepR	Periodic
hotspot	domain	0.9970760233918129	0.004529805083283543	Hotspot	Domain
hotspot	focal	0.9833583583583584	0.014545331614538104	Hotspot	Focal
hotspot	gradient	0.9970760233918129	0.00716225070989231	Hotspot	Gradient
hotspot	periodic	0.9984984984984985	0.0036779125267014765	Hotspot	Periodic
morans_i	domain	0.9825686009896536	0.016574576984817978	Moran's I	Domain
morans_i	focal	0.9269269269269269	0.02109952451311223	Moran's I	Focal
morans_i	gradient	0.960863697705803	0.026400431372913903	Moran's I	Gradient
morans_i	periodic	0.9547047047047047	0.035432466240272825	Moran's I	Periodic
nbumi	domain	0.8713450292397661	0.039758804340558083	NBumi	Domain
nbumi	focal	0.8144394394394394	0.06885398137094549	NBumi	Focal
nbumi	gradient	0.8609986504723347	0.04464673195593325	NBumi	Gradient
nbumi	periodic	0.8495995995995996	0.05616231170729494	NBumi	Periodic
nnsvg	domain	0.9768331084120558	0.020879189117887914	nnSVG	Domain
nnsvg	focal	0.9145395395395396	0.04243280612365884	nnSVG	Focal
nnsvg	gradient	0.9523166891587944	0.012158238193198013	nnSVG	Gradient
nnsvg	periodic	0.9593343343343343	0.03890719439617551	nnSVG	Periodic
osca	domain	0.8656095366621682	0.037826315986314876	OSCA	Domain
osca	focal	0.7905405405405406	0.08073415938112853	OSCA	Focal
osca	gradient	0.8580746738641476	0.05342607143302404	OSCA	Gradient
osca	periodic	0.8558558558558558	0.04134994469203243	OSCA	Periodic
random	domain	0.14856050382366168	0.029385687310081596	Random	Domain
random	focal	0.15465465465465464	0.05991912894665138	Random	Focal
random	gradient	0.180161943319838	0.03318576063306733	Random	Gradient
random	periodic	0.16303803803803799	0.04582019894951257	Random	Periodic
scanpy_cell_ranger	domain	0.8450292397660819	0.05225768899623722	scanpy-CellRanger	Domain
scanpy_cell_ranger	focal	0.7767767767767768	0.07041332341391271	scanpy-CellRanger	Focal
scanpy_cell_ranger	gradient	0.8463787674313991	0.06932510174861621	scanpy-CellRanger	Gradient
scanpy_cell_ranger	periodic	0.818943943943944	0.03247694874287139	scanpy-CellRanger	Periodic
scanpy_cell_ranger_batch	domain	0.8538011695906433	0.040458080158480514	scanpy-CellRanger (batch)	Domain
scanpy_cell_ranger_batch	focal	0.8104354354354355	0.0729237559406178	scanpy-CellRanger (batch)	Focal
scanpy_cell_ranger_batch	gradient	0.8593117408906883	0.0675259601947268	scanpy-CellRanger (batch)	Gradient
scanpy_cell_ranger_batch	periodic	0.8448448448448449	0.028487668964286176	scanpy-CellRanger (batch)	Periodic
scanpy_pearson	domain	0.7893612235717499	0.04254420300496112	scanpy-Pearson	Domain
scanpy_pearson	focal	0.6974474474474475	0.04869821002669347	scanpy-Pearson	Focal
scanpy_pearson	gradient	0.8305218173639226	0.06484535433176701	scanpy-Pearson	Gradient
scanpy_pearson	periodic	0.8074324324324325	0.06939755742049492	scanpy-Pearson	Periodic
scanpy_pearson_batch	domain	0.7920602789023842	0.04512029586937487	scanpy-Pearson (batch)	Domain
scanpy_pearson_batch	focal	0.6836836836836837	0.07568173307819209	scanpy-Pearson (batch)	Focal
scanpy_pearson_batch	gradient	0.8133153396311291	0.057164352226568384	scanpy-Pearson (batch)	Gradient
scanpy_pearson_batch	periodic	0.7951701701701702	0.06504191279775186	scanpy-Pearson (batch)	Periodic
scanpy_seurat	domain	0.8389563652721548	0.07768834324131876	scanpy-Seurat	Domain
scanpy_seurat	focal	0.7545045045045045	0.12409707800530251	scanpy-Seurat	Focal
scanpy_seurat	gradient	0.8634727845254161	0.08550369867249151	scanpy-Seurat	Gradient
scanpy_seurat	periodic	0.8547297297297297	0.07281237348021218	scanpy-Seurat	Periodic
scanpy_seurat_batch	domain	0.8506522717049033	0.06191327404502503	scanpy-Seurat (batch)	Domain
scanpy_seurat_batch	focal	0.7862862862862863	0.10163475743175907	scanpy-Seurat (batch)	Focal
scanpy_seurat_batch	gradient	0.8764057579847054	0.08555879455458926	scanpy-Seurat (batch)	Gradient
scanpy_seurat_batch	periodic	0.8684934934934935	0.08346568051077298	scanpy-Seurat (batch)	Periodic
scanpy_seurat_v3	domain	0.8855150697255961	0.04768755445006387	scanpy-SeuratV3	Domain
scanpy_seurat_v3	focal	0.781031031031031	0.08602262716795721	scanpy-SeuratV3	Focal
scanpy_seurat_v3	gradient	0.8942869995501574	0.04307439193354672	scanpy-SeuratV3	Gradient
scanpy_seurat_v3	periodic	0.8895145145145145	0.05629012113058607	scanpy-SeuratV3	Periodic
scanpy_seurat_v3_batch	domain	0.8681961313540261	0.05261369755183822	scanpy-SeuratV3 (batch)	Domain
