method	stratum	MeanRecall	SDRecall	Method	Stratum
all_features	moderate	NA	NA	All features	Moderate
all_features	strong	NA	NA	All features	Strong
all_features	weak	NA	NA	All features	Weak
anticor	moderate	1	0	Anticor	Moderate
anticor	strong	1	0	Anticor	Strong
anticor	weak	0.9688888888888889	0.017722135144335013	Anticor	Weak
Brennecke	moderate	0.9555555555555556	0.03364300598715655	Brennecke	Moderate
Brennecke	strong	0.99	0.013824294235551768	Brennecke	Strong
Brennecke	weak	0.6744444444444444	0.09144923708245445	Brennecke	Weak
dubstepr	moderate	0.9844444444444445	0.013109227736668972	DUBStepR	Moderate
dubstepr	strong	0.9911111111111112	0.014401645996461874	DUBStepR	Strong
dubstepr	weak	0.7633333333333333	0.09425733098515171	DUBStepR	Weak
hotspot	moderate	1	0	Hotspot	Moderate
hotspot	strong	1	0	Hotspot	Strong
hotspot	weak	0.9822222222222222	0.016688874093794295	Hotspot	Weak
morans_i	moderate	0.9944444444444445	0.006554613868334441	Moran's I	Moderate
morans_i	strong	1	0	Moran's I	Strong
morans_i	weak	0.8755555555555555	0.039478076428804354	Moran's I	Weak
nbumi	moderate	0.9533333333333334	0.021908902300206666	NBumi	Moderate
nbumi	strong	0.9966666666666667	0.00557773351022714	NBumi	Strong
nbumi	weak	0.5988888888888889	0.059839290944501855	NBumi	Weak
nnsvg	moderate	0.9688888888888889	0.017722135144335013	nnSVG	Moderate
nnsvg	strong	0.9966666666666667	0.00557773351022714	nnSVG	Strong
nnsvg	weak	0.8877777777777778	0.02040334032202318	nnSVG	Weak
osca	moderate	0.9322222222222222	0.04246131136650118	OSCA	Moderate
osca	strong	0.9822222222222222	0.02217773324422163	OSCA	Strong
osca	weak	0.6144444444444445	0.0704798368855051	OSCA	Weak
random	moderate	0.16333333333333333	0.02658320271650251	Random	Moderate
random	strong	0.16999999999999996	0.03669695718539434	Random	Strong
random	weak	0.15222222222222223	0.022868383479445226	Random	Weak
scanpy_cell_ranger	moderate	0.94	0.046951511631090716	scanpy-CellRanger	Moderate
scanpy_cell_ranger	strong	0.9844444444444445	0.019626135258506348	scanpy-CellRanger	Strong
scanpy_cell_ranger	weak	0.5433333333333333	0.10797118957285677	scanpy-CellRanger	Weak
scanpy_cell_ranger_batch	moderate	0.9533333333333334	0.03211091887677946	scanpy-CellRanger (batch)	Moderate
scanpy_cell_ranger_batch	strong	0.99	0.015634719199411434	scanpy-CellRanger (batch)	Strong
scanpy_cell_ranger_batch	weak	0.5844444444444444	0.09948013015821953	scanpy-CellRanger (batch)	Weak
scanpy_pearson	moderate	0.8822222222222222	0.04612382689464747	scanpy-Pearson	Moderate
scanpy_pearson	strong	0.96	0.015202339001321879	scanpy-Pearson	Strong
scanpy_pearson	weak	0.5033333333333333	0.07609935026733879	scanpy-Pearson	Weak
scanpy_pearson_batch	moderate	0.87	0.043358966777357635	scanpy-Pearson (batch)	Moderate
scanpy_pearson_batch	strong	0.9555555555555555	0.01167460047694556	scanpy-Pearson (batch)	Strong
scanpy_pearson_batch	weak	0.49	0.07771743691090181	scanpy-Pearson (batch)	Weak
scanpy_seurat	moderate	0.9433333333333334	0.041686661868969285	scanpy-Seurat	Moderate
scanpy_seurat	strong	0.9833333333333334	0.02139574204784162	scanpy-Seurat	Strong
scanpy_seurat	weak	0.5588888888888889	0.18909922929118064	scanpy-Seurat	Weak
scanpy_seurat_batch	moderate	0.951111111111111	0.03229493711037328	scanpy-Seurat (batch)	Moderate
