dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
DLPFC	151507	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard	NA	0.0035533821210265	Top-N Jaccard	All features
DLPFC	151507	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile	NA	0.0035533821210265	Moran percentile	All features
DLPFC	151507	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5420200462606014	5.118669217452407	Top-N Jaccard	Moran's I (N=2,000)
DLPFC	151507	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.903237457345753	5.118669217452407	Moran percentile	Moran's I (N=2,000)
DLPFC	151507	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.49812734082397	7346.634869046509	Top-N Jaccard	nnSVG (N=2,000)
DLPFC	151507	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8947482016047219	7346.634869046509	Moran percentile	nnSVG (N=2,000)
DLPFC	151507	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.049317943336831	0.0020628757774829	Top-N Jaccard	Random (N=2,000)
DLPFC	151507	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.4942646177257216	0.0020628757774829	Moran percentile	Random (N=2,000)
DLPFC	151507	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1019283746556473	2.4511352432891726	Top-N Jaccard	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151507	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5992781748593562	2.4511352432891726	Moran percentile	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151507	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1245431543435479	1.5017099138349297	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151507	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5339558470902886	1.5017099138349297	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151507	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1876484560570071	846.9530229894444	Top-N Jaccard	scSEGIndex (N=2,000)
DLPFC	151507	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7893192382182054	846.9530229894444	Moran percentile	scSEGIndex (N=2,000)
DLPFC	151507	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.189767995240928	25.85327197425067	Top-N Jaccard	Seurat-VST (N=2,000)
DLPFC	151507	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6206541778105691	25.85327197425067	Moran percentile	Seurat-VST (N=2,000)
DLPFC	151507	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4716703458425312	71.23558965604752	Top-N Jaccard	singleCellHaystack (N=2,000)
DLPFC	151507	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8893702849764825	71.23558965604752	Moran percentile	singleCellHaystack (N=2,000)
DLPFC	151507	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4020329477742727	986.9796756254508	Top-N Jaccard	SOMDE (N=2,000)
DLPFC	151507	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8265615835100987	986.9796756254508	Moran percentile	SOMDE (N=2,000)
