dataset	heldout_slice	method	heldout_topn_jaccard	heldout_moran_percentile	heldout_rank_spearman	heldout_silhouette	heldout_ari	heldout_nmi	heldout_CHAOS	heldout_PAS	Dataset	Fold	Method
DLPFC	151507	all_features	NA	NA	NA	0.0877043604850769	0.2580335713411771	0.388350087042038	0.0647935499949815	0.493610979649787	DLPFC	151507	All features
DLPFC	151507	morans_i	0.5420200462606014	0.903237457345753	0.4484428263412939	0.0911191627383232	0.2583137432381155	0.3858784762878546	0.0647807572430656	0.5004732607666824	DLPFC	151507	Moran's I (N=2,000)
DLPFC	151507	nnsvg	0.49812734082397	0.8947482016047219	0.4388298061236749	0.0894337221980094	0.2498485756312644	0.3793177755304766	0.0652362027492494	0.5078088026502603	DLPFC	151507	nnSVG (N=2,000)
DLPFC	151507	random	0.049317943336831	0.4942646177257216	-0.0059293870227404	0.0380941070616245	0.1460960074717224	0.2070839488682774	0.0728582851969438	0.720539517274018	DLPFC	151507	Random (N=2,000)
DLPFC	151507	scanpy_cell_ranger_batch	0.1019283746556473	0.5992781748593562	0.1161458366859259	0.0492348708212375	0.1480380388715067	0.2400305054730328	0.0697806801969693	0.446521533364884	DLPFC	151507	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151507	scanpy_seurat_v3_batch	0.1245431543435479	0.5339558470902886	0.037033120256724	0.0675915405154228	0.245625216991846	0.3786579648259631	0.0660280318907182	0.4623757690487458	DLPFC	151507	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151507	scsegindex	0.1876484560570071	0.7893192382182054	0.3189179191508541	0.055093839764595	0.1742302732987292	0.288918919394151	0.0685155087006426	0.6204448651206815	DLPFC	151507	scSEGIndex (N=2,000)
DLPFC	151507	seurat_vst	0.189767995240928	0.6206541778105691	0.1356017717898219	0.0667255520820617	0.2580572748505843	0.3756931345438791	0.0664086743202836	0.4995267392333176	DLPFC	151507	Seurat-VST (N=2,000)
DLPFC	151507	singleCellHaystack	0.4716703458425312	0.8893702849764825	0.4313970337274604	0.0802858918905258	0.2432168733765697	0.3792445413405841	0.0655520240356098	0.4959772834831992	DLPFC	151507	singleCellHaystack (N=2,000)
DLPFC	151507	somde	0.4020329477742727	0.8265615835100987	0.3660074115910589	0.0906051620841026	0.2690936829373225	0.3854999762476632	0.0660142396733058	0.495740653099858	DLPFC	151507	SOMDE (N=2,000)
DLPFC	151507	sparkx	0.48864905098623	0.8979893479664299	0.4423033065669614	0.0894451960921287	0.2499335453353896	0.381754705833939	0.065516215241261	0.5056791292001893	DLPFC	151507	SPARK-X (N=2,000)
DLPFC	151507	spatialde	0.38217000691085	0.8185852393249101	0.3563299968678203	0.0884956866502761	0.2710575650066728	0.3864644605734737	0.065666826451967	0.4865120681495504	DLPFC	151507	SpatialDE (N=2,000)
DLPFC	151507	triku	0.2380068090374497	0.7201267638107535	0.2468006341775381	0.0782508254051208	0.2761247367746476	0.3769863550213163	0.0654345753401521	0.5016564126833886	DLPFC	151507	triku (N=2,000)
DLPFC	151507	wilcoxon	0.1207621182404034	0.5420807894494144	0.0430000815299659	0.070949763059616	0.2516265865961452	0.39840479096607	0.0643481771269967	0.4176526265972551	DLPFC	151507	Wilcoxon (label-informed) (N=2,000)
DLPFC	151673	all_features	NA	NA	NA	0.1006279662251472	0.1742227363066609	0.3613464984815218	0.0689764103971854	0.4517724649629019	DLPFC	151673	All features
DLPFC	151673	morans_i	0.5754233950374164	0.913689177349442	0.4592119419908241	0.1047900840640068	0.1799649951256146	0.3643168123038984	0.0685720604444837	0.453696070348997	DLPFC	151673	Moran's I (N=2,000)
DLPFC	151673	nnsvg	0.5879317189360858	0.9206155123120908	0.4660904317385163	0.1043010652065277	0.1767524914028034	0.3626286227332987	0.068465637269912	0.4600164880461665	DLPFC	151673	nnSVG (N=2,000)
DLPFC	151673	random	0.0534632604687911	0.50296804389929	0.0035002239998347	0.0422406941652298	0.1241576247351043	0.2484874912556318	0.0713667860938426	0.6485298158834845	DLPFC	151673	Random (N=2,000)
DLPFC	151673	scanpy_cell_ranger_batch	0.1418783899514701	0.6335331780872452	0.1542902746941994	0.0601244755089283	0.1514051057594112	0.2876934854010053	0.0711440445158193	0.4550700741962077	DLPFC	151673	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151673	scanpy_seurat_v3_batch	0.1117287381878821	0.5173598173937103	0.016940190479366	0.076280876994133	0.231755603738839	0.3826670836244095	0.069489573718233	0.3882934872217642	DLPFC	151673	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151673	scsegindex	0.3527223537368955	0.8574507055243014	0.3925713642425501	0.090361550450325	0.139103665521376	0.2929583008169418	0.0694445834649352	0.560593569661995	DLPFC	151673	scSEGIndex (N=2,000)
DLPFC	151673	seurat_vst	0.2292562999385372	0.6305091303144886	0.1454032462936843	0.0970317646861076	0.2434107910957928	0.3948479180259454	0.0689198824882186	0.3998351195383347	DLPFC	151673	Seurat-VST (N=2,000)
DLPFC	151673	singleCellHaystack	0.513431706394249	0.9061984229456792	0.4500727556808411	0.0967908054590225	0.1781831471693461	0.3618829746722239	0.0683352229324558	0.4124759549326738	DLPFC	151673	singleCellHaystack (N=2,000)
DLPFC	151673	somde	0.4275517487508922	0.8386273632758462	0.3786092959099952	0.101070262491703	0.193715889043566	0.376871307180268	0.0688816256445934	0.4438032426490794	DLPFC	151673	SOMDE (N=2,000)
DLPFC	151673	sparkx	0.4754703061600885	0.8979123858710689	0.4419588283911567	0.1011896058917045	0.175830031910875	0.3578033510124846	0.0687094506711681	0.4597416872767244	DLPFC	151673	SPARK-X (N=2,000)
DLPFC	151673	spatialde	0.3477088948787062	0.7977982338836116	0.3335060213204796	0.1020334139466285	0.2348267173904049	0.3924152069236866	0.068956688870359	0.4017587249244297	DLPFC	151673	SpatialDE (N=2,000)
DLPFC	151673	triku	0.3101867016049787	0.7798062574933137	0.3134066811163128	0.0963751748204231	0.2033078352619569	0.3747881038379862	0.0678214397242011	0.4471008518823853	DLPFC	151673	triku (N=2,000)
DLPFC	151673	wilcoxon	0.1235955056179775	0.5512068846260261	0.0518543312075026	0.0861536711454391	0.2759325784686824	0.424445058570104	0.0684224821456032	0.3550425941192635	DLPFC	151673	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section1	all_features	NA	NA	NA	0.2818195521831512	0.7231293047354478	0.7937635508129444	0.0689467465191452	0.122077922077922	Mouse Brain	Section 1	All features
MouseBrainSerialSections	section1	morans_i	0.8181818181818182	0.9448375299162346	0.5139691162405949	0.2844026386737823	0.7093022654613698	0.7750272567613442	0.0676839264284231	0.123191094619666	Mouse Brain	Section 1	Moran's I (N=2,000)
MouseBrainSerialSections	section1	nnsvg	0.7761989342806395	0.9442724870362984	0.513394113141371	0.28375285863876343	0.6316739170726949	0.7512493835159856	0.0675075858365031	0.1172541743970315	Mouse Brain	Section 1	nnSVG (N=2,000)
MouseBrainSerialSections	section1	random	0.0512483574244415	0.492145816713203	-0.008785474307377	0.147522285580635	0.6011503384856579	0.683633750742414	0.0712610631062578	0.2230055658627087	Mouse Brain	Section 1	Random (N=2,000)
MouseBrainSerialSections	section1	scanpy_cell_ranger_batch	0.2795905310300703	0.776944380733945	0.3253515809190089	0.248314619064331	0.6238755040561148	0.7384306010430731	0.0669375174195081	0.1198515769944341	Mouse Brain	Section 1	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_seurat_v3_batch	0.4367816091954023	0.808431441962505	0.3596228779867396	0.2785761058330536	0.6094103658186519	0.7215317296876593	0.0667140684146665	0.1157699443413729	Mouse Brain	Section 1	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section1	scsegindex	0.0720986330742428	0.6064525329078579	0.1172681255474997	0.1888502687215805	0.592555689440018	0.6715119827499466	0.0697486042501119	0.1840445269016697	Mouse Brain	Section 1	scSEGIndex (N=2,000)
MouseBrainSerialSections	section1	seurat_vst	0.4367816091954023	0.808505509573195	0.3597000513877653	0.2783267498016357	0.6060092391847668	0.7181681682040104	0.0667217794925692	0.1157699443413729	Mouse Brain	Section 1	Seurat-VST (N=2,000)
MouseBrainSerialSections	section1	singleCellHaystack	0.4625228519195612	0.9064203480255286	0.469377875398808	0.2903840243816376	0.6212610477633856	0.736884258915065	0.0668849718544039	0.1005565862708719	Mouse Brain	Section 1	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section1	somde	0.5521924718665114	0.8931332768248903	0.4551459314957607	0.2930629253387451	0.7211975697886338	0.7822710739416103	0.0673852545877384	0.1179962894248608	Mouse Brain	Section 1	SOMDE (N=2,000)
MouseBrainSerialSections	section1	sparkx	0.4897579143389199	0.911639534303949	0.4765747459598121	0.302369475364685	0.7027840574670847	0.7765226074518532	0.0673188923494794	0.1094619666048237	Mouse Brain	Section 1	SPARK-X (N=2,000)
MouseBrainSerialSections	section1	spatialde	0.5785319652722968	0.8482743568009573	0.3983326915681121	0.2846355140209198	0.7116842118734247	0.7746604235988921	0.0685487010347743	0.1205936920222634	Mouse Brain	Section 1	SpatialDE (N=2,000)
