dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
DLPFC	151507	all_features	2000	0	heldout_clustering	heldout_ari	0.2580335713411771	0.0035533821210265	ARI	All features
DLPFC	151507	all_features	2000	0	heldout_clustering	heldout_nmi	0.388350087042038	0.0035533821210265	NMI	All features
DLPFC	151507	morans_i	2000	0	heldout_clustering	heldout_ari	0.2583137432381155	5.118669217452407	ARI	Moran's I (N=2,000)
DLPFC	151507	morans_i	2000	0	heldout_clustering	heldout_nmi	0.3858784762878546	5.118669217452407	NMI	Moran's I (N=2,000)
DLPFC	151507	nnsvg	2000	0	heldout_clustering	heldout_ari	0.2498485756312644	7346.634869046509	ARI	nnSVG (N=2,000)
DLPFC	151507	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.3793177755304766	7346.634869046509	NMI	nnSVG (N=2,000)
DLPFC	151507	random	2000	0	heldout_clustering	heldout_ari	0.1460960074717224	0.0020628757774829	ARI	Random (N=2,000)
DLPFC	151507	random	2000	0	heldout_clustering	heldout_nmi	0.2070839488682774	0.0020628757774829	NMI	Random (N=2,000)
DLPFC	151507	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.1480380388715067	2.4511352432891726	ARI	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151507	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.2400305054730328	2.4511352432891726	NMI	scanpy-CellRanger (batch) (N=2,000)
DLPFC	151507	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.245625216991846	1.5017099138349297	ARI	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151507	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.3786579648259631	1.5017099138349297	NMI	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151507	scsegindex	2000	0	heldout_clustering	heldout_ari	0.1742302732987292	846.9530229894444	ARI	scSEGIndex (N=2,000)
DLPFC	151507	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.288918919394151	846.9530229894444	NMI	scSEGIndex (N=2,000)
DLPFC	151507	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.2580572748505843	25.85327197425067	ARI	Seurat-VST (N=2,000)
DLPFC	151507	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.3756931345438791	25.85327197425067	NMI	Seurat-VST (N=2,000)
DLPFC	151507	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.2432168733765697	71.23558965604752	ARI	singleCellHaystack (N=2,000)
DLPFC	151507	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.3792445413405841	71.23558965604752	NMI	singleCellHaystack (N=2,000)
DLPFC	151507	somde	2000	0	heldout_clustering	heldout_ari	0.2690936829373225	986.9796756254508	ARI	SOMDE (N=2,000)
DLPFC	151507	somde	2000	0	heldout_clustering	heldout_nmi	0.3854999762476632	986.9796756254508	NMI	SOMDE (N=2,000)
DLPFC	151507	sparkx	2000	0	heldout_clustering	heldout_ari	0.2499335453353896	135.00512962136418	ARI	SPARK-X (N=2,000)
