Dataset	Integrator	Task	MedianSeedSD	Q90SeedSD	NMethods	ValueLabel
DLPFC	scVI	Core overall	0.017468391813011876	0.05965505715300208	34	0.017
DLPFC	scVI	Integration	0.013607006559565742	0.07090274252496548	34	0.014
DLPFC	scVI	Clustering	0.03510295765143821	0.07060974694317573	34	0.035
DLPFC	scVI	Alignment	0.008551956213013774	0.05151335919869572	34	0.009
DLPFC	CellCharter	Core overall	0.017720041900986076	0.027682076481071727	34	0.018
DLPFC	CellCharter	Integration	0.006455337156961156	0.01805924436105839	34	0.006
DLPFC	CellCharter	Clustering	0.031051468030863782	0.053030333874842364	34	0.031
DLPFC	CellCharter	Alignment	0.0059088921305095535	0.01181809927226123	34	0.006
Mouse Brain	scVI	Core overall	0.04904141615733578	0.11501203368437138	34	0.049
Mouse Brain	scVI	Integration	0.052636077176012513	0.1157889769130726	34	0.053
Mouse Brain	scVI	Clustering	0.08021881528039357	0.14887572196588866	34	0.080
Mouse Brain	scVI	Alignment	0.08138378067555559	0.20286468927897008	34	0.081
Mouse Brain	CellCharter	Core overall	0.006459541720124336	0.01329997647699321	34	0.006
Mouse Brain	CellCharter	Integration	0.007177676650071737	0.015528194301952165	34	0.007
Mouse Brain	CellCharter	Clustering	0.008168842977488343	0.018158778657270558	34	0.008
Mouse Brain	CellCharter	Alignment	0.008841668301792997	0.01152798294837763	34	0.009
STOmics-0212	scVI	Core overall	0.010353862643800442	0.021525668825139992	34	0.010
STOmics-0212	scVI	Integration	0.01792236123282609	0.03597569782519892	34	0.018
STOmics-0212	scVI	Clustering	0.01543879435983811	0.025604971310464065	34	0.015
STOmics-0212	scVI	Alignment	NA	NA	NA	NA
STOmics-0212	CellCharter	Core overall	0.011536620902260377	0.024948912213961817	34	0.012
STOmics-0212	CellCharter	Integration	0.010071852180156524	0.0218590451054053	34	0.010
STOmics-0212	CellCharter	Clustering	0.020206766696194263	0.04604816813107764	34	0.020
STOmics-0212	CellCharter	Alignment	NA	NA	NA	NA
STOmics-0218	scVI	Core overall	0.008374138915824435	0.023883129683405543	34	0.008
STOmics-0218	scVI	Integration	0.009916088638193729	0.01633322898322891	34	0.010
STOmics-0218	scVI	Clustering	0.0153004194422893	0.03884635780307419	34	0.015
STOmics-0218	scVI	Alignment	NA	NA	NA	NA
STOmics-0218	CellCharter	Core overall	0.008539236345125028	0.01439872199846302	34	0.009
STOmics-0218	CellCharter	Integration	0.005002865944252241	0.009551785040830367	34	0.005
STOmics-0218	CellCharter	Clustering	0.01560797057137192	0.02724967750566392	34	0.016
STOmics-0218	CellCharter	Alignment	NA	NA	NA	NA
STOmics-0224	scVI	Core overall	0.01809721335608981	0.028480735163949993	34	0.018
STOmics-0224	scVI	Integration	0.011132399641454014	0.041371655915248155	34	0.011
STOmics-0224	scVI	Clustering	0.025740944826022044	0.05289200606960015	34	0.026
STOmics-0224	scVI	Alignment	NA	NA	NA	NA
STOmics-0224	CellCharter	Core overall	0.013138272873830386	0.02096946497406828	34	0.013
STOmics-0224	CellCharter	Integration	0.013106291124557252	0.02197336547347742	34	0.013
STOmics-0224	CellCharter	Clustering	0.021808858109149405	0.04033248254601592	34	0.022
STOmics-0224	CellCharter	Alignment	NA	NA	NA	NA
E8.5 Embryo	scVI	Core overall	0.007733682583027723	0.013849926973120605	33	0.008
E8.5 Embryo	scVI	Integration	0.010674818541764273	0.023042674443514946	33	0.011
E8.5 Embryo	scVI	Clustering	0.0125929084335986	0.02680966900171371	33	0.013
E8.5 Embryo	scVI	Alignment	NA	NA	NA	NA
E8.5 Embryo	CellCharter	Core overall	0.006435332732997115	0.011874570048954506	33	0.006
E8.5 Embryo	CellCharter	Integration	0.004327434484484204	0.009471923200138335	33	0.004
E8.5 Embryo	CellCharter	Clustering	0.013577927273473175	0.025091559215997553	33	0.014
E8.5 Embryo	CellCharter	Alignment	NA	NA	NA	NA
E9.5 Embryo	scVI	Core overall	0.007220907215796393	0.013594124821822727	33	0.007
E9.5 Embryo	scVI	Integration	0.00832105482186832	0.017102213519262284	33	0.008
E9.5 Embryo	scVI	Clustering	0.01278719650722588	0.01987655960312936	33	0.013
E9.5 Embryo	scVI	Alignment	NA	NA	NA	NA
E9.5 Embryo	CellCharter	Core overall	0.007163275442063529	0.017954478880168604	33	0.007
E9.5 Embryo	CellCharter	Integration	0.00535203800490593	0.012129151263398485	33	0.005
E9.5 Embryo	CellCharter	Clustering	0.017699277977704306	0.031379374988297654	33	0.018
E9.5 Embryo	CellCharter	Alignment	NA	NA	NA	NA
