dataset	fs_method	n_features	integration_method	Dataset	Integrator	Comparison	Seed0	OtherSeed
DLPFC	Brennecke	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.6771480189590282	0.679762335722116
DLPFC	Brennecke	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.5800858321023273	0.5986142268186525
DLPFC	TFs	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.6232514023772234	0.633834220787976
DLPFC	TFs	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.4245488177982327	0.42932381373553474
DLPFC	all_features	all	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.6305055118015999	0.6474162941390614
DLPFC	all_features	all	scvi	DLPFC	scVI	Seed 0 vs 1	0.44249199900292857	0.4235007053043299
DLPFC	anticor	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7282006292652129	0.7036116522978071
DLPFC	anticor	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6725456795783104	0.670946361033794
DLPFC	dubstepr	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7390827897999782	0.7373757029289884
DLPFC	dubstepr	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6870911955850716	0.7032851113696847
DLPFC	hotspot	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7425886940146218	0.7272313107437465
DLPFC	hotspot	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.7114522546430285	0.6855847491241651
DLPFC	morans_i	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7623621408917329	0.7072046428578604
DLPFC	morans_i	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6950572248113962	0.7047730206347415
DLPFC	nbumi	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7130821976749759	0.7589826110515735
DLPFC	nbumi	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.7068891578987209	0.7205338785528659
