dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
DLPFC	Brennecke	2000	cellcharter	DLPFC	CellCharter	Alignment	0.006283565296151258	3
DLPFC	Brennecke	2000	cellcharter	DLPFC	CellCharter	Clustering	0.017651522541277047	3
DLPFC	Brennecke	2000	cellcharter	DLPFC	CellCharter	Core overall	0.009504450388486747	3
DLPFC	Brennecke	2000	cellcharter	DLPFC	CellCharter	Integration	0.004478377450421127	3
DLPFC	Brennecke	2000	scvi	DLPFC	scVI	Alignment	0.008928360279580522	3
DLPFC	Brennecke	2000	scvi	DLPFC	scVI	Clustering	0.01191741525653641	3
DLPFC	Brennecke	2000	scvi	DLPFC	scVI	Core overall	0.010062673975837207	3
DLPFC	Brennecke	2000	scvi	DLPFC	scVI	Integration	0.011257929095653705	3
DLPFC	TFs	2000	cellcharter	DLPFC	CellCharter	Alignment	0.0042262879738567734	3
DLPFC	TFs	2000	cellcharter	DLPFC	CellCharter	Clustering	0.06445573489971503	3
DLPFC	TFs	2000	cellcharter	DLPFC	CellCharter	Core overall	0.028841010998329874	3
DLPFC	TFs	2000	cellcharter	DLPFC	CellCharter	Integration	0.006862790354250286	3
DLPFC	TFs	2000	scvi	DLPFC	scVI	Alignment	0.0026922210044020654	3
DLPFC	TFs	2000	scvi	DLPFC	scVI	Clustering	0.006892030971297243	3
DLPFC	TFs	2000	scvi	DLPFC	scVI	Core overall	0.006300900875708784	3
DLPFC	TFs	2000	scvi	DLPFC	scVI	Integration	0.00572372268702343	3
DLPFC	all_features	all	cellcharter	DLPFC	CellCharter	Alignment	0.0103905970172602	3
DLPFC	all_features	all	cellcharter	DLPFC	CellCharter	Clustering	0.030955286722744748	3
DLPFC	all_features	all	cellcharter	DLPFC	CellCharter	Core overall	0.02057408395229728	3
DLPFC	all_features	all	cellcharter	DLPFC	CellCharter	Integration	0.01043204267482381	3
DLPFC	all_features	all	scvi	DLPFC	scVI	Alignment	0.04885515358372362	3
DLPFC	all_features	all	scvi	DLPFC	scVI	Clustering	0.038662481070008886	3
DLPFC	all_features	all	scvi	DLPFC	scVI	Core overall	0.009530414910208479	3
DLPFC	all_features	all	scvi	DLPFC	scVI	Integration	0.020466578668600202	3
DLPFC	anticor	2000	cellcharter	DLPFC	CellCharter	Alignment	0.007489692044965847	3
DLPFC	anticor	2000	cellcharter	DLPFC	CellCharter	Clustering	0.010169569291248941	3
DLPFC	anticor	2000	cellcharter	DLPFC	CellCharter	Core overall	0.013089911677875472	3
DLPFC	anticor	2000	cellcharter	DLPFC	CellCharter	Integration	0.016491610635703275	3
DLPFC	anticor	2000	scvi	DLPFC	scVI	Alignment	0.03240552300949832	3
DLPFC	anticor	2000	scvi	DLPFC	scVI	Clustering	0.010952324682744125	3
DLPFC	anticor	2000	scvi	DLPFC	scVI	Core overall	0.016127335891376594	3
DLPFC	anticor	2000	scvi	DLPFC	scVI	Integration	0.038342615025003426	3
DLPFC	dubstepr	2000	cellcharter	DLPFC	CellCharter	Alignment	0.0034904389986612724	3
DLPFC	dubstepr	2000	cellcharter	DLPFC	CellCharter	Clustering	0.03198740308028091	3
DLPFC	dubstepr	2000	cellcharter	DLPFC	CellCharter	Core overall	0.015565446716898636	3
DLPFC	dubstepr	2000	cellcharter	DLPFC	CellCharter	Integration	0.0012129408840162025	3
DLPFC	dubstepr	2000	scvi	DLPFC	scVI	Alignment	0.0036840877149621316	3
DLPFC	dubstepr	2000	scvi	DLPFC	scVI	Clustering	0.009826647221933287	3
DLPFC	dubstepr	2000	scvi	DLPFC	scVI	Core overall	0.011013182755999475	3
