dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup	NFeatures	Dataset	Integrator	Method
DLPFC	Brennecke	100	cellcharter	0.6858220328131459	NA	1	0.7381215624820828	NA	1	0.7119717976476143	NA	1	0.6456586771036245	NA	1	0.49602704061659497	NA	1	0.5708428588601098	NA	1	0.8068105877074865	NA	1	0.641407328253862	NA	1	0.6965417480717369	NA	1	expression_driven	100	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	100	scvi	0.9450910251743656	NA	1	0.5225841481510018	NA	1	0.7338375866626838	NA	1	0.29088618214979584	NA	1	0.22224888895170375	NA	1	0.2565675355507498	NA	1	0.661302634944192	NA	1	0.4952025611067168	NA	1	0.5505692523858752	NA	1	expression_driven	100	DLPFC	scVI	Brennecke
DLPFC	Brennecke	1000	cellcharter	0.6245082361534342	NA	1	0.8227021963396777	NA	1	0.7236052162465559	NA	1	0.6622729088764655	NA	1	0.520955805355681	NA	1	0.5916143571160732	NA	1	0.8339454211134885	NA	1	0.6576097866813146	NA	1	0.7163883314920393	NA	1	expression_driven	1000	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	1000	scvi	0.936278967210276	NA	1	0.5941069204920529	NA	1	0.7651929438511644	NA	1	0.389189057272809	NA	1	0.36385052389270667	NA	1	0.37651979058275786	NA	1	0.71571490324001	NA	1	0.5708563672169611	NA	1	0.6191425458913108	NA	1	expression_driven	1000	DLPFC	scVI	Brennecke
DLPFC	Brennecke	10000	cellcharter	0.5303616751849818	NA	1	0.8685344294979205	NA	1	0.6994480523414511	NA	1	0.731044712949292	NA	1	0.6120184930758827	NA	1	0.6715316030125873	NA	1	0.856719415086207	NA	1	0.6854898276770192	NA	1	0.742566356813415	NA	1	expression_driven	10000	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	10000	scvi	0.5842219917090772	NA	1	0.5374468798014863	NA	1	0.5608344357552817	NA	1	0.4703128444954266	NA	1	0.4273033921770735	NA	1	0.44880811833625006	NA	1	0.6873549313727524	NA	1	0.5048212770457658	NA	1	0.5656658284880947	NA	1	expression_driven	10000	DLPFC	scVI	Brennecke
DLPFC	Brennecke	200	cellcharter	0.6727010661005005	NA	1	0.7753825871812542	NA	1	0.7240418266408774	NA	1	0.6326795039054441	NA	1	0.44210077605390014	NA	1	0.5373901399796721	NA	1	0.83178018252577	NA	1	0.6307159833102747	NA	1	0.6977373830487732	NA	1	expression_driven	200	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	200	scvi	0.9513497485734002	NA	1	0.5586543614956285	NA	1	0.7550020550345143	NA	1	0.3201785699882518	NA	1	0.29019258212225485	NA	1	0.3051855760552533	NA	1	0.6936695177152791	NA	1	0.5300938155448838	NA	1	0.5846190496016822	NA	1	expression_driven	200	DLPFC	scVI	Brennecke
DLPFC	Brennecke	2000	cellcharter	0.6027768003037455	0.00147564082655397	3	0.8511928773946383	0.00913436603831417	3	0.72698483884919185	0.00447837745042111	3	0.6770619605031593	0.00776379645290557	3	0.6045300817662366	0.03787579263149182	3	0.6407960211346979	0.01765152254127703	3	0.8515784664846677	0.00628356529615124	3	0.6838904299919449	0.00950445038848679	3	0.7397864421561859	0.00833971488035098	3	expression_driven	2000	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	2000	scvi	0.8575313007763056	0.01914874520371093	3	0.6286432292469821	0.01780618470654689	3	0.7430872650116438	0.0112579290956537	3	0.4279932018445287	0.00835427910596929	3	0.45230455729909974	0.02404773835873207	3	0.4401488795718142	0.01191741525653639	3	0.7251048785642406	0.00892836027958051	3	0.591618072291729	0.01006267397583725	3	0.6361136743825662	0.00961087956248197	3	expression_driven	2000	DLPFC	scVI	Brennecke
DLPFC	Brennecke	500	cellcharter	0.6638983869353356	NA	1	0.8007827468396076	NA	1	0.7323405668874716	NA	1	0.6511846946031519	NA	1	0.5004590816261922	NA	1	0.575821888114672	NA	1	0.8343922415007805	NA	1	0.6540812275010719	NA	1	0.7141848988343081	NA	1	expression_driven	500	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	500	scvi	0.9514139478838002	NA	1	0.5935636014558129	NA	1	0.7724887746698066	NA	1	0.3567340887875465	NA	1	0.373254709814837	NA	1	0.3649943993011917	NA	1	0.7195124315175738	NA	1	0.5687415869854991	NA	1	0.6189985351628574	NA	1	expression_driven	500	DLPFC	scVI	Brennecke
DLPFC	Brennecke	5000	cellcharter	0.5610763938588825	NA	1	0.7804397190308754	NA	1	0.670758056444879	NA	1	0.7169643941171583	NA	1	0.5959480150406145	NA	1	0.6564562045788864	NA	1	0.8749527333861775	NA	1	0.6636071305118827	NA	1	0.7340556648033143	NA	1	expression_driven	5000	DLPFC	CellCharter	Brennecke
DLPFC	Brennecke	5000	scvi	0.7989942897994505	NA	1	0.6453087203670403	NA	1	0.7221515050832454	NA	1	0.5255106041318083	NA	1	0.576929095728806	NA	1	0.5512198499303071	NA	1	0.7491673744216649	NA	1	0.6366856775067763	NA	1	0.6741795764784059	NA	1	expression_driven	5000	DLPFC	scVI	Brennecke
DLPFC	anticor	100	cellcharter	0.6344775926457714	NA	1	0.8737648689618149	NA	1	0.7541212308037932	NA	1	0.6994940461412466	NA	1	0.8120531950977988	NA	1	0.7557736206195227	NA	1	0.9139828682135842	NA	1	0.754947425711658	NA	1	0.8079592398789668	NA	1	expression_driven	100	DLPFC	CellCharter	Anticor
DLPFC	anticor	100	scvi	0.7958368624135539	NA	1	0.6922988535758003	NA	1	0.7440678579946771	NA	1	0.41081377153383186	NA	1	0.6786657408421223	NA	1	0.5447397561879771	NA	1	0.7785851962241208	NA	1	0.6444038070913272	NA	1	0.6891309368022585	NA	1	expression_driven	100	DLPFC	scVI	Anticor
DLPFC	anticor	1000	cellcharter	0.5427285995750608	NA	1	0.8933329854279026	NA	1	0.7180307925014817	NA	1	0.7187034655486849	NA	1	0.7009184855177977	NA	1	0.7098109755332414	NA	1	0.9122719185756216	NA	1	0.7139208840173615	NA	1	0.7800378955367816	NA	1	expression_driven	1000	DLPFC	CellCharter	Anticor
DLPFC	anticor	1000	scvi	0.7738429379993843	NA	1	0.7449837324303468	NA	1	0.7594133352148655	NA	1	0.4957375914949007	NA	1	0.7088397322670281	NA	1	0.6022886618809644	NA	1	0.8100546773279825	NA	1	0.680850998547915	NA	1	0.7239188914746042	NA	1	expression_driven	1000	DLPFC	scVI	Anticor
