Dataset	Integrator	NFeatures	MeanDelta	SDDelta	NMethods	NLabel
DLPFC	scVI	100	-0.0735447195541986	0.07751352591776997	29	100
DLPFC	scVI	200	-0.04137407618911806	0.06117483532170044	29	200
DLPFC	scVI	500	-0.012733237267015134	0.04500043438520716	29	500
DLPFC	scVI	1000	-0.0013634671083267952	0.03174293439012291	29	1,000
DLPFC	scVI	2000	0	0	29	2,000
DLPFC	scVI	5000	-0.05947451841791833	0.08097556599046424	29	5,000
DLPFC	scVI	10000	-0.16090359048182407	0.10167512160973245	29	10,000
DLPFC	CellCharter	100	-0.020007338630763736	0.05320221752534732	29	100
DLPFC	CellCharter	200	1.179912011614278e-4	0.031432203933774876	29	200
DLPFC	CellCharter	500	0.0043287339651311915	0.021474878446408847	29	500
DLPFC	CellCharter	1000	6.426982734608927e-4	0.017110398944215868	29	1,000
DLPFC	CellCharter	2000	0	0	29	2,000
DLPFC	CellCharter	5000	-0.011230773879656278	0.02696487380257645	29	5,000
DLPFC	CellCharter	10000	-0.025129413883934318	0.025564201441629308	29	10,000
Mouse Brain	scVI	100	0.1312690856664488	0.16345929440403276	29	100
Mouse Brain	scVI	200	0.15020089249146767	0.14337835656118758	29	200
Mouse Brain	scVI	500	0.14943870739117354	0.1123232041815738	29	500
Mouse Brain	scVI	1000	0.08991293182151404	0.10520695704665124	29	1,000
Mouse Brain	scVI	2000	0	0	29	2,000
Mouse Brain	scVI	5000	-0.08086146410234032	0.0963466397568922	29	5,000
Mouse Brain	scVI	10000	-0.09775495865927353	0.09628464526375376	29	10,000
Mouse Brain	CellCharter	100	-0.030151719811129584	0.02746767766388321	29	100
Mouse Brain	CellCharter	200	-0.014581820688308048	0.01518238100130151	29	200
Mouse Brain	CellCharter	500	-0.006430645029046123	0.010785326407496736	29	500
Mouse Brain	CellCharter	1000	0.001276034860297734	0.012961133672286372	29	1,000
Mouse Brain	CellCharter	2000	0	0	29	2,000
Mouse Brain	CellCharter	5000	0.007120337807070205	0.013381206153782714	29	5,000
Mouse Brain	CellCharter	10000	-0.004771186873859479	0.011179409225098743	29	10,000
STOmics-0212	scVI	100	0.0050125384526567215	0.05222002126255953	29	100
STOmics-0212	scVI	200	0.015473129038653366	0.037551757881453096	29	200
STOmics-0212	scVI	500	0.015635436002895475	0.022354605411253697	29	500
STOmics-0212	scVI	1000	0.007388158414355285	0.021041701439402143	29	1,000
STOmics-0212	scVI	2000	0	0	29	2,000
STOmics-0212	scVI	5000	-0.02085155232305138	0.02498703361162947	29	5,000
STOmics-0212	scVI	10000	-0.054160790137289125	0.033200803774294296	29	10,000
STOmics-0212	CellCharter	100	-0.003632552934243996	0.03634792888385247	29	100
STOmics-0212	CellCharter	200	8.937083962706454e-4	0.035479232829419914	29	200
STOmics-0212	CellCharter	500	0.005207435740172806	0.029202199766386352	29	500
STOmics-0212	CellCharter	1000	-2.442729231343902e-4	0.024374594668334814	29	1,000
STOmics-0212	CellCharter	2000	0	0	29	2,000
STOmics-0212	CellCharter	5000	-0.009165560757702838	0.015876830549351822	29	5,000
STOmics-0212	CellCharter	10000	-0.02284857724830874	0.01992210531327343	29	10,000
STOmics-0218	scVI	100	-0.07093086021619067	0.09227266573429188	29	100
STOmics-0218	scVI	200	-0.03438562127240898	0.06022702978231115	29	200
STOmics-0218	scVI	500	-0.008195563780581451	0.019135696430279243	29	500
STOmics-0218	scVI	1000	-0.005482300308668502	0.014274472854476656	29	1,000
STOmics-0218	scVI	2000	0	0	29	2,000
STOmics-0218	scVI	5000	-0.0065454625306254136	0.01289459726576229	29	5,000
STOmics-0218	scVI	10000	-0.01188029756525499	0.01717623486167869	29	10,000
STOmics-0218	CellCharter	100	-0.032715005069043665	0.052796383355902504	29	100
STOmics-0218	CellCharter	200	-0.015673063111381388	0.01705971397243747	29	200
STOmics-0218	CellCharter	500	-0.008318305361007902	0.010764558734669366	29	500
STOmics-0218	CellCharter	1000	3.6796838193028637e-4	0.015031346093686435	29	1,000
STOmics-0218	CellCharter	2000	0	0	29	2,000
STOmics-0218	CellCharter	5000	2.410146808882568e-4	0.012461635661027452	29	5,000
STOmics-0218	CellCharter	10000	-2.6717216997122046e-4	0.010662357051749042	29	10,000
STOmics-0224	scVI	100	-0.10197940351460247	0.05228187097433438	29	100
STOmics-0224	scVI	200	-0.0675875657645898	0.04396625797163512	29	200
STOmics-0224	scVI	500	-0.0369009014335559	0.034551588183279774	29	500
STOmics-0224	scVI	1000	-0.018404712367203254	0.02280000434119243	29	1,000
STOmics-0224	scVI	2000	0	0	29	2,000
STOmics-0224	scVI	5000	-0.00848329772141333	0.03953332483706038	29	5,000
STOmics-0224	scVI	10000	-0.06274136143699362	0.07574199273940829	29	10,000
STOmics-0224	CellCharter	100	-0.028718130645147052	0.061390578041351354	29	100
STOmics-0224	CellCharter	200	-0.017791335414149782	0.033841690645428406	29	200
STOmics-0224	CellCharter	500	-0.002718122458794092	0.026267228690472284	29	500
STOmics-0224	CellCharter	1000	-0.002979356873032715	0.022314312154401397	29	1,000
STOmics-0224	CellCharter	2000	0	0	29	2,000
STOmics-0224	CellCharter	5000	-0.0019008889685487823	0.018196922450816916	29	5,000
STOmics-0224	CellCharter	10000	-0.005258220308733471	0.01799480510317701	29	10,000
E8.5 Embryo	scVI	100	-0.040005701421655375	0.05693207801780748	29	100
E8.5 Embryo	scVI	200	-0.023238836578749235	0.04100844799277412	29	200
E8.5 Embryo	scVI	500	-0.010240489098133833	0.017968933442798183	29	500
E8.5 Embryo	scVI	1000	-0.0038387182192996146	0.00960867575588362	29	1,000
E8.5 Embryo	scVI	2000	0	0	29	2,000
E8.5 Embryo	scVI	5000	-0.0020383998537114034	0.02275218820099007	29	5,000
E8.5 Embryo	scVI	10000	-0.015240694924433045	0.03325671933441868	29	10,000
E8.5 Embryo	CellCharter	100	0.018432732836331844	0.0887848540351372	29	100
E8.5 Embryo	CellCharter	200	0.01878533614848462	0.06646798968632667	29	200
E8.5 Embryo	CellCharter	500	0.017194123481193705	0.0370909872793154	29	500
E8.5 Embryo	CellCharter	1000	0.008296403336614187	0.01877255179391608	29	1,000
E8.5 Embryo	CellCharter	2000	0	0	29	2,000
E8.5 Embryo	CellCharter	5000	-0.02558643786001157	0.02811551874470802	29	5,000
E8.5 Embryo	CellCharter	10000	-0.050451951539974	0.03641492561898672	29	10,000
E9.5 Embryo	scVI	100	-0.058985244907488	0.06731626651854454	29	100
E9.5 Embryo	scVI	200	-0.032855280133812274	0.045434509917337176	29	200
E9.5 Embryo	scVI	500	-0.01113463822120206	0.0223880579879675	29	500
E9.5 Embryo	scVI	1000	-0.0037818162360734858	0.012994862369475066	29	1,000
E9.5 Embryo	scVI	2000	0	0	29	2,000
E9.5 Embryo	scVI	5000	0.008194449491847663	0.02100585036259944	29	5,000
E9.5 Embryo	scVI	10000	0.0033836159558530486	0.022514110763427037	29	10,000
E9.5 Embryo	CellCharter	100	-0.020036362061282446	0.07978750158459387	29	100
E9.5 Embryo	CellCharter	200	-0.017113928099636883	0.07255582170300955	29	200
E9.5 Embryo	CellCharter	500	-0.008492418759533575	0.04373923454794707	29	500
E9.5 Embryo	CellCharter	1000	-1.1042074674961038e-5	0.027636032406544015	29	1,000
E9.5 Embryo	CellCharter	2000	0	0	29	2,000
E9.5 Embryo	CellCharter	5000	-0.012980650201231122	0.0255445609066206	29	5,000
E9.5 Embryo	CellCharter	10000	-0.02999321076747041	0.02568546112175525	29	10,000
