fs_method	Method	Integrator	NFeatures	MeanDelta	SDDelta	NDatasets	NLabel
Brennecke	Brennecke	scVI	100	-0.10015305541279905	0.12654672254098245	7	100
Brennecke	Brennecke	scVI	200	-0.04952206907257416	0.11908217971952327	7	200
Brennecke	Brennecke	scVI	500	-0.0075847114888633205	0.09276428958802176	7	500
Brennecke	Brennecke	scVI	1000	-0.02696192891875071	0.06858550404536808	7	1,000
Brennecke	Brennecke	scVI	2000	0	0	7	2,000
Brennecke	Brennecke	scVI	5000	0.006140872904640874	0.03092064959426723	7	5,000
Brennecke	Brennecke	scVI	10000	-0.04336552629811761	0.04807907092283887	7	10,000
Brennecke	Brennecke	CellCharter	100	-0.08494526726977067	0.08288304481021376	7	100
Brennecke	Brennecke	CellCharter	200	-0.05082824973050931	0.047839387591662605	7	200
Brennecke	Brennecke	CellCharter	500	-0.03577832480632327	0.04592165782790507	7	500
Brennecke	Brennecke	CellCharter	1000	-0.018212457092648977	0.0395488963279088	7	1,000
Brennecke	Brennecke	CellCharter	2000	0	0	7	2,000
Brennecke	Brennecke	CellCharter	5000	-0.01727086938816545	0.025124680702146896	7	5,000
Brennecke	Brennecke	CellCharter	10000	-0.02757675878250136	0.04114969374854702	7	10,000
anticor	Anticor	scVI	100	0.02928033614952024	0.12344354348067044	7	100
anticor	Anticor	scVI	200	0.035001966699676194	0.10837479240728308	7	200
anticor	Anticor	scVI	500	0.04066419969283371	0.10728131559114376	7	500
anticor	Anticor	scVI	1000	0.03336735241800613	0.07636182576925521	7	1,000
anticor	Anticor	scVI	2000	0	0	7	2,000
anticor	Anticor	scVI	5000	-0.0336500569836207	0.04113702297243582	7	5,000
anticor	Anticor	scVI	10000	-0.07224273556914936	0.0813070534892886	7	10,000
anticor	Anticor	CellCharter	100	0.024834128755265757	0.021329298474522765	7	100
anticor	Anticor	CellCharter	200	0.009692881247210587	0.025869620528393724	7	200
anticor	Anticor	CellCharter	500	0.002333421860185068	0.009439860801894162	7	500
anticor	Anticor	CellCharter	1000	0.0037730710228770503	0.010674394525727913	7	1,000
anticor	Anticor	CellCharter	2000	0	0	7	2,000
anticor	Anticor	CellCharter	5000	-0.01482757767771546	0.028239243733136615	7	5,000
anticor	Anticor	CellCharter	10000	-0.028404575441603037	0.03254604942449046	7	10,000
dubstepr	DUBStepR	scVI	100	0.0031456062875424733	0.09307125291515268	7	100
dubstepr	DUBStepR	scVI	200	0.0095946854751388	0.10393028500638203	7	200
dubstepr	DUBStepR	scVI	500	0.024269899092773013	0.08331876182652163	7	500
dubstepr	DUBStepR	scVI	1000	0.014318749649399023	0.06052907941749073	7	1,000
dubstepr	DUBStepR	scVI	2000	0	0	7	2,000
dubstepr	DUBStepR	scVI	5000	-0.024366215215900655	0.053722694164340175	7	5,000
dubstepr	DUBStepR	scVI	10000	-0.024366215215900655	0.053722694164340175	7	10,000
dubstepr	DUBStepR	CellCharter	100	0.007889374955654862	0.041470933357271096	7	100
dubstepr	DUBStepR	CellCharter	200	0.0027245161167494775	0.039441204036552865	7	200
