dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Core overall	1
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Integration	9
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Clustering	0
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Alignment	-1
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Core overall	-1
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Integration	3
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Clustering	0
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Alignment	4
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Core overall	4
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Integration	-3
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Clustering	8
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Alignment	-2
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Core overall	10
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Integration	15
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Clustering	9
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Alignment	1
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Core overall	-13
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Integration	-20
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Clustering	-9
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Alignment	-7
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Core overall	2
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Integration	1
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Clustering	-4
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Alignment	2
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Core overall	-4
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Integration	-14
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Clustering	4
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Alignment	-3
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Core overall	1
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Integration	3
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Clustering	-3
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Alignment	8
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Core overall	6
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Integration	6
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Clustering	-4
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Alignment	2
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Core overall	1
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Integration	15
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Clustering	-1
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Alignment	3
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Core overall	-8
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Integration	4
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Clustering	-1
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Alignment	2
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Core overall	6
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Integration	9
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Clustering	0
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Alignment	0
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Core overall	6
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Integration	5
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Clustering	2
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Alignment	3
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Core overall	0
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Integration	1
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Clustering	1
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Alignment	0
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Core overall	6
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Integration	11
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Clustering	0
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Alignment	4
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Core overall	-12
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Integration	-9
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Clustering	-11
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Alignment	-3
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Core overall	-3
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Integration	-4
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Clustering	-3
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Alignment	-8
DLPFC	scry	2000	expression_driven	DLPFC	scry	Core overall	0
DLPFC	scry	2000	expression_driven	DLPFC	scry	Integration	-11
DLPFC	scry	2000	expression_driven	DLPFC	scry	Clustering	4
DLPFC	scry	2000	expression_driven	DLPFC	scry	Alignment	-5
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Core overall	11
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Integration	14
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Clustering	3
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Alignment	0
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Core overall	-4
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Integration	4
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Clustering	-4
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Alignment	3
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Core overall	12
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Integration	0
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Clustering	14
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Alignment	3
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Core overall	-9
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Integration	-14
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Clustering	-4
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Alignment	-3
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Core overall	7
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Integration	2
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Clustering	5
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Alignment	4
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Core overall	-1
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Integration	7
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Clustering	-7
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Alignment	8
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Core overall	-4
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Integration	-19
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Clustering	2
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Alignment	0
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Core overall	-1
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Integration	0
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Clustering	1
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Alignment	3
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Core overall	-9
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Integration	-15
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Clustering	-3
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Alignment	-6
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Core overall	-3
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Integration	-12
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Clustering	3
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Alignment	-1
DLPFC	triku	2000	expression_driven	DLPFC	triku	Core overall	-4
DLPFC	triku	2000	expression_driven	DLPFC	triku	Integration	-4
DLPFC	triku	2000	expression_driven	DLPFC	triku	Clustering	-4
DLPFC	triku	2000	expression_driven	DLPFC	triku	Alignment	0
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Core overall	-24
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Integration	1
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Clustering	-10
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Alignment	NA
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Core overall	0
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Integration	-5
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Clustering	5
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Alignment	NA
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Core overall	17
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Integration	5
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Clustering	4
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Alignment	NA
E8p5Embryo	hotspot	2000	expression_driven	E8.5 Embryo	Hotspot	Core overall	-1
