dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Core overall	0.09227235770021591
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Integration	-0.016102426162451944
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Clustering	0.2006471415628837
DLPFC	Brennecke	2000	expression_driven	DLPFC	Brennecke	Alignment	0.12647358792042718
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Core overall	0.056054099555507
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Integration	-0.0018645592822879031
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Clustering	0.1139727583933019
DLPFC	anticor	2000	expression_driven	DLPFC	Anticor	Alignment	0.1184089015570926
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Core overall	0.03837794470587663
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Integration	-0.008809714991493744
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Clustering	0.0855656044032469
DLPFC	dubstepr	2000	expression_driven	DLPFC	DUBStepR	Alignment	0.11547414648135057
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Core overall	0.020886047585875533
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Integration	-0.036402796015507
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Clustering	0.07817489118725829
DLPFC	hotspot	2000	expression_driven	DLPFC	Hotspot	Alignment	0.11169902568643797
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Core overall	0.11693070145960704
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Integration	0.08566529734405981
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Clustering	0.14819610557515417
DLPFC	morans_i	2000	spatially_informed	DLPFC	Moran's I	Alignment	0.16166113446457675
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Core overall	0.05872842404472067
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Integration	-0.026167745641788698
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Clustering	0.14362459373122993
DLPFC	nbumi	2000	expression_driven	DLPFC	NBumi	Alignment	0.1146908936143547
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Core overall	0.0794618783451666
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Integration	0.06638835555559552
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Clustering	0.09253540113473768
DLPFC	nnsvg	2000	spatially_informed	DLPFC	nnSVG	Alignment	0.14339273296764432
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Core overall	0.04697419550465298
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Integration	-0.02103754429485938
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Clustering	0.11498593530416557
DLPFC	osca	2000	expression_driven	DLPFC	OSCA	Alignment	0.11885469325739972
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Core overall	0.06093839207319074
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Integration	-0.013129160478192348
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Clustering	0.13500594462457371
DLPFC	scPNMF	2000	expression_driven	DLPFC	scPNMF	Alignment	0.13173078638415892
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Core overall	0.09968548448311987
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Integration	-0.04720830424572875
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Clustering	0.24657927321196843
DLPFC	scanpy_cell_ranger	2000	expression_driven	DLPFC	Scanpy Cell Ranger	Alignment	0.10809558832094202
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Core overall	0.13015250477365836
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Integration	-0.0174684603119859
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Clustering	0.2777734698593029
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	DLPFC	Scanpy Cell Ranger, batch	Alignment	0.11702298989940552
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Core overall	0.03494386237948066
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Integration	-0.036460793701132754
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Clustering	0.10634851846009397
DLPFC	scanpy_pearson	2000	expression_driven	DLPFC	Scanpy Pearson	Alignment	0.1396102961965897
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Core overall	0.03910451055527586
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Integration	-0.024562865177547133
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Clustering	0.10277188628809886
DLPFC	scanpy_pearson_batch	2000	expression_driven	DLPFC	Scanpy Pearson, batch	Alignment	0.13342742657996576
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Core overall	0.08442863742869233
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Integration	-0.004264749732345252
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Clustering	0.17312202458972997
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Alignment	0.13807979680059534
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Core overall	0.05085894726769691
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Integration	-0.03438584778655451
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Clustering	0.13610374232194822
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Alignment	0.12290039986850632
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Core overall	0.09708863500183318
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Integration	6.060922855173345e-4
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Clustering	0.19357117771814936
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Alignment	0.12677584030113387
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Core overall	0.06956866689761143
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Integration	-0.0048059466978278564
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Clustering	0.14394328049305027
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Alignment	0.15964970628791375
DLPFC	scry	2000	expression_driven	DLPFC	scry	Core overall	0.08580768232647784
DLPFC	scry	2000	expression_driven	DLPFC	scry	Integration	0.0772515681749919
DLPFC	scry	2000	expression_driven	DLPFC	scry	Clustering	0.09436379647796378
DLPFC	scry	2000	expression_driven	DLPFC	scry	Alignment	0.16480931650172348
