Method	Metric	Moran's I	nnSVG
Moran's I	Jaccard	1	2
Moran's I	MeanReferencePercentile	1	3
Moran's I	RankSpearman	1	3
nnSVG	Jaccard	2	1
nnSVG	MeanReferencePercentile	2	1
nnSVG	RankSpearman	2	1
Random	Jaccard	13	13
Random	MeanReferencePercentile	13	12
Random	RankSpearman	13	12
Scanpy Cell Ranger, batch	Jaccard	10	11
Scanpy Cell Ranger, batch	MeanReferencePercentile	10	11
Scanpy Cell Ranger, batch	RankSpearman	10	11
Scanpy Seurat v3, batch	Jaccard	9	10
Scanpy Seurat v3, batch	MeanReferencePercentile	11	10
Scanpy Seurat v3, batch	RankSpearman	11	10
scSEGIndex	Jaccard	11	8
scSEGIndex	MeanReferencePercentile	8	6
scSEGIndex	RankSpearman	8	6
Seurat VST	Jaccard	8	7
Seurat VST	MeanReferencePercentile	9	8
Seurat VST	RankSpearman	9	8
singleCellHaystack	Jaccard	6	4
singleCellHaystack	MeanReferencePercentile	4	4
singleCellHaystack	RankSpearman	4	4
SOMDE	Jaccard	5	6
SOMDE	MeanReferencePercentile	6	7
SOMDE	RankSpearman	6	7
SPARK-X	Jaccard	4	3
SPARK-X	MeanReferencePercentile	3	2
SPARK-X	RankSpearman	3	2
SpatialDE	Jaccard	3	5
SpatialDE	MeanReferencePercentile	5	5
SpatialDE	RankSpearman	5	5
triku	Jaccard	7	9
triku	MeanReferencePercentile	7	9
triku	RankSpearman	7	9
Wilcoxon	Jaccard	12	12
Wilcoxon	MeanReferencePercentile	12	13
Wilcoxon	RankSpearman	12	13
