dataset	fs_method	n_features	MethodGroup	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	IntegrationRank	ClusteringRank	AlignmentRank	CoreOverallRank	effective_n_features	BestParentCoreOverall	DifferenceFromBestParent	Method	Integrator	Dataset
DLPFC	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.612973440580307	6.4539782183857e-4	3	0.9338291179288052	0.00232915263497306	3	0.773401279254556	0.00110496238966484	3	0.6767155419220012	4.5009622655741e-4	3	0.7886568051363394	0.0935465279770568	3	0.7326861735291703	0.04674369243106379	3	0.9378220854586432	0.00730832000936345	3	0.7530437263918631	0.02291467850180252	3	0.8146365127474565	0.01374661635095983	3	2	8	5	6	354	0.7611895018086375	-0.00814577541677441	Exact HVG-SVG intersection	CellCharter	DLPFC
DLPFC	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.8719244742501209	0.00609372695185607	3	0.7184305114248883	0.00472302133242044	3	0.7951774928375047	0.00519864583836148	3	0.5026700688698438	0.01023308805442538	3	0.691681821967889	0.03133040476744066	3	0.5971759454188663	0.01934323657238413	3	0.8055990022137004	0.00646695821285791	3	0.6961767191281855	0.01207732428720473	3	0.7326508134900238	0.00998105106196934	3	3	11	10	5	354	0.6916208349110261	0.00455588421715935	Exact HVG-SVG intersection	scVI	DLPFC
DLPFC	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.5501402444129934	0.00449054574927719	3	0.9752979813978158	0.00788392522929954	3	0.7627191129054046	0.0026546711949955	3	0.6972775374719057	0.00519781375066315	3	0.7510610962871697	0.08191200900399945	3	0.7241693168795376	0.04156616790111234	3	0.9303685182419098	0.00910302627394263	3	0.7434442148924711	0.02170197042351362	3	0.8057523160089507	0.01158530932396691	3	8	9	8	9	2000	0.7611895018086375	-0.01774528691616639	Balanced HVG-SVG union	CellCharter	DLPFC
DLPFC	hybrid_hvg_svg_union	2000	hybrid	scvi	0.7010286436477197	0.06086088455461252	3	0.71291476833366485	0.03149772581829068	3	0.7069717059906923	0.04386995951928928	3	0.469786259428964	0.03989420851086237	3	0.7015402328778239	0.08087213083225431	3	0.5856632461533939	0.06033535186982496	3	0.776742454875456	0.02943903705726039	3	0.646317476072043	0.05095771297985926	3	0.6897924690065139	0.04369761024457614	3	26	16	15	19	2000	0.6916208349110261	-0.04530335883898306	Balanced HVG-SVG union	scVI	DLPFC
E8p5Embryo	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.47223653018703654	0.00410989200800016	3	NA	NA	0	0.47223653018703654	0.00410989200800016	3	0.7422338466925601	0.00407221341591898	3	NA	NA	0	0.7422338466925601	0.00407221341591898	3	NA	NA	0	0.6072351884397983	0.00365911154821916	3	NA	NA	0	22	2	NA	7	253	0.6018808439231639	0.00535434451663441	Exact HVG-SVG intersection	CellCharter	E8p5Embryo
E8p5Embryo	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.7210760427448807	0.0073572784089484	3	NA	NA	0	0.7210760427448807	0.0073572784089484	3	0.413244281958272	0.01233113115823465	3	NA	NA	0	0.413244281958272	0.01233113115823465	3	NA	NA	0	0.5671601623515764	0.0098366320416479	3	NA	NA	0	29	3	NA	9	253	0.5712136742936171	-0.00405351194204073	Exact HVG-SVG intersection	scVI	E8p5Embryo
E8p5Embryo	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.4808867041764958	0.00289132263364994	3	NA	NA	0	0.4808867041764958	0.00289132263364994	3	0.6584522997861461	0.01015809219871032	3	NA	NA	0	0.6584522997861461	0.01015809219871032	3	NA	NA	0	0.569669501981321	0.00368435033551263	3	NA	NA	0	20	14	NA	19	2000	0.6018808439231639	-0.03221134194184283	Balanced HVG-SVG union	CellCharter	E8p5Embryo
E8p5Embryo	hybrid_hvg_svg_union	2000	hybrid	scvi	0.7340146002747998	0.00399319953297892	3	NA	NA	0	0.7340146002747998	0.00399319953297892	3	0.3783057698399454	0.01934232516481532	3	NA	NA	0	0.3783057698399454	0.01934232516481532	3	NA	NA	0	0.5561601850573726	0.00816985855991418	3	NA	NA	0	23	13	NA	19	2000	0.5712136742936171	-0.0150534892362445	Balanced HVG-SVG union	scVI	E8p5Embryo
E9p5Embryo	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.5349721747834121	0.00183511349231228	3	NA	NA	0	0.5349721747834121	0.00183511349231228	3	0.712277920757236	0.0127030595877792	3	NA	NA	0	0.712277920757236	0.0127030595877792	3	NA	NA	0	0.6236250477703239	0.0054358053154092	3	NA	NA	0	11	5	NA	1	290	0.6064961209357523	0.01712892683457156	Exact HVG-SVG intersection	CellCharter	E9p5Embryo
E9p5Embryo	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.7327088792574584	0.00494591034661149	3	NA	NA	0	0.7327088792574584	0.00494591034661149	3	0.33981868485240363	0.01190922892656416	3	NA	NA	0	0.33981868485240363	0.01190922892656416	3	NA	NA	0	0.5362637820549311	0.00553541017872726	3	NA	NA	0	11	22	NA	21	290	0.5428890162947286	-0.00662523423979755	Exact HVG-SVG intersection	scVI	E9p5Embryo
E9p5Embryo	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.4987916749068956	0.01165452796885814	3	NA	NA	0	0.4987916749068956	0.01165452796885814	3	0.6728854758687213	0.02975759488936884	3	NA	NA	0	0.6728854758687213	0.02975759488936884	3	NA	NA	0	0.5858385753878084	0.02061423840917823	3	NA	NA	0	29	10	NA	15	2000	0.6064961209357523	-0.02065754554794396	Balanced HVG-SVG union	CellCharter	E9p5Embryo
E9p5Embryo	hybrid_hvg_svg_union	2000	hybrid	scvi	0.6884448614539261	8.7949767707598e-4	3	NA	NA	0	0.6884448614539261	8.7949767707598e-4	3	0.39679552294156345	0.00298972063843972	3	NA	NA	0	0.39679552294156345	0.00298972063843972	3	NA	NA	0	0.5426201921977448	0.00186056601497863	3	NA	NA	0	24	8	NA	14	2000	0.5428890162947286	-2.6882409698381e-4	Balanced HVG-SVG union	scVI	E9p5Embryo
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.6275848954031317	0.00290525035830982	3	0.8144630682663857	0.00694884964438637	3	0.7210239818347587	0.00206788626112503	3	0.7903127354832656	0.00173456429868041	3	0.8051460381148065	0.00357709382340002	3	0.7977293867990362	0.0015835359055364	3	0.9565938680291776	0.00696282044114657	3	0.7593766843168974	0.00131360924283364	3	0.8251157455543242	0.0031371647193267	3	14	13	28	13	1157	0.7641124275562614	-0.00473574323936398	Exact HVG-SVG intersection	CellCharter	Mouse Brain
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.5878025278841718	0.07303228394274085	3	0.7597921845857214	0.01126532750597755	3	0.6737973562349465	0.03964611234051917	3	0.7459542768476052	0.02040166165164846	3	0.8146342161014402	0.06186964849951939	3	0.7802942464745226	0.04058606051382333	3	0.8950491148582621	0.03562413766271132	3	0.7270458013547346	0.01021844302844634	3	0.7830469058559104	0.01450320303896962	3	8	6	8	6	1157	0.614411198245853	0.11263460310888164	Exact HVG-SVG intersection	scVI	Mouse Brain
