integration_method	fs_method	NDataSets	ObservedMeanDatasetRank	ObservedGlobalRank	BootstrapGlobalRankMedian	BootstrapGlobalRankLowerQuartile	BootstrapGlobalRankUpperQuartile	BootstrapGlobalRankLower95	BootstrapGlobalRankUpper95	Top5Probability
cellcharter	Brennecke	7	16.285714285714285	20.0	18.0	11.0	23.0	4.5	28.0	0.0394
cellcharter	anticor	7	16.0	18.0	17.0	15.0	20.0	10.0	23.0	0.0
cellcharter	dubstepr	7	16.142857142857142	19.0	17.5	14.0	21.0	8.0	23.0	0.0
cellcharter	hotspot	7	14.571428571428571	12.5	14.0	10.0	18.5	6.0	25.0	0.0206
cellcharter	morans_i	7	15.571428571428571	15.5	16.0	13.0	20.0	8.0	23.012499999999818	0.0
cellcharter	nbumi	7	9.142857142857142	5.0	5.0	4.0	6.5	2.0	12.0	0.5966
cellcharter	nnsvg	7	17.0	22.0	19.5	16.0	22.0	11.0	24.0	0.0
cellcharter	osca	7	12.714285714285714	8.0	10.0	8.0	13.0	3.0	20.0	0.0932
cellcharter	scPNMF	7	24.0	29.0	28.5	27.0	29.0	24.0	29.0	0.0
cellcharter	scanpy_cell_ranger	7	13.0	10.0	10.0	6.0	16.5	1.0	25.0	0.1928
cellcharter	scanpy_cell_ranger_batch	7	8.0	4.0	4.0	2.0	6.0	1.0	13.0	0.731
cellcharter	scanpy_pearson	7	16.428571428571427	21.0	18.0	14.0	22.0	7.0	26.0	0.0036
cellcharter	scanpy_pearson_batch	7	15.571428571428571	15.5	16.0	12.0	21.0	4.5	27.0	0.039
cellcharter	scanpy_seurat	7	14.857142857142858	14.0	14.0	9.0	20.0	4.5	25.0	0.049
cellcharter	scanpy_seurat_batch	7	15.714285714285714	17.0	16.5	12.0	21.0	5.0	27.0	0.0314
cellcharter	scanpy_seurat_v3	7	6.857142857142857	2.0	2.5	2.0	3.5	1.0	8.0	0.9066
cellcharter	scanpy_seurat_v3_batch	7	7.142857142857143	3.0	3.0	2.0	4.0	1.0	8.0	0.8968
cellcharter	scry	7	19.285714285714285	23.5	23.5	19.0	25.0	9.0	28.0	0.0022
cellcharter	seurat_disp	7	19.285714285714285	23.5	23.0	20.0	26.0	13.0	29.0	0.0
cellcharter	seurat_mvp	7	12.857142857142858	9.0	10.0	8.0	13.5	4.5	20.0	0.0528
cellcharter	seurat_sct	7	19.714285714285715	25.0	24.0	20.0	26.0	11.5	28.0	0.0
cellcharter	seurat_vst	7	6.714285714285714	1.0	2.0	1.0	4.0	1.0	8.0	0.91
cellcharter	singleCellHaystack	7	12.142857142857142	7.0	9.0	6.5	12.5	5.0	18.0	0.0568
cellcharter	somde	7	14.571428571428571	12.5	14.0	11.0	17.5	7.0	21.012499999999818	0.0006
cellcharter	sparkx	7	21.714285714285715	27.0	26.0	24.0	28.0	16.0	29.0	0.0
cellcharter	spatialde	7	13.428571428571429	11.0	11.0	8.5	15.0	5.0	21.5	0.0454
cellcharter	statistic_mean	7	23.428571428571427	28.0	28.0	27.0	28.5	24.0	29.0	0.0
