Dataset	Type	SelFeatures	Value	SD	StandardValue
DLPFC	Integration	100	0.7615578486293759	1.0079570751921043	0.40819258587164015
DLPFC	Integration	200	0.7667538652287876	0.4796080947005401	0.5645301069304342
DLPFC	Integration	500	0.7614508606222934	0.4903656558487084	0.4169910651510537
DLPFC	Integration	1000	0.755922821334976	0.44392233618078336	0.3574966138227084
DLPFC	Integration	2000	0.7451304501236765	0.5462800744601346	0.15094466993494482
DLPFC	Integration	5000	0.6936703124753618	0.6751399725630564	-0.6061042197608539
DLPFC	Integration	10000	0.6222510111651504	0.8780764493781341	-1.2920508219499258
DLPFC	Clustering	100	0.5144612617019718	0.8856055719814674	-0.82411847204858
DLPFC	Clustering	200	0.5615612182995657	0.8910695485183869	-0.1718755797033511
DLPFC	Clustering	500	0.5997158045921327	0.5780184575299447	0.3652015222859816
DLPFC	Clustering	1000	0.6129275783464682	0.5452546791332913	0.46788193036272474
DLPFC	Clustering	2000	0.6252851726984454	0.4952879195835228	0.5820626782674613
DLPFC	Clustering	5000	0.6051955637433737	0.9594074967979876	0.14373459475710634
DLPFC	Clustering	10000	0.5612871529854013	0.9808185928875904	-0.5628866739213433
DLPFC	Alignment	100	0.7923406985242941	0.8910623101102603	-0.7580587190132023
DLPFC	Alignment	200	0.8156609703776245	0.6094506314405932	-0.06666474862773585
DLPFC	Alignment	500	0.8324197059726235	0.4665853756511687	0.4144053754796353
DLPFC	Alignment	1000	0.8426627206059472	0.36799678707924016	0.6338758307383353
DLPFC	Alignment	2000	0.8418637004465361	0.37021981541119187	0.6447903137785792
DLPFC	Alignment	5000	0.8213785583349377	0.783206819175289	0.18420360730846794
DLPFC	Alignment	10000	0.7640154131655578	1.0385166206320255	-1.0525516596640776
DLPFC	Overall	100	0.6380095551656738	0.9481308189342494	-0.37922355609706365
DLPFC	Overall	200	0.6641575417641767	0.8086977915885096	0.12915917424992684
DLPFC	Overall	500	0.680583332607213	0.5422610720284817	0.46800629947191924
DLPFC	Overall	1000	0.684425199840722	0.4889118652354842	0.45192545353828356
DLPFC	Overall	2000	0.6852078114110609	0.4964721726492318	0.48640008535527657
DLPFC	Overall	5000	0.6494329381093678	0.8794368575419412	-0.1094932263548667
DLPFC	Overall	10000	0.5917690820752758	1.0185520699873245	-1.0467742301634755
