effective_n_features	feature_hash	method	n_genes	n_spots	requested_n_features	selector_implementation_version	selector_params	wall_seconds_internal	wall_seconds_process	peak_rss_mib
2000	810f7f4055ceafeb47e6711cd9a63390	statistic_mean	5000	2000	2000		{}	0.09417249727994204	6.69	2216.125
172	07b229b16320bc44fec9a47e92767ef8	TFs	5000	2000	2000		{}	0.007817842066287994	7.71	2213.10546875
5000	a22b9081f51dc693355df7b6f0f2bed0	all_features	5000	2000	5000		{}	0.0006867339834570885	7.89	2215.05859375
2000	d42092c1a8e058f10eefe2ed62b34729	scanpy_seurat_v3	5000	2000	2000	v3_robust_batch_loess	{}	0.7551028290763497	8.1	2215.5390625
500	6dcb3305cc74030e6b675aaa5bcfb2e5	random	5000	2000	500		{}	0.000574067234992981	8.48	2213.49609375
2000	51168695fd64b50615fb22dd2d2baa41	statistic_variance	5000	2000	2000		{}	0.187303370796144	8.6	2213.26171875
2000	a72c366935947237dec2d19fb885b1b3	morans_i	5000	2000	2000	v2_slice_wise_rank_aggregation	{'n_neighbors': 8}	0.42727753333747387	8.61	2213.94140625
2000	637ecf267095698c564536ec6423168d	scanpy_cell_ranger	5000	2000	2000	v3_robust_batch_loess	{}	0.9447843199595809	9.2	2215.59765625
2000	1c79daf060fd08778f7e8a0f0bdb2091	scanpy_seurat_batch	5000	2000	2000	v3_robust_batch_loess	{}	0.8601397396996617	9.33	2215.76171875
2000	f41865bb33ccba9a3cbd4115d594a779	scanpy_seurat_v3_batch	5000	2000	2000	v3_robust_batch_loess	{}	0.8267056299373507	9.42	2216.3984375
2000	ba0029bcf350cdee20855adb93c6362f	scanpy_cell_ranger_batch	5000	2000	2000	v3_robust_batch_loess	{}	1.3590539572760463	10.01	2209.59765625
2000	ad28fb47d2a0d88baca6bd4c90471eb0	scanpy_pearson	5000	2000	2000	v3_robust_batch_loess	{}	2.31855087634176	10.06	2215.5625
2000	f51f2ec6f87912292911a1f6f9f15e65	scanpy_pearson_batch	5000	2000	2000	v3_robust_batch_loess	{}	2.329908061772585	10.39	2213.67578125
2000	9346cf8be795002124a0f62178477e2d	scanpy_seurat	5000	2000	2000	v3_robust_batch_loess	{}	0.923580109141767	10.75	2213.1953125
2000	3ae7737d34751748a1180ba78d17bb75	wilcoxon	5000	2000	2000		{}	7.794519134797156	16.82	2215.19140625
2000	48e805b5f0d4dc96b71d16e0d52f787f	anticor	5000	2000	2000	v2_seeded_subsampling	{'max_cells': 3000}	13.641968064941466	21.44	3727.28125
2000	9b8837fa5241c754b7a460fb974f9a49	Brennecke	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	13.217279396019876	21.93	2213.3359375
1596	e10ca73818b77d1ef2b936816f7386c7	osca	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	16.855944586917758	24.98	2215.08203125
2000	ca70b458c54e2ef2bbe3db949af7e883	nbumi	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{'max_cells': 5000}	18.270530791953206	26.98	2212.125
2000	936b1ccd68d79381a2fe20cc3eb459eb	seurat_disp	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	19.021849448792636	27.02	2216.66796875
2000	dcbf7461781d8ee6e880759fb2b80b74	seurat_vst	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	19.5989763494581	27.91	2213.25390625
569	e23239bcab34e011326339c149838970	seurat_mvp	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	18.993745747953653	28.37	2215.26171875
2000	0cf1dc93a973b431b5e258b9dc005ea1	triku	5000	2000	2000	v2_seeded_subsampling	{'max_cells': 5000}	23.117403170093894	31.19	2212.76953125
2000	672242d2df5e7513eed489d4ac48f2fb	scry	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{}	22.92126968409866	32.36	2214.0
2000	597386e2dee323cfc1475b7937bf914a	hotspot	5000	2000	2000	v2_seeded_subsampling	{'max_cells': 3000}	32.39604398794472	40.83	2212.7109375
2000	cd7aeac130035ae03a9e567b26d7a694	sparkx	5000	2000	2000	v2_official_preprocessing_slice_wise	{'n_threads': 4}	37.425462286919355	46.46	2211.91796875
2000	90ba39ff0d823bbf072ed86548120333	singleCellHaystack	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{'max_cells': 5000}	53.17695912811905	61.86	2213.53125
1358	94bd1c2ac5e29cb6ea5c479d3cc74ceb	dubstepr	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{'max_cells': 5000}	140.81158071383834	149.74	2985.30859375
2000	00abc4d3319ca2076fc7bb786e5edc0d	somde	5000	2000	2000	v4_somde_0.1.8_finite_pvalues_slice_wise	{'spots_per_node': 20}	173.93236351199448	182.09	2213.44921875
2000	6769eef34a86ba2301475796bf017e07	seurat_sct	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{'max_cells': 3000}	178.951706757769	187.62	2211.73828125
2000	cf1570524c3d62e149d4f2c79cc8f247	scPNMF	5000	2000	2000	v3_count_matrix_io_seeded_subsampling	{'max_cells': 3000}	216.5569488601759	225.76	2213.48046875
2000	432f0a11145f89fa4b1293b06599b9bf	spatialde	5000	2000	2000	v2_spatialde_1.1.3_official_naivede_slice_wise	{'max_cells_per_slice': 800}	282.79310089722276	291.76	2212.63671875
500	63ff51d550871855dcde5b9c23f0b740	scsegindex	5000	2000	500	v3_count_matrix_io_seeded_subsampling	{}	293.75486292503774	302.8	2213.984375
2000	7560c7546725c768713dd5c587174ac0	nnsvg	5000	2000	2000	v2_official_preprocessing_slice_wise	{'n_threads': 4}	3911.5847794665024	3920.0	2214.74609375
