Method	Type	Value
Brennecke (N=2,000)	Alignment	0.8028980916079245
Brennecke (N=2,000)	Clustering	0.4669953111576015
Brennecke (N=2,000)	Integration	0.703228560505123
Brennecke (N=2,000)	Overall	0.5851119358313622
Transcription factors (N=2,000)	Alignment	0.7238962086868936
Transcription factors (N=2,000)	Clustering	0.32528231999900814
Transcription factors (N=2,000)	Integration	0.6882587073285465
Transcription factors (N=2,000)	Overall	0.5067705136637773
All features	Alignment	0.5192820883993344
All features	Clustering	0.5019182637334131
All features	Integration	0.447252551534514
All features	Overall	0.47458540763396356
Anticor (N=2,000)	Alignment	0.7022408151471518
Anticor (N=2,000)	Clustering	0.5560951969617465
Anticor (N=2,000)	Integration	0.6459936608327873
Anticor (N=2,000)	Overall	0.601044428897267
DUBStepR (N=2,000)	Alignment	0.7705986447021913
DUBStepR (N=2,000)	Clustering	0.5506052822740365
DUBStepR (N=2,000)	Integration	0.6590228523308104
DUBStepR (N=2,000)	Overall	0.6048140673024234
Hotspot (N=2,000)	Alignment	0.7468988685422481
Hotspot (N=2,000)	Clustering	0.5555815744800099
Hotspot (N=2,000)	Integration	0.6431911556393624
Hotspot (N=2,000)	Overall	0.5993863650596861
Moran's I (N=2,000)	Alignment	0.6460457401332611
Moran's I (N=2,000)	Clustering	0.5522948641252857
Moran's I (N=2,000)	Integration	0.6386380662604173
Moran's I (N=2,000)	Overall	0.5954664651928515
NBumi (N=2,000)	Alignment	0.8584821002226882
NBumi (N=2,000)	Clustering	0.581101383749771
NBumi (N=2,000)	Integration	0.6633653056282698
NBumi (N=2,000)	Overall	0.6222333446890204
nnSVG (N=2,000)	Alignment	0.7784453798803472
nnSVG (N=2,000)	Clustering	0.556188410115257
nnSVG (N=2,000)	Integration	0.6561559114156514
nnSVG (N=2,000)	Overall	0.6061721607654542
OSCA (N=2,000)	Alignment	0.7237543528408267
OSCA (N=2,000)	Clustering	0.5612310913986921
OSCA (N=2,000)	Integration	0.666916863540015
OSCA (N=2,000)	Overall	0.6140739774693535
Random (N=500)	Alignment	0.7123670711044277
Random (N=500)	Clustering	0.22428411213406782
Random (N=500)	Integration	0.6728937797041556
Random (N=500)	Overall	0.4485889459191117
scPNMF (N=2,000)	Alignment	0.6455586889625424
scPNMF (N=2,000)	Clustering	0.5388506058331675
scPNMF (N=2,000)	Integration	0.6501752730874751
scPNMF (N=2,000)	Overall	0.5945129394603214
scanpy-CellRanger (N=2,000)	Alignment	0.8495027650188252
scanpy-CellRanger (N=2,000)	Clustering	0.5042459774079535
scanpy-CellRanger (N=2,000)	Integration	0.7263874784644514
scanpy-CellRanger (N=2,000)	Overall	0.6153167279362024
scanpy-CellRanger (batch) (N=2,000)	Alignment	0.8450980156153609
scanpy-CellRanger (batch) (N=2,000)	Clustering	0.5071379752030257
scanpy-CellRanger (batch) (N=2,000)	Integration	0.7298788726730052
scanpy-CellRanger (batch) (N=2,000)	Overall	0.6185084239380155
scanpy-Pearson (N=2,000)	Alignment	0.6743833534255972
scanpy-Pearson (N=2,000)	Clustering	0.5567790031310176
scanpy-Pearson (N=2,000)	Integration	0.6473407118834941
scanpy-Pearson (N=2,000)	Overall	0.6020598575072558
scanpy-Pearson (batch) (N=2,000)	Alignment	0.7317981086997043
scanpy-Pearson (batch) (N=2,000)	Clustering	0.5154818116821336
scanpy-Pearson (batch) (N=2,000)	Integration	0.6559474376210348
scanpy-Pearson (batch) (N=2,000)	Overall	0.5857146246515842
scanpy-Seurat (N=2,000)	Alignment	0.8374005769994416
scanpy-Seurat (N=2,000)	Clustering	0.5030548991219328
scanpy-Seurat (N=2,000)	Integration	0.7303251609951863
scanpy-Seurat (N=2,000)	Overall	0.6166900300585596
scanpy-Seurat (batch) (N=2,000)	Alignment	0.8164138327721424
scanpy-Seurat (batch) (N=2,000)	Clustering	0.5111077872095892
scanpy-Seurat (batch) (N=2,000)	Integration	0.7100665740693112
scanpy-Seurat (batch) (N=2,000)	Overall	0.6105871806394502
scanpy-SeuratV3 (N=2,000)	Alignment	0.874023205694002
scanpy-SeuratV3 (N=2,000)	Clustering	0.5882894306376367
scanpy-SeuratV3 (N=2,000)	Integration	0.6666425962989888
scanpy-SeuratV3 (N=2,000)	Overall	0.6274660134683128
scanpy-SeuratV3 (batch) (N=2,000)	Alignment	0.7971979811495753
scanpy-SeuratV3 (batch) (N=2,000)	Clustering	0.5532328711202766
scanpy-SeuratV3 (batch) (N=2,000)	Integration	0.6736672033307209
scanpy-SeuratV3 (batch) (N=2,000)	Overall	0.6134500372254988
scry (N=2,000)	Alignment	0.6517733510319277
scry (N=2,000)	Clustering	0.5182663558042732
scry (N=2,000)	Integration	0.628785228940134
scry (N=2,000)	Overall	0.5735257923722036
scSEGIndex (N=500)	Alignment	0.7674689105208146
scSEGIndex (N=500)	Clustering	0.20140986819257212
scSEGIndex (N=500)	Integration	0.676742802831884
scSEGIndex (N=500)	Overall	0.43907633551222813
Seurat-Dispersion (N=2,000)	Alignment	0.7586253357653971
Seurat-Dispersion (N=2,000)	Clustering	0.5175458241436289
Seurat-Dispersion (N=2,000)	Integration	0.6740283683298808
Seurat-Dispersion (N=2,000)	Overall	0.5957870962367549
Seurat-MVP (N=2,000)	Alignment	0.8434943045346959
Seurat-MVP (N=2,000)	Clustering	0.5064910745493995
Seurat-MVP (N=2,000)	Integration	0.7272029889395647
Seurat-MVP (N=2,000)	Overall	0.6168470317444821
Seurat-scTransform (N=2,000)	Alignment	0.8003396468637785
Seurat-scTransform (N=2,000)	Clustering	0.5021978940324214
Seurat-scTransform (N=2,000)	Integration	0.6872474701861371
Seurat-scTransform (N=2,000)	Overall	0.5947226821092793
Seurat-VST (N=2,000)	Alignment	0.8730405603443283
Seurat-VST (N=2,000)	Clustering	0.5878773329127313
Seurat-VST (N=2,000)	Integration	0.6690679282077007
Seurat-VST (N=2,000)	Overall	0.628472630560216
singleCellHaystack (N=2,000)	Alignment	0.8275768521832136
singleCellHaystack (N=2,000)	Clustering	0.5730790293929845
singleCellHaystack (N=2,000)	Integration	0.6249301059793012
singleCellHaystack (N=2,000)	Overall	0.5990045676861429
SOMDE (N=2,000)	Alignment	0.8087614224655403
SOMDE (N=2,000)	Clustering	0.5741796536229914
SOMDE (N=2,000)	Integration	0.6482537177890771
SOMDE (N=2,000)	Overall	0.6112166857060343
SPARK-X (N=2,000)	Alignment	0.7207131086017353
SPARK-X (N=2,000)	Clustering	0.5525046392871884
SPARK-X (N=2,000)	Integration	0.60604609832521
SPARK-X (N=2,000)	Overall	0.5792753688061992
SpatialDE (N=2,000)	Alignment	0.7932738157956878
SpatialDE (N=2,000)	Clustering	0.5639138507384067
SpatialDE (N=2,000)	Integration	0.6476291905099338
SpatialDE (N=2,000)	Overall	0.6057715206241703
Statistic mean (N=2,000)	Alignment	0.6671170976574092
Statistic mean (N=2,000)	Clustering	0.49588228658713407
Statistic mean (N=2,000)	Integration	0.6294648501312105
Statistic mean (N=2,000)	Overall	0.5626735683591723
Statistic variance (N=2,000)	Alignment	0.5874379358023119
Statistic variance (N=2,000)	Clustering	0.5343701832494256
Statistic variance (N=2,000)	Integration	0.6320229291222974
Statistic variance (N=2,000)	Overall	0.5831965561858615
triku (N=2,000)	Alignment	0.8908714859158289
triku (N=2,000)	Clustering	0.6010139287017969
triku (N=2,000)	Integration	0.6944513394581883
