MethodRaw	Type	MeanRank	SDRank	Method
All features	Overall	31	1.1547005383792515	All features
All features	Integration	33.57142857142857	0.5345224838248488	All features
All features	Clustering	20.428571428571427	8.753230696094306	All features
All features	Alignment	33	0	All features
Anticor (N=2,000)	Overall	14.428571428571429	8.978811035936085	Anticor (N=2,000)
Anticor (N=2,000)	Integration	22.285714285714285	2.3603873774083293	Anticor (N=2,000)
Anticor (N=2,000)	Clustering	11.142857142857142	8.39500985563391	Anticor (N=2,000)
Anticor (N=2,000)	Alignment	19	11.313708498984761	Anticor (N=2,000)
Brennecke (N=2,000)	Overall	22.714285714285715	6.626066850308854	Brennecke (N=2,000)
Brennecke (N=2,000)	Integration	12.285714285714286	7.782764841072135	Brennecke (N=2,000)
Brennecke (N=2,000)	Clustering	26	3.605551275463989	Brennecke (N=2,000)
Brennecke (N=2,000)	Alignment	20.5	13.435028842544403	Brennecke (N=2,000)
DUBStepR (N=2,000)	Overall	12.142857142857142	8.254868693253524	DUBStepR (N=2,000)
DUBStepR (N=2,000)	Integration	16.571428571428573	8.541216596737314	DUBStepR (N=2,000)
DUBStepR (N=2,000)	Clustering	12.714285714285714	8.36090676330994	DUBStepR (N=2,000)
DUBStepR (N=2,000)	Alignment	16	8.48528137423857	DUBStepR (N=2,000)
Hotspot (N=2,000)	Overall	15	11.180339887498949	Hotspot (N=2,000)
Hotspot (N=2,000)	Integration	21.571428571428573	8.038597366397177	Hotspot (N=2,000)
Hotspot (N=2,000)	Clustering	10.857142857142858	10.007140307942981	Hotspot (N=2,000)
Hotspot (N=2,000)	Alignment	16.5	10.606601717798213	Hotspot (N=2,000)
Moran's I (N=2,000)	Overall	15	9.201449161228174	Moran's I (N=2,000)
Moran's I (N=2,000)	Integration	21.142857142857142	8.687703406320365	Moran's I (N=2,000)
Moran's I (N=2,000)	Clustering	13.571428571428571	9.880235200593537	Moran's I (N=2,000)
Moran's I (N=2,000)	Alignment	26	8.48528137423857	Moran's I (N=2,000)
NBumi (N=2,000)	Overall	12	7.416198487095663	NBumi (N=2,000)
NBumi (N=2,000)	Integration	20	11.604596790352806	NBumi (N=2,000)
