Dataset	NumMethods	NumFeatures	CumFeatures
DLPFC	32	1	1
DLPFC	31	1	2
DLPFC	30	30	32
DLPFC	29	15	47
DLPFC	28	23	70
DLPFC	27	18	88
DLPFC	26	19	107
DLPFC	25	30	137
DLPFC	24	28	165
DLPFC	23	35	200
DLPFC	22	36	236
DLPFC	21	44	280
DLPFC	20	76	356
DLPFC	19	55	411
DLPFC	18	102	513
DLPFC	17	134	647
DLPFC	16	154	801
DLPFC	15	151	952
DLPFC	14	195	1147
DLPFC	13	220	1367
DLPFC	12	250	1617
DLPFC	11	266	1883
DLPFC	10	326	2209
DLPFC	9	395	2604
DLPFC	8	512	3116
DLPFC	7	628	3744
DLPFC	6	744	4488
DLPFC	5	934	5422
DLPFC	4	1029	6451
DLPFC	3	1332	7783
DLPFC	2	3869	11652
DLPFC	1	10034	21686
E8p5Embryo	29	2	2
E8p5Embryo	28	2	4
E8p5Embryo	27	1	5
E8p5Embryo	26	4	9
E8p5Embryo	25	1	10
E8p5Embryo	24	18	28
E8p5Embryo	23	19	47
E8p5Embryo	22	23	70
E8p5Embryo	21	25	95
E8p5Embryo	20	24	119
E8p5Embryo	19	29	148
E8p5Embryo	18	47	195
E8p5Embryo	17	67	262
E8p5Embryo	16	99	361
E8p5Embryo	15	125	486
E8p5Embryo	14	178	664
E8p5Embryo	13	272	936
E8p5Embryo	12	428	1364
E8p5Embryo	11	445	1809
E8p5Embryo	10	443	2252
E8p5Embryo	9	450	2702
E8p5Embryo	8	541	3243
E8p5Embryo	7	673	3916
E8p5Embryo	6	862	4778
E8p5Embryo	5	1073	5851
E8p5Embryo	4	1472	7323
E8p5Embryo	3	2045	9368
E8p5Embryo	2	4053	13421
E8p5Embryo	1	5282	18703
E9p5Embryo	29	3	3
E9p5Embryo	28	7	10
E9p5Embryo	27	3	13
E9p5Embryo	26	4	17
E9p5Embryo	25	5	22
E9p5Embryo	24	20	42
E9p5Embryo	23	30	72
E9p5Embryo	22	21	93
E9p5Embryo	21	26	119
E9p5Embryo	20	37	156
E9p5Embryo	19	37	193
E9p5Embryo	18	39	232
E9p5Embryo	17	66	298
E9p5Embryo	16	85	383
E9p5Embryo	15	134	517
E9p5Embryo	14	186	703
E9p5Embryo	13	236	939
E9p5Embryo	12	306	1245
E9p5Embryo	11	397	1642
E9p5Embryo	10	431	2073
E9p5Embryo	9	500	2573
E9p5Embryo	8	619	3192
E9p5Embryo	7	769	3961
E9p5Embryo	6	856	4817
E9p5Embryo	5	1035	5852
E9p5Embryo	4	1446	7298
E9p5Embryo	3	1972	9270
E9p5Embryo	2	4186	13456
E9p5Embryo	1	6204	19660
MouseBrainSerialSections	31	5	5
MouseBrainSerialSections	30	57	62
MouseBrainSerialSections	29	65	127
MouseBrainSerialSections	28	65	192
MouseBrainSerialSections	27	56	248
MouseBrainSerialSections	26	60	308
MouseBrainSerialSections	25	83	391
MouseBrainSerialSections	24	84	475
MouseBrainSerialSections	23	108	583
MouseBrainSerialSections	22	106	689
MouseBrainSerialSections	21	124	813
MouseBrainSerialSections	20	97	910
MouseBrainSerialSections	19	118	1028
MouseBrainSerialSections	18	114	1142
MouseBrainSerialSections	17	113	1255
MouseBrainSerialSections	16	141	1396
MouseBrainSerialSections	15	181	1577
MouseBrainSerialSections	14	165	1742
MouseBrainSerialSections	13	174	1916
MouseBrainSerialSections	12	192	2108
MouseBrainSerialSections	11	180	2288
MouseBrainSerialSections	10	212	2500
MouseBrainSerialSections	9	278	2778
MouseBrainSerialSections	8	262	3040
MouseBrainSerialSections	7	342	3382
MouseBrainSerialSections	6	527	3909
MouseBrainSerialSections	5	547	4456
MouseBrainSerialSections	4	699	5155
MouseBrainSerialSections	3	846	6001
MouseBrainSerialSections	2	2747	8748
MouseBrainSerialSections	1	11308	20056
STOmics0212	30	1	1
STOmics0212	29	5	6
STOmics0212	28	13	19
STOmics0212	27	29	48
STOmics0212	26	20	68
STOmics0212	25	27	95
STOmics0212	24	41	136
STOmics0212	23	42	178
STOmics0212	22	52	230
STOmics0212	21	62	292
STOmics0212	20	55	347
STOmics0212	19	69	416
STOmics0212	18	81	497
STOmics0212	17	93	590
STOmics0212	16	94	684
STOmics0212	15	146	830
STOmics0212	14	203	1033
STOmics0212	13	282	1315
STOmics0212	12	313	1628
STOmics0212	11	363	1991
STOmics0212	10	432	2423
STOmics0212	9	437	2860
STOmics0212	8	517	3377
STOmics0212	7	613	3990
STOmics0212	6	713	4703
STOmics0212	5	864	5567
STOmics0212	4	1053	6620
STOmics0212	3	1500	8120
STOmics0212	2	3450	11570
STOmics0212	1	10017	21587
STOmics0218	31	1	1
STOmics0218	30	27	28
STOmics0218	29	40	68
STOmics0218	28	54	122
STOmics0218	27	37	159
STOmics0218	26	61	220
STOmics0218	25	58	278
STOmics0218	24	75	353
STOmics0218	23	85	438
STOmics0218	22	95	533
STOmics0218	21	90	623
STOmics0218	20	101	724
STOmics0218	19	128	852
STOmics0218	18	113	965
STOmics0218	17	126	1091
STOmics0218	16	160	1251
STOmics0218	15	182	1433
STOmics0218	14	218	1651
STOmics0218	13	172	1823
STOmics0218	12	181	2004
STOmics0218	11	187	2191
STOmics0218	10	189	2380
STOmics0218	9	260	2640
STOmics0218	8	286	2926
STOmics0218	7	399	3325
STOmics0218	6	624	3949
STOmics0218	5	907	4856
STOmics0218	4	867	5723
STOmics0218	3	1102	6825
STOmics0218	2	3518	10343
STOmics0218	1	21942	32285
STOmics0224	30	1	1
STOmics0224	29	4	5
STOmics0224	28	3	8
STOmics0224	27	6	14
STOmics0224	26	10	24
STOmics0224	25	18	42
STOmics0224	24	21	63
STOmics0224	23	21	84
STOmics0224	22	29	113
STOmics0224	21	36	149
STOmics0224	20	43	192
STOmics0224	19	64	256
STOmics0224	18	65	321
STOmics0224	17	128	449
STOmics0224	16	154	603
STOmics0224	15	137	740
STOmics0224	14	183	923
STOmics0224	13	215	1138
STOmics0224	12	272	1410
STOmics0224	11	328	1738
STOmics0224	10	380	2118
STOmics0224	9	438	2556
STOmics0224	8	518	3074
STOmics0224	7	607	3681
STOmics0224	6	898	4579
STOmics0224	5	976	5555
STOmics0224	4	1293	6848
STOmics0224	3	2072	8920
STOmics0224	2	5038	13958
STOmics0224	1	22643	36601
