Method1	Method2	JaccardSD	Jaccard	PropSD	Prop
Brennecke-N2000	Brennecke-N2000	0	1	0	1
Brennecke-N2000	TFs-N2000	0.010522002202837177	0.04376353859287585	0.016293440105643448	0.07064285714285715
Brennecke-N2000	anticor-N2000	0.06338862841944844	0.08914528957201671	0.10138405293968175	0.15864285714285714
Brennecke-N2000	dubstepr-N2000	0.06420527785229656	0.07494214406206694	0.11089248332120107	0.12864285714285714
Brennecke-N2000	hotspot-N2000	0.060768294884630515	0.16902718177357978	0.08737365027229183	0.2852857142857143
Brennecke-N2000	morans_i-N2000	0.057715781414573473	0.0931405681465981	0.09274106297592649	0.16621428571428573
Brennecke-N2000	nbumi-N2000	0.04180637986190521	0.08782436039366655	0.06842566352306295	0.15921428571428572
Brennecke-N2000	nnsvg-N2000	0.05748364880133134	0.076768849347763	0.09567996008519632	0.1382142857142857
Brennecke-N2000	osca-N2000	0.0643873207633977	0.18388814150181806	0.09070117078049424	0.30642857142857144
Brennecke-N2000	scPNMF-N2000	0.05021424058265732	0.09886019540106433	0.0840206890621363	0.17664285714285716
Brennecke-N2000	scanpy_cell_ranger-N2000	0.10848683803042077	0.2452139035024766	0.13027173979983606	0.3841428571428571
Brennecke-N2000	scanpy_cell_ranger_batch-N2000	0.11108047191924471	0.2199398227361364	0.13485622855824042	0.3500714285714286
Brennecke-N2000	scanpy_pearson-N2000	0.11540647136701217	0.3361532478394405	0.13067580750340388	0.4935
Brennecke-N2000	scanpy_pearson_batch-N2000	0.0934947074013592	0.260653828344646	0.10725120711941395	0.4067142857142857
Brennecke-N2000	scanpy_seurat-N2000	0.08431180116318909	0.7501754731567579	0.052988543236115807	0.8550714285714286
Brennecke-N2000	scanpy_seurat_batch-N2000	0.1852017000317228	0.37012667948830663	0.16379527727362245	0.5213571428571429
Brennecke-N2000	scanpy_seurat_v3-N2000	0.057578691901848764	0.11486599981093588	0.09027754822925639	0.20207142857142857
Brennecke-N2000	scanpy_seurat_v3_batch-N2000	0.06321220806574615	0.10673032068766777	0.09976597616422143	0.188
Brennecke-N2000	scry-N2000	0.05687032648481954	0.08093624413437919	0.09591464459413405	0.14542857142857143
Brennecke-N2000	scsegindex-N500	0.0073605091911705	0.009563884842035561	0.00894360638881739	0.011785714285714285
Brennecke-N2000	seurat_disp-N2000	0.08311097897492786	0.8873172172528307	0.04757275130436188	0.9385
Brennecke-N2000	seurat_mvp-N2000	0.14140961366698232	0.4063058615421513	0.19169308306571234	0.48728571428571427
Brennecke-N2000	seurat_sct-N2000	0.0810718637891773	0.12043794806072429	0.1265967068705825	0.20714285714285716
Brennecke-N2000	seurat_vst-N2000	0.05769234747090932	0.1149191955149253	0.09042433037523431	0.20214285714285712
Brennecke-N2000	singleCellHaystack-N2000	0.033192722700849484	0.052122421588044664	0.05845368536998616	0.0975
Brennecke-N2000	somde-N2000	0.03992174804106692	0.10296857310850424	0.06440228848344413	0.18471428571428572
Brennecke-N2000	sparkx-N2000	0.038774604000277324	0.05790872607924787	0.0675078478682999	0.10735714285714286
Brennecke-N2000	spatialde-N2000	0.04914978477634951	0.09301728888712316	0.07940860274854476	0.16714285714285715
Brennecke-N2000	statistic_mean-N2000	0.03289714438282036	0.05702554979156134	0.057791806141899195	0.10635714285714286
Brennecke-N2000	statistic_variance-N2000	0.04520442832723358	0.06990549536143098	0.07786672068654356	0.12785714285714286
Brennecke-N2000	triku-N2000	0.04862790301044223	0.09345304642703237	0.07696644290425103	0.168
TFs-N2000	Brennecke-N2000	0.010522002202837177	0.04376353859287585	0.02653116952756405	0.1036027845216179
TFs-N2000	TFs-N2000	0	1	0	1
TFs-N2000	anticor-N2000	0.011182504643052074	0.029656432327214936	0.03057461225146849	0.07190986691468468
TFs-N2000	dubstepr-N2000	0.007688810100024334	0.023016971473696225	0.01876026173068849	0.04908223992693472
TFs-N2000	hotspot-N2000	0.01895511047976564	0.038114488142603965	0.04886905495312402	0.09164434033558824
TFs-N2000	morans_i-N2000	0.021364798740510824	0.03856613793140963	0.05432065118527685	0.0928111322590371
TFs-N2000	nbumi-N2000	0.027072347608690404	0.04358607032276225	0.06703049342624075	0.10389971019630044
TFs-N2000	nnsvg-N2000	0.008882070997880201	0.027200811995007044	0.02478258797355681	0.06609712834370043
TFs-N2000	osca-N2000	0.004508097681238507	0.03585297339608648	0.014412727069007448	0.08549636718569717
TFs-N2000	scPNMF-N2000	0.0045092328355804895	0.02962430301373532	0.0076707359451443574	0.07043559405347037
TFs-N2000	scanpy_cell_ranger-N2000	0.010080269355940528	0.04670990648564882	0.029388608599759482	0.11074795231722877
TFs-N2000	scanpy_cell_ranger_batch-N2000	0.008998214876307798	0.04667209014700345	0.02581736324711745	0.11034238026431338
TFs-N2000	scanpy_pearson-N2000	0.011229641808107942	0.03570473433523446	0.030545100516499966	0.08581576714058194
TFs-N2000	scanpy_pearson_batch-N2000	0.01102834629310082	0.03820403547905529	0.0299790337138093	0.09142704067761576
TFs-N2000	scanpy_seurat-N2000	0.009855296683023866	0.04428076267334531	0.025475026854536006	0.10485165240219789
TFs-N2000	scanpy_seurat_batch-N2000	0.008534604231985784	0.04730777886911508	0.024553906303051248	0.1117334335145724
TFs-N2000	scanpy_seurat_v3-N2000	0.022031190962940157	0.04619335838709567	0.05610068427797629	0.11021441534537124
TFs-N2000	scanpy_seurat_v3_batch-N2000	0.011209366325317474	0.04265786428764434	0.03010366964162733	0.10146926566833875
TFs-N2000	scry-N2000	0.005569029767418122	0.02212573745233554	0.015879070546405454	0.053734756031928455
TFs-N2000	scsegindex-N500	0.00937096800132271	0.013578673592167584	0.0130159098574779	0.01839946431412408
TFs-N2000	seurat_disp-N2000	0.011398998129093915	0.0418529826008672	0.027835206452447525	0.09908504785220384
TFs-N2000	seurat_mvp-N2000	0.014054499784661832	0.03647298723158569	0.044419932243017435	0.07518829657120896
TFs-N2000	seurat_sct-N2000	0.0038800931308125937	0.034847937466494845	0.011537076105012652	0.083021825748813
TFs-N2000	seurat_vst-N2000	0.02194603805117924	0.046278497558911405	0.055912685875486486	0.11039998687081486
TFs-N2000	singleCellHaystack-N2000	0.01750695301443156	0.033846473904516006	0.04547126006715689	0.08200673122941345
TFs-N2000	somde-N2000	0.028698829298027407	0.049881992981991016	0.07093849337735957	0.11836677030997768
TFs-N2000	sparkx-N2000	0.016702074419732708	0.031615728183429836	0.04345014191746554	0.07674981902699893
TFs-N2000	spatialde-N2000	0.026072244882770275	0.04465366535304902	0.06523022014789087	0.10673995478925088
TFs-N2000	statistic_mean-N2000	0.005552590517835856	0.01797780273031501	0.01406579297683186	0.04352442225843629
TFs-N2000	statistic_variance-N2000	0.005058094360346161	0.019101901645634956	0.013542785009359466	0.046326819596448285
TFs-N2000	triku-N2000	0.03001119029341787	0.051823931714650266	0.07385466540172232	0.12291117329196612
anticor-N2000	Brennecke-N2000	0.06338862841944844	0.08914528957201671	0.10138405293968175	0.15864285714285714
anticor-N2000	TFs-N2000	0.011182504643052074	0.029656432327214936	0.01565893933037551	0.04807142857142857
anticor-N2000	anticor-N2000	0	1	0	1
anticor-N2000	dubstepr-N2000	0.2703512148092482	0.4689446659678578	0.30121130456873624	0.557
anticor-N2000	hotspot-N2000	0.2445377775165599	0.34370528142921086	0.27056921920453625	0.4695714285714286
anticor-N2000	morans_i-N2000	0.22736068858934258	0.4232154587315489	0.25439945623631616	0.5599999999999999
anticor-N2000	nbumi-N2000	0.17272191934745953	0.32816328366463	0.21296302495973332	0.47050000000000003
anticor-N2000	nnsvg-N2000	0.23790228497685473	0.43521866183796415	0.26627067324166853	0.5687857142857143
anticor-N2000	osca-N2000	0.21298340599719745	0.2544926662192986	0.25449962578324065	0.3688571428571429
anticor-N2000	scPNMF-N2000	0.14920806616163254	0.25055896052772975	0.18910037646962097	0.38142857142857145
anticor-N2000	scanpy_cell_ranger-N2000	0.09775469360307255	0.13494577018162685	0.14456939345452594	0.22714285714285715
anticor-N2000	scanpy_cell_ranger_batch-N2000	0.10411170628091512	0.14725583358601235	0.15354392887782342	0.24478571428571427
anticor-N2000	scanpy_pearson-N2000	0.14150864305588212	0.16730274297804795	0.190529244099542	0.26685714285714285
anticor-N2000	scanpy_pearson_batch-N2000	0.11022133642106324	0.12347857633737205	0.1610698236642671	0.2062857142857143
anticor-N2000	scanpy_seurat-N2000	0.052503280585675716	0.08061196224693863	0.08542331565294604	0.14564285714285713
anticor-N2000	scanpy_seurat_batch-N2000	0.07512118142092969	0.11539869262918094	0.11994582110269619	0.2
anticor-N2000	scanpy_seurat_v3-N2000	0.08109452629377967	0.1736909802095087	0.11428285710714195	0.2892142857142857
anticor-N2000	scanpy_seurat_v3_batch-N2000	0.08515423011421273	0.11936906315273217	0.1272621965340323	0.205
anticor-N2000	scry-N2000	0.20809309483959887	0.35876577027943896	0.24657296321875233	0.4958571428571429
anticor-N2000	scsegindex-N500	0.03207734004687689	0.03609894354408496	0.03694300629734557	0.04257142857142857
anticor-N2000	seurat_disp-N2000	0.0961241611582891	0.11252522569200554	0.14295799416345384	0.19171428571428573
anticor-N2000	seurat_mvp-N2000	0.0751190512960801	0.10814628276981689	0.08363981735763802	0.14957142857142858
anticor-N2000	seurat_sct-N2000	0.18604445168924755	0.2371751207698591	0.23860285293468605	0.35278571428571426
anticor-N2000	seurat_vst-N2000	0.081295516313858	0.17376238413153047	0.11455197406376182	0.28928571428571426
anticor-N2000	singleCellHaystack-N2000	0.17039680547904903	0.3444352331455903	0.20865339224474183	0.48978571428571427
anticor-N2000	somde-N2000	0.17746820730528104	0.3090879745338611	0.2160171124173797	0.4471428571428572
anticor-N2000	sparkx-N2000	0.17417554259654025	0.3589579183527567	0.2141066434324371	0.5047857142857143
anticor-N2000	spatialde-N2000	0.17255099893660997	0.3540944138586745	0.20843601279186721	0.5002857142857143
anticor-N2000	statistic_mean-N2000	0.15304984333678812	0.2962017832675045	0.20184373375743636	0.43664285714285717
anticor-N2000	statistic_variance-N2000	0.15769909560509524	0.3041393274438821	0.20563999981474793	0.4451428571428572
anticor-N2000	triku-N2000	0.08560963661015847	0.19632194349352827	0.12015223478491578	0.32085714285714284
dubstepr-N2000	Brennecke-N2000	0.06420527785229656	0.07494214406206694	0.10197147137700131	0.14187346276860346
dubstepr-N2000	TFs-N2000	0.007688810100024334	0.023016971473696225	0.01420535497501193	0.04261423933046166
dubstepr-N2000	anticor-N2000	0.2703512148092482	0.4689446659678578	0.27624747445748865	0.6478713189319794
dubstepr-N2000	dubstepr-N2000	0	1	0	1
dubstepr-N2000	hotspot-N2000	0.24384262325940378	0.3307996481775836	0.23523798629457768	0.5065760208540875
dubstepr-N2000	morans_i-N2000	0.13030977685688755	0.5382384314397578	0.0621758142974827	0.7894664471453212
dubstepr-N2000	nbumi-N2000	0.18475522359696195	0.4155356319151286	0.16617901151794223	0.627640774750596
dubstepr-N2000	nnsvg-N2000	0.11027891633752429	0.5963743688116208	0.07155676465347131	0.8520370135822637
dubstepr-N2000	osca-N2000	0.17433438407181084	0.23805498421009996	0.20064588488641952	0.40498907377823884
