Dataset	Type	MethodBase	Label	Standard	BatchAware	Difference	Y	DatasetLabel
DLPFC	Overall	scanpy_cell_ranger	scanpy-Cell Ranger	0.5694472043424219	0.5656317971884484	-0.003815407153973549	2.7	DLPFC
DLPFC	Integration	scanpy_cell_ranger	scanpy-Cell Ranger	0.7882137055790607	0.7718427257348047	-0.01637097984425595	2.7	DLPFC
DLPFC	Clustering	scanpy_cell_ranger	scanpy-Cell Ranger	0.3506807031057832	0.35942086864209183	0.00874016553630863	2.7	DLPFC
DLPFC	Alignment	scanpy_cell_ranger	scanpy-Cell Ranger	0.7353666434207701	0.7253960092487546	-0.009970634172015491	2.7	DLPFC
DLPFC	Overall	scanpy_pearson	scanpy-Pearson	0.6594513538659753	0.6657819047299541	0.006330550863978823	3.35	DLPFC
DLPFC	Integration	scanpy_pearson	scanpy-Pearson	0.7414829790433285	0.7667439833874877	0.025261004344159232	3.35	DLPFC
DLPFC	Clustering	scanpy_pearson	scanpy-Pearson	0.5774197286886222	0.5648198260724205	-0.012599902616201697	3.35	DLPFC
DLPFC	Alignment	scanpy_pearson	scanpy-Pearson	0.7743164311135903	0.7631596247388345	-0.011156806374755801	3.35	DLPFC
DLPFC	Overall	scanpy_seurat	scanpy-Seurat	0.603293398255974	0.6416022415082888	0.03830884325231487	4	DLPFC
DLPFC	Integration	scanpy_seurat	scanpy-Seurat	0.7380743957104122	0.7691304882368537	0.03105609252644148	4	DLPFC
DLPFC	Clustering	scanpy_seurat	scanpy-Seurat	0.4685124008015355	0.514073994779724	0.04556159397818854	4	DLPFC
DLPFC	Alignment	scanpy_seurat	scanpy-Seurat	0.7254310396377935	0.7554266708950795	0.029995631257285993	4	DLPFC
DLPFC	Overall	scanpy_seurat_v3	scanpy-SeuratV3	0.6758866952461138	0.6916208349110261	0.015734139664912328	2.05	DLPFC
DLPFC	Integration	scanpy_seurat_v3	scanpy-SeuratV3	0.7626209485634368	0.78406352641728	0.021442577853843292	2.05	DLPFC
DLPFC	Clustering	scanpy_seurat_v3	scanpy-SeuratV3	0.5891524419287908	0.5991781434047724	0.010025701475981585	2.05	DLPFC
DLPFC	Alignment	scanpy_seurat_v3	scanpy-SeuratV3	0.8207670668972575	0.7751378352839663	-0.04562923161329124	2.05	DLPFC
MouseBrainSerialSections	Overall	scanpy_cell_ranger	scanpy-Cell Ranger	0.7975466543696621	0.7874612971823116	-0.010085357187350485	2.7	Mouse Brain
MouseBrainSerialSections	Integration	scanpy_cell_ranger	scanpy-Cell Ranger	0.7596706242298318	0.7522370800681101	-0.007433544161721706	2.7	Mouse Brain
MouseBrainSerialSections	Clustering	scanpy_cell_ranger	scanpy-Cell Ranger	0.8354226845094925	0.8226855142965132	-0.012737170212979376	2.7	Mouse Brain
MouseBrainSerialSections	Alignment	scanpy_cell_ranger	scanpy-Cell Ranger	0.9636388866168804	0.9648000219819672	0.001161135365086885	2.7	Mouse Brain
MouseBrainSerialSections	Overall	scanpy_pearson	scanpy-Pearson	0.502575792003073	0.4657388034656231	-0.03683698853744993	3.35	Mouse Brain
MouseBrainSerialSections	Integration	scanpy_pearson	scanpy-Pearson	0.373746936882958	0.3901046077967683	0.016357670913810296	3.35	Mouse Brain
MouseBrainSerialSections	Clustering	scanpy_pearson	scanpy-Pearson	0.6314046471231881	0.5413729991344779	-0.09003164798871022	3.35	Mouse Brain
MouseBrainSerialSections	Alignment	scanpy_pearson	scanpy-Pearson	0.5744502757376041	0.7004365926605741	0.12598631692297002	3.35	Mouse Brain
MouseBrainSerialSections	Overall	scanpy_seurat	scanpy-Seurat	0.7745902315912322	0.6641706957555932	-0.11041953583563902	4	Mouse Brain
MouseBrainSerialSections	Integration	scanpy_seurat	scanpy-Seurat	0.7401235523014553	0.5915568321351783	-0.14856672016627703	4	Mouse Brain
MouseBrainSerialSections	Clustering	scanpy_seurat	scanpy-Seurat	0.8090569108810092	0.7367845593760083	-0.07227235150500089	4	Mouse Brain
MouseBrainSerialSections	Alignment	scanpy_seurat	scanpy-Seurat	0.9493701143610896	0.8774009946492054	-0.07196911971188424	4	Mouse Brain
MouseBrainSerialSections	Overall	scanpy_seurat_v3	scanpy-SeuratV3	0.713773023748543	0.614411198245853	-0.09936182550269002	2.05	Mouse Brain
MouseBrainSerialSections	Integration	scanpy_seurat_v3	scanpy-SeuratV3	0.6757603067506605	0.5333517541702727	-0.14240855258038776	2.05	Mouse Brain
MouseBrainSerialSections	Clustering	scanpy_seurat_v3	scanpy-SeuratV3	0.7517857407464256	0.6954706423214332	-0.05631509842499238	2.05	Mouse Brain
MouseBrainSerialSections	Alignment	scanpy_seurat_v3	scanpy-SeuratV3	0.9272793444907464	0.8192581270151842	-0.10802121747556226	2.05	Mouse Brain
STOmics0212	Overall	scanpy_cell_ranger	scanpy-Cell Ranger	0.5562572045347413	0.5896538735815936	0.033396669046852345	2.7	STOmics-0212
STOmics0212	Integration	scanpy_cell_ranger	scanpy-Cell Ranger	0.5341184862289126	0.5902378594492604	0.05611937322034788	2.7	STOmics-0212
STOmics0212	Clustering	scanpy_cell_ranger	scanpy-Cell Ranger	0.5783959228405698	0.5890698877139267	0.010673964873356812	2.7	STOmics-0212
STOmics0212	Alignment	scanpy_cell_ranger	scanpy-Cell Ranger	NA	NA	NA	2.7	STOmics-0212
STOmics0212	Overall	scanpy_pearson	scanpy-Pearson	0.5704659422056363	0.5685758832780684	-0.0018900589275678836	3.35	STOmics-0212
STOmics0212	Integration	scanpy_pearson	scanpy-Pearson	0.5102073592671821	0.5252102253253699	0.015002866058187792	3.35	STOmics-0212
STOmics0212	Clustering	scanpy_pearson	scanpy-Pearson	0.6307245251440905	0.6119415412307668	-0.01878298391332367	3.35	STOmics-0212
STOmics0212	Alignment	scanpy_pearson	scanpy-Pearson	NA	NA	NA	3.35	STOmics-0212
STOmics0212	Overall	scanpy_seurat	scanpy-Seurat	0.5213796706983166	0.5754282169752984	0.05404854627698186	4	STOmics-0212
STOmics0212	Integration	scanpy_seurat	scanpy-Seurat	0.4846360319527094	0.5514806930772603	0.06684466112455095	4	STOmics-0212
STOmics0212	Clustering	scanpy_seurat	scanpy-Seurat	0.5581233094439239	0.5993757408733366	0.041252431429412706	4	STOmics-0212
STOmics0212	Alignment	scanpy_seurat	scanpy-Seurat	NA	NA	NA	4	STOmics-0212
STOmics0212	Overall	scanpy_seurat_v3	scanpy-SeuratV3	0.5674592475617932	0.5766027303526248	0.009143482790831547	2.05	STOmics-0212
STOmics0212	Integration	scanpy_seurat_v3	scanpy-SeuratV3	0.4801641043133936	0.5148263042503357	0.034662199936942084	2.05	STOmics-0212
STOmics0212	Clustering	scanpy_seurat_v3	scanpy-SeuratV3	0.6547543908101928	0.6383791564549138	-0.01637523435527899	2.05	STOmics-0212
STOmics0212	Alignment	scanpy_seurat_v3	scanpy-SeuratV3	NA	NA	NA	2.05	STOmics-0212
STOmics0218	Overall	scanpy_cell_ranger	scanpy-Cell Ranger	0.7418420633616032	0.7459261973430292	0.004084133981426041	2.7	STOmics-0218
STOmics0218	Integration	scanpy_cell_ranger	scanpy-Cell Ranger	0.7706175310035132	0.7713985911572431	7.810601537299178e-4	2.7	STOmics-0218
STOmics0218	Clustering	scanpy_cell_ranger	scanpy-Cell Ranger	0.7130665957196932	0.7204538035288152	0.007387207809121943	2.7	STOmics-0218
