Method	Type	Mean	SD	Integration
Anticor (N=2,000)	Alignment	-0.14285714285714285	2.6095064302514777	CellCharter
Anticor (N=2,000)	Clustering	4	12.503332889007368	CellCharter
Anticor (N=2,000)	Integration	-3	7.393691004272944	CellCharter
Anticor (N=2,000)	CoreOverall	2	10.36018017861337	CellCharter
Anticor (N=2,000)	Alignment	0.42857142857142855	1.1338934190276817	GraphST
Anticor (N=2,000)	Clustering	4.571428571428571	10.564991605252112	GraphST
Anticor (N=2,000)	Integration	-3.5714285714285716	8.92295061171178	GraphST
Anticor (N=2,000)	CoreOverall	4.714285714285714	9.086882225022428	GraphST
Brennecke (N=2,000)	Alignment	0.2857142857142857	1.7994708216848747	CellCharter
Brennecke (N=2,000)	Clustering	-7.714285714285714	7.631388814501279	CellCharter
Brennecke (N=2,000)	Integration	5.857142857142857	4.740906081772816	CellCharter
Brennecke (N=2,000)	CoreOverall	-5.714285714285714	9.759000729485331	CellCharter
Brennecke (N=2,000)	Alignment	1.8571428571428572	5.367450401216932	GraphST
Brennecke (N=2,000)	Clustering	-6.142857142857143	9.209208641871667	GraphST
Brennecke (N=2,000)	Integration	1.4285714285714286	5.769377287516763	GraphST
Brennecke (N=2,000)	CoreOverall	-7.571428571428571	9.571783930858846	GraphST
DUBStepR (N=2,000)	Alignment	-0.14285714285714285	0.8997354108424374	CellCharter
DUBStepR (N=2,000)	Clustering	4	9.219544457292887	CellCharter
DUBStepR (N=2,000)	Integration	-0.2857142857142857	6.848705126136028	CellCharter
DUBStepR (N=2,000)	CoreOverall	4.428571428571429	7.230886134196436	CellCharter
DUBStepR (N=2,000)	Alignment	-0.42857142857142855	3.25868802112869	GraphST
DUBStepR (N=2,000)	Clustering	2.4285714285714284	7.955231881329059	GraphST
DUBStepR (N=2,000)	Integration	8.142857142857142	10.447145885018411	GraphST
DUBStepR (N=2,000)	CoreOverall	8.428571428571429	7.892129895390362	GraphST
Hotspot (N=2,000)	Alignment	-2.4285714285714284	6.425396041156863	CellCharter
Hotspot (N=2,000)	Clustering	0	11.284207253207171	CellCharter
Hotspot (N=2,000)	Integration	3.7142857142857144	8.400680244565232	CellCharter
Hotspot (N=2,000)	CoreOverall	0.2857142857142857	14.985707476506693	CellCharter
Hotspot (N=2,000)	Alignment	0.2857142857142857	2.9277002188455996	GraphST
Hotspot (N=2,000)	Clustering	-0.5714285714285714	11.745313148332018	GraphST
Hotspot (N=2,000)	Integration	0.5714285714285714	8.283661486266059	GraphST
Hotspot (N=2,000)	CoreOverall	1.5714285714285714	11.914377069422512	GraphST
Moran's I (N=2,000)	Alignment	-4.428571428571429	9.015859043136949	CellCharter
Moran's I (N=2,000)	Clustering	1.7142857142857142	10.483547200483331	CellCharter
Moran's I (N=2,000)	Integration	-3.7142857142857144	8.097618697581936	CellCharter
Moran's I (N=2,000)	CoreOverall	1	12.30176139149729	CellCharter
Moran's I (N=2,000)	Alignment	-4	6.928203230275509	GraphST
Moran's I (N=2,000)	Clustering	-0.7142857142857143	14.430457208213994	GraphST
Moran's I (N=2,000)	Integration	-4.142857142857143	8.414839499926533	GraphST
Moran's I (N=2,000)	CoreOverall	-1.5714285714285714	15.33902585843424	GraphST
NBumi (N=2,000)	Alignment	0.8571428571428571	1.5735915849388864	CellCharter
NBumi (N=2,000)	Clustering	-1.5714285714285714	7.367883976130073	CellCharter
NBumi (N=2,000)	Integration	-3.857142857142857	10.270160197201916	CellCharter
NBumi (N=2,000)	CoreOverall	-2.2857142857142856	8.673989580239029	CellCharter
NBumi (N=2,000)	Alignment	1.1428571428571428	2.2677868380553634	GraphST
NBumi (N=2,000)	Clustering	0	8.582928793055823	GraphST
NBumi (N=2,000)	Integration	-3.857142857142857	8.989411761039975	GraphST
NBumi (N=2,000)	CoreOverall	-0.8571428571428571	6.9624845045565795	GraphST
OSCA (N=2,000)	Alignment	-0.42857142857142855	5.533448076836686	CellCharter
OSCA (N=2,000)	Clustering	-2.2857142857142856	7.4097747539828704	CellCharter
OSCA (N=2,000)	Integration	1.8571428571428572	3.8913824205360674	CellCharter
OSCA (N=2,000)	CoreOverall	2.142857142857143	5.2417736002416655	CellCharter
OSCA (N=2,000)	Alignment	-1.4285714285714286	8.997354108424373	GraphST
OSCA (N=2,000)	Clustering	-0.7142857142857143	7.3646517390909425	GraphST
OSCA (N=2,000)	Integration	3.4285714285714284	9.198861213163704	GraphST
OSCA (N=2,000)	CoreOverall	5.571428571428571	8.223080178318074	GraphST
SOMDE (N=2,000)	Alignment	1.1428571428571428	2.2677868380553634	CellCharter
SOMDE (N=2,000)	Clustering	4.142857142857143	9.54687682663064	CellCharter
SOMDE (N=2,000)	Integration	-1.1428571428571428	8.375133261199917	CellCharter
SOMDE (N=2,000)	CoreOverall	5.142857142857143	8.952254305081885	CellCharter
SOMDE (N=2,000)	Alignment	0.7142857142857143	1.4960264830861913	GraphST
SOMDE (N=2,000)	Clustering	2.4285714285714284	12.660399452059728	GraphST
SOMDE (N=2,000)	Integration	-7.285714285714286	8.400680244565232	GraphST
SOMDE (N=2,000)	CoreOverall	0.42857142857142855	8.67673407946298	GraphST
SPARK-X (N=2,000)	Alignment	-0.5714285714285714	1.5118578920369088	CellCharter
SPARK-X (N=2,000)	Clustering	5	11.075498483890767	CellCharter
SPARK-X (N=2,000)	Integration	-9.285714285714286	10.451702982676807	CellCharter
SPARK-X (N=2,000)	CoreOverall	1.5714285714285714	9.710083124552245	CellCharter
SPARK-X (N=2,000)	Alignment	-3.4285714285714284	6.80336051416609	GraphST
SPARK-X (N=2,000)	Clustering	5	8.524474568362947	GraphST
SPARK-X (N=2,000)	Integration	-5.285714285714286	12.07910435027208	GraphST
SPARK-X (N=2,000)	CoreOverall	3.7142857142857144	7.696628822938991	GraphST
Seurat-Dispersion (N=2,000)	Alignment	-2.2857142857142856	6.047431568147635	CellCharter
Seurat-Dispersion (N=2,000)	Clustering	0.5714285714285714	2.878491668515698	CellCharter
Seurat-Dispersion (N=2,000)	Integration	3.857142857142857	8.112306935115548	CellCharter
Seurat-Dispersion (N=2,000)	CoreOverall	1.7142857142857142	11.686377906410035	CellCharter
Seurat-Dispersion (N=2,000)	Alignment	2.5714285714285716	4.540820148282425	GraphST
Seurat-Dispersion (N=2,000)	Clustering	3.5714285714285716	5.159365040297849	GraphST
Seurat-Dispersion (N=2,000)	Integration	3.142857142857143	5.984105932344765	GraphST
Seurat-Dispersion (N=2,000)	CoreOverall	4.285714285714286	8.300889223737533	GraphST
Seurat-MVP (N=2,000)	Alignment	3.2857142857142856	7.846746368491119	CellCharter
Seurat-MVP (N=2,000)	Clustering	-7.285714285714286	14.95230512567974	CellCharter
Seurat-MVP (N=2,000)	Integration	4.285714285714286	4.990467102863409	CellCharter
Seurat-MVP (N=2,000)	CoreOverall	-6.142857142857143	8.706866474772873	CellCharter
Seurat-MVP (N=2,000)	Alignment	0.8571428571428571	1.5735915849388864	GraphST
Seurat-MVP (N=2,000)	Clustering	-3.5714285714285716	14.512720200536068	GraphST
Seurat-MVP (N=2,000)	Integration	9	8.717797887081348	GraphST
Seurat-MVP (N=2,000)	CoreOverall	0	11.298967504452195	GraphST
Seurat-VST (N=2,000)	Alignment	2.142857142857143	7.5813053279887415	CellCharter
Seurat-VST (N=2,000)	Clustering	0.7142857142857143	5.219012860502955	CellCharter
Seurat-VST (N=2,000)	Integration	-3.4285714285714284	7.502380574571933	CellCharter
Seurat-VST (N=2,000)	CoreOverall	-3.857142857142857	3.1847852585154217	CellCharter
Seurat-VST (N=2,000)	Alignment	-0.5714285714285714	1.5118578920369088	GraphST
Seurat-VST (N=2,000)	Clustering	-2.142857142857143	7.625146368618582	GraphST
Seurat-VST (N=2,000)	Integration	-8.571428571428571	6.729466121893644	GraphST
Seurat-VST (N=2,000)	CoreOverall	-6.857142857142857	7.470577207252718	GraphST
Seurat-scTransform (N=2,000)	Alignment	-0.7142857142857143	3.401680257083045	CellCharter
Seurat-scTransform (N=2,000)	Clustering	6	6.191391873668904	CellCharter
Seurat-scTransform (N=2,000)	Integration	1.2857142857142858	9.105205209371281	CellCharter
