Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
Anticor (N=2,000)	cellcharter	Alignment	6	6.928203230275509	CellCharter
Anticor (N=2,000)	cellcharter	Clustering	14.428571428571429	6.704653678780206	CellCharter
Anticor (N=2,000)	cellcharter	Integration	16.857142857142858	6.4142698058981855	CellCharter
Anticor (N=2,000)	cellcharter	CoreOverall	16	4.864839839775475	CellCharter
Anticor (N=2,000)	graphst	Alignment	6.571428571428571	9.071147352221454	GraphST
Anticor (N=2,000)	graphst	Clustering	15	7.047458170621991	GraphST
Anticor (N=2,000)	graphst	Integration	16.285714285714285	7.521398046336104	GraphST
Anticor (N=2,000)	graphst	CoreOverall	18.714285714285715	6.102302453836194	GraphST
Anticor (N=2,000)	scvi	Alignment	6.142857142857143	8.008923594519874	scVI
Anticor (N=2,000)	scvi	Clustering	10.428571428571429	7.656307701434655	scVI
Anticor (N=2,000)	scvi	Integration	19.857142857142858	2.7945525240230875	scVI
Anticor (N=2,000)	scvi	CoreOverall	14	8.640987597877148	scVI
Brennecke (N=2,000)	cellcharter	Alignment	6.428571428571429	10.113640011673063	CellCharter
Brennecke (N=2,000)	cellcharter	Clustering	16.857142857142858	11.006491591004698	CellCharter
Brennecke (N=2,000)	cellcharter	Integration	16.571428571428573	9.466733735510237	CellCharter
Brennecke (N=2,000)	cellcharter	CoreOverall	16.285714285714285	11.799919289473774	CellCharter
Brennecke (N=2,000)	graphst	Alignment	8	12.041594578792296	GraphST
Brennecke (N=2,000)	graphst	Clustering	18.428571428571427	8.978811035936085	GraphST
Brennecke (N=2,000)	graphst	Integration	12.142857142857142	8.820970684087087	GraphST
Brennecke (N=2,000)	graphst	CoreOverall	14.428571428571429	7.849780100044053	GraphST
Brennecke (N=2,000)	scvi	Alignment	6.142857142857143	10.510765456244872	scVI
Brennecke (N=2,000)	scvi	Clustering	24.571428571428573	3.735288603626359	scVI
Brennecke (N=2,000)	scvi	Integration	10.714285714285714	7.846746368491119	scVI
Brennecke (N=2,000)	scvi	CoreOverall	22	6.8068592855540455	scVI
DUBStepR (N=2,000)	cellcharter	Alignment	5.857142857142857	5.984105932344765	CellCharter
DUBStepR (N=2,000)	cellcharter	Clustering	15.857142857142858	5.785861256216785	CellCharter
DUBStepR (N=2,000)	cellcharter	Integration	14	5.597618541248888	CellCharter
DUBStepR (N=2,000)	cellcharter	CoreOverall	16.142857142857142	5.17779140266618	CellCharter
DUBStepR (N=2,000)	graphst	Alignment	5.571428571428571	4.429339411136566	GraphST
DUBStepR (N=2,000)	graphst	Clustering	14.285714285714286	5.154748157905347	GraphST
DUBStepR (N=2,000)	graphst	Integration	22.428571428571427	5.623081683476386	GraphST
DUBStepR (N=2,000)	graphst	CoreOverall	20.142857142857142	5.5805785670356025	GraphST
DUBStepR (N=2,000)	scvi	Alignment	6	5.744562646538029	scVI
DUBStepR (N=2,000)	scvi	Clustering	11.857142857142858	7.904188160474829	scVI
DUBStepR (N=2,000)	scvi	Integration	14.285714285714286	8.159131606453506	scVI
DUBStepR (N=2,000)	scvi	CoreOverall	11.714285714285714	7.952238379104039	scVI
Hotspot (N=2,000)	cellcharter	Alignment	4.428571428571429	1.618347187425374	CellCharter
Hotspot (N=2,000)	cellcharter	Clustering	10.285714285714286	5.794085654478071	CellCharter
Hotspot (N=2,000)	cellcharter	Integration	23	5.972157622389639	CellCharter
Hotspot (N=2,000)	cellcharter	CoreOverall	14.571428571428571	8.263517065131184	CellCharter
Hotspot (N=2,000)	graphst	Alignment	7.142857142857143	5.398412465054624	GraphST
Hotspot (N=2,000)	graphst	Clustering	9.714285714285714	7.889112449325034	GraphST
Hotspot (N=2,000)	graphst	Integration	19.857142857142858	4.947341758580104	GraphST
Hotspot (N=2,000)	graphst	CoreOverall	15.857142857142858	7.081162132224988	GraphST
Hotspot (N=2,000)	scvi	Alignment	6.857142857142857	5.984105932344765	scVI
Hotspot (N=2,000)	scvi	Clustering	10.285714285714286	9.516902257112267	scVI
Hotspot (N=2,000)	scvi	Integration	19.285714285714285	7.476948702830715	scVI
Hotspot (N=2,000)	scvi	CoreOverall	14.285714285714286	10.76590738882524	scVI
Moran's I (N=2,000)	cellcharter	Alignment	5.857142857142857	2.734262327610589	CellCharter
Moran's I (N=2,000)	cellcharter	Clustering	14.571428571428571	5.912053869204927	CellCharter
Moran's I (N=2,000)	cellcharter	Integration	15	8.06225774829855	CellCharter
Moran's I (N=2,000)	cellcharter	CoreOverall	15.571428571428571	5.711308748355986	CellCharter
Moran's I (N=2,000)	graphst	Alignment	6.285714285714286	2.627691364061218	GraphST
Moran's I (N=2,000)	graphst	Clustering	12.142857142857142	7.4258236676383005	GraphST
Moran's I (N=2,000)	graphst	Integration	14.571428571428571	6.528326555791126	GraphST
Moran's I (N=2,000)	graphst	CoreOverall	13	7.023769168568493	GraphST
Moran's I (N=2,000)	scvi	Alignment	10.285714285714286	9.393513466115607	scVI
Moran's I (N=2,000)	scvi	Clustering	12.857142857142858	8.989411761039975	scVI
Moran's I (N=2,000)	scvi	Integration	18.714285714285715	7.8041502999853805	scVI
Moran's I (N=2,000)	scvi	CoreOverall	14.571428571428571	8.753230696094306	scVI
NBumi (N=2,000)	cellcharter	Alignment	6.571428571428571	2.5071326821120348	CellCharter
NBumi (N=2,000)	cellcharter	Clustering	8.571428571428571	5.028490259085155	CellCharter
NBumi (N=2,000)	cellcharter	Integration	14.142857142857142	9.839183086492689	CellCharter
NBumi (N=2,000)	cellcharter	CoreOverall	9.142857142857142	5.047394424471944	CellCharter
NBumi (N=2,000)	graphst	Alignment	6.857142857142857	3.236694374850748	GraphST
NBumi (N=2,000)	graphst	Clustering	10.142857142857142	7.925245977856069	GraphST
NBumi (N=2,000)	graphst	Integration	14.142857142857142	7.151423434733616	GraphST
NBumi (N=2,000)	graphst	CoreOverall	10.571428571428571	5.41162769282166	GraphST
NBumi (N=2,000)	scvi	Alignment	5.714285714285714	1.7994708216848747	scVI
NBumi (N=2,000)	scvi	Clustering	10.142857142857142	4.947341758580104	scVI
NBumi (N=2,000)	scvi	Integration	18	10.295630140987	scVI
NBumi (N=2,000)	scvi	CoreOverall	11.428571428571429	7.184639700016113	scVI
OSCA (N=2,000)	cellcharter	Alignment	10	4.123105625617661	CellCharter
OSCA (N=2,000)	cellcharter	Clustering	10.714285714285714	7.016986193380691	CellCharter
OSCA (N=2,000)	cellcharter	Integration	15.142857142857142	6.644009116704849	CellCharter
OSCA (N=2,000)	cellcharter	CoreOverall	12.714285714285714	7.016986193380691	CellCharter
OSCA (N=2,000)	graphst	Alignment	9	5.744562646538029	GraphST
OSCA (N=2,000)	graphst	Clustering	12.285714285714286	7.609517849690735	GraphST
OSCA (N=2,000)	graphst	Integration	16.714285714285715	8.199883855158879	GraphST
OSCA (N=2,000)	graphst	CoreOverall	16.142857142857142	7.925245977856069	GraphST
OSCA (N=2,000)	scvi	Alignment	10.428571428571429	5.223572942509206	scVI
OSCA (N=2,000)	scvi	Clustering	13	1.632993161855452	scVI
