Method	Type	Mean	SD	Integration
Anticor (N=2,000)	Alignment	0.23681790732538044	0.1674556218646267	CellCharter
Anticor (N=2,000)	Clustering	0.15477835724107283	0.12144965270447415	CellCharter
Anticor (N=2,000)	Integration	-0.03526091288682639	0.1497197559439564	CellCharter
Anticor (N=2,000)	CoreOverall	0.05975872217712318	0.09002670336134096	CellCharter
Anticor (N=2,000)	Alignment	0.16678743477798835	0.19418708232520607	GraphST
Anticor (N=2,000)	Clustering	0.15819325350613295	0.13710633553388796	GraphST
Anticor (N=2,000)	Integration	-0.09315376762056814	0.18308897410289757	GraphST
Anticor (N=2,000)	CoreOverall	0.032519742942782384	0.11675181435967621	GraphST
Brennecke (N=2,000)	Alignment	0.10442825704224301	0.03117680591493042	CellCharter
Brennecke (N=2,000)	Clustering	0.21648347207519625	0.11828667397299336	CellCharter
Brennecke (N=2,000)	Integration	-0.07741590623721287	0.1490259402477586	CellCharter
Brennecke (N=2,000)	CoreOverall	0.06953378291899173	0.07117240106759125	CellCharter
Brennecke (N=2,000)	Alignment	0.015250163027685115	0.03180709571570119	GraphST
Brennecke (N=2,000)	Clustering	0.23043010526964677	0.14955093786437976	GraphST
Brennecke (N=2,000)	Integration	-0.13183524012196643	0.1934878918471348	GraphST
Brennecke (N=2,000)	CoreOverall	0.04929743257384018	0.09482396306611861	GraphST
DUBStepR (N=2,000)	Alignment	0.17433194451616602	0.0832374962322525	CellCharter
DUBStepR (N=2,000)	Clustering	0.14411637095223293	0.10461322677363726	CellCharter
DUBStepR (N=2,000)	Integration	-0.043928931950805786	0.16341749708059217	CellCharter
DUBStepR (N=2,000)	CoreOverall	0.050093719500713584	0.08184135855982916	CellCharter
DUBStepR (N=2,000)	Alignment	0.09747389267286438	0.14014648339342636	GraphST
DUBStepR (N=2,000)	Clustering	0.17145545395475675	0.14238293892300685	GraphST
DUBStepR (N=2,000)	Integration	-0.13792146219661716	0.1951534895265936	GraphST
DUBStepR (N=2,000)	CoreOverall	0.016766995879069824	0.09896061328779057	GraphST
Hotspot (N=2,000)	Alignment	0.20027275185365512	0.1252621648155992	CellCharter
Hotspot (N=2,000)	Clustering	0.17149468888323716	0.13453937848551897	CellCharter
Hotspot (N=2,000)	Integration	-0.04732407055920979	0.18699881511630978	CellCharter
Hotspot (N=2,000)	CoreOverall	0.06208530916201366	0.12200695615788705	CellCharter
Hotspot (N=2,000)	Alignment	0.11546893987260609	0.18022046487065052	GraphST
Hotspot (N=2,000)	Clustering	0.18250222726669887	0.17114683404279893	GraphST
Hotspot (N=2,000)	Integration	-0.10399428271816927	0.2149433303829606	GraphST
Hotspot (N=2,000)	CoreOverall	0.03925397227426485	0.15368907867920406	GraphST
Moran's I (N=2,000)	Alignment	0.29677713012811385	0.19108287356091846	CellCharter
Moran's I (N=2,000)	Clustering	0.14593617417572438	0.08995231454232172	CellCharter
Moran's I (N=2,000)	Integration	-0.025769207465839637	0.18179181934717922	CellCharter
Moran's I (N=2,000)	CoreOverall	0.06008348335494238	0.09874479085935257	CellCharter
Moran's I (N=2,000)	Alignment	0.23828761527921255	0.21331617404550124	GraphST
Moran's I (N=2,000)	Clustering	0.1772847976767539	0.13169155800549667	GraphST
Moran's I (N=2,000)	Integration	-0.09004289621726883	0.213485064136045	GraphST
Moran's I (N=2,000)	CoreOverall	0.04362095072974255	0.12411060581091829	GraphST
NBumi (N=2,000)	Alignment	0.09214044853555137	0.03189114526799328	CellCharter
NBumi (N=2,000)	Clustering	0.15566496463528123	0.10021934128355853	CellCharter
NBumi (N=2,000)	Integration	-0.04966366433998442	0.1251448192498193	CellCharter
NBumi (N=2,000)	CoreOverall	0.05300065014764843	0.02892928525924645	CellCharter
NBumi (N=2,000)	Alignment	0.036862511414622046	0.00990572391639294	GraphST
NBumi (N=2,000)	Clustering	0.16634652930621827	0.11183196795145021	GraphST
NBumi (N=2,000)	Integration	-0.10369253745128565	0.12045119870730649	GraphST
NBumi (N=2,000)	CoreOverall	0.0313269959274663	0.04512920813833709	GraphST
OSCA (N=2,000)	Alignment	0.2116868302952868	0.13128446722305762	CellCharter
OSCA (N=2,000)	Clustering	0.14906571062930682	0.08082188203365114	CellCharter
OSCA (N=2,000)	Integration	-0.056001397393790876	0.16207612610520797	CellCharter
OSCA (N=2,000)	CoreOverall	0.046532156617757905	0.06757864102233954	CellCharter
OSCA (N=2,000)	Alignment	0.12926144661703243	0.19744110093078704	GraphST
OSCA (N=2,000)	Clustering	0.164546767188022	0.12566949424753257	GraphST
OSCA (N=2,000)	Integration	-0.1287627214352054	0.21767313286337467	GraphST
OSCA (N=2,000)	CoreOverall	0.017892022876408294	0.10288605409963385	GraphST
SOMDE (N=2,000)	Alignment	0.1340111772827206	0.046250648419072	CellCharter
SOMDE (N=2,000)	Clustering	0.1460348582268051	0.09603953113279826	CellCharter
SOMDE (N=2,000)	Integration	-0.04635430498207296	0.15230483581826385	CellCharter
SOMDE (N=2,000)	CoreOverall	0.04984027662236602	0.0920884762524376	CellCharter
SOMDE (N=2,000)	Alignment	0.07787425367147743	0.06791196874969274	GraphST
SOMDE (N=2,000)	Clustering	0.16262576141378177	0.1337317019364478	GraphST
SOMDE (N=2,000)	Integration	-0.08725339757644215	0.1653090846495128	GraphST
SOMDE (N=2,000)	CoreOverall	0.03768618191866983	0.11540881920490474	GraphST
SPARK-X (N=2,000)	Alignment	0.21678884832695794	0.0948075371626483	CellCharter
SPARK-X (N=2,000)	Clustering	0.12739525178631614	0.07929021221397557	CellCharter
SPARK-X (N=2,000)	Integration	0.0063266887533380755	0.18001837387486533	CellCharter
SPARK-X (N=2,000)	CoreOverall	0.06686097026982708	0.08366587235957437	CellCharter
SPARK-X (N=2,000)	Alignment	0.15464900701042428	0.13507717995569501	GraphST
SPARK-X (N=2,000)	Clustering	0.14624376574546472	0.13374185307556874	GraphST
SPARK-X (N=2,000)	Integration	-0.07981971784235091	0.21829228371850568	GraphST
SPARK-X (N=2,000)	CoreOverall	0.033212023951556875	0.10436824857367577	GraphST
Seurat-Dispersion (N=2,000)	Alignment	0.1708902988657225	0.0495286513837954	CellCharter
Seurat-Dispersion (N=2,000)	Clustering	0.16680933629081762	0.110947543529228	CellCharter
Seurat-Dispersion (N=2,000)	Integration	-0.05197569233400652	0.14855509089737226	CellCharter
Seurat-Dispersion (N=2,000)	CoreOverall	0.05741682197840557	0.07779691748534047	CellCharter
Seurat-Dispersion (N=2,000)	Alignment	0.051798051793343236	0.12427124767218549	GraphST
Seurat-Dispersion (N=2,000)	Clustering	0.16834274662030613	0.15282425248211706	GraphST
Seurat-Dispersion (N=2,000)	Integration	-0.11141772727836564	0.18644248806324465	GraphST
Seurat-Dispersion (N=2,000)	CoreOverall	0.028462509670970273	0.10572422283681814	GraphST
Seurat-MVP (N=2,000)	Alignment	0.06826420059129418	0.08520957003172083	CellCharter
Seurat-MVP (N=2,000)	Clustering	0.19187274138185673	0.13485577764258427	CellCharter
Seurat-MVP (N=2,000)	Integration	-0.09842377610578967	0.09303210567684597	CellCharter
Seurat-MVP (N=2,000)	CoreOverall	0.04672448263803351	0.033078751624174854	CellCharter
Seurat-MVP (N=2,000)	Alignment	-0.009730955189231782	0.02189720514371791	GraphST
Seurat-MVP (N=2,000)	Clustering	0.19304641639547956	0.14555476823160016	GraphST
Seurat-MVP (N=2,000)	Integration	-0.17409581642909366	0.1555519386161488	GraphST
Seurat-MVP (N=2,000)	CoreOverall	0.00947529998319298	0.04484436940229852	GraphST
Seurat-VST (N=2,000)	Alignment	0.0783207117088407	0.068375522629246	CellCharter
Seurat-VST (N=2,000)	Clustering	0.16806259707661783	0.12363691460229304	CellCharter
Seurat-VST (N=2,000)	Integration	-0.0677311633295752	0.1209406487233385	CellCharter
Seurat-VST (N=2,000)	CoreOverall	0.05016571687352135	0.026893187536643368	CellCharter
Seurat-VST (N=2,000)	Alignment	0.030257271852854428	0.0446245707981321	GraphST
Seurat-VST (N=2,000)	Clustering	0.17369941823052015	0.12311575492655058	GraphST
Seurat-VST (N=2,000)	Integration	-0.09076259144135264	0.10834627048210613	GraphST
Seurat-VST (N=2,000)	CoreOverall	0.04146841339458372	0.03275115332959844	GraphST
Seurat-scTransform (N=2,000)	Alignment	0.1397020216012944	0.014126571652619439	CellCharter
Seurat-scTransform (N=2,000)	Clustering	0.09127275841971655	0.048691639548593034	CellCharter
Seurat-scTransform (N=2,000)	Integration	-0.03662052591659506	0.11169132612001052	CellCharter
Seurat-scTransform (N=2,000)	CoreOverall	0.027326116251560735	0.05045035620651113	CellCharter
Seurat-scTransform (N=2,000)	Alignment	0.05673402741152339	0.0766071833915532	GraphST
Seurat-scTransform (N=2,000)	Clustering	0.1348692495935493	0.11390316486361485	GraphST
Seurat-scTransform (N=2,000)	Integration	-0.05353185045552011	0.16423515339813285	GraphST
Seurat-scTransform (N=2,000)	CoreOverall	0.04066869956901462	0.11437374987058872	GraphST
SpatialDE (N=2,000)	Alignment	0.15109480140902243	0.05801899727517994	CellCharter
SpatialDE (N=2,000)	Clustering	0.14871896555315395	0.07996215709101295	CellCharter
SpatialDE (N=2,000)	Integration	-0.03828670914151057	0.15082509758734494	CellCharter
SpatialDE (N=2,000)	CoreOverall	0.05521612820582172	0.08105369145139898	CellCharter
SpatialDE (N=2,000)	Alignment	0.08498729062761723	0.09370902136230562	GraphST
SpatialDE (N=2,000)	Clustering	0.16373404055390497	0.13223764799431242	GraphST
SpatialDE (N=2,000)	Integration	-0.09289828804437036	0.16613677781624342	GraphST
SpatialDE (N=2,000)	CoreOverall	0.035417876254767285	0.10257901166104076	GraphST
Statistic mean (N=2,000)	Alignment	0.26369603484278165	0.12855874917241036	CellCharter
Statistic mean (N=2,000)	Clustering	0.16866553674844914	0.10422575128527231	CellCharter
Statistic mean (N=2,000)	Integration	-0.008623231505656359	0.20097868481469908	CellCharter
Statistic mean (N=2,000)	CoreOverall	0.08002115262139642	0.11942149087109559	CellCharter
Statistic mean (N=2,000)	Alignment	0.17008722799572734	0.1741609954662937	GraphST
Statistic mean (N=2,000)	Clustering	0.1823665224155247	0.13518867668579782	GraphST
Statistic mean (N=2,000)	Integration	-0.12156003402241722	0.24589040334505113	GraphST
Statistic mean (N=2,000)	CoreOverall	0.03040324419655373	0.13744166656954457	GraphST
Statistic variance (N=2,000)	Alignment	0.35529476437877294	0.31330862645974794	CellCharter
Statistic variance (N=2,000)	Clustering	0.13411968815485265	0.07667463242425344	CellCharter
Statistic variance (N=2,000)	Integration	-0.010777837749932137	0.2202794071867041	CellCharter
Statistic variance (N=2,000)	CoreOverall	0.06167092520246021	0.09319030445217003	CellCharter
Statistic variance (N=2,000)	Alignment	0.27280220913668995	0.36498920817168096	GraphST
Statistic variance (N=2,000)	Clustering	0.1570629948594918	0.13148815031737385	GraphST
