Method	IntegrationMethod	Type	Mean	SD	Integration
Anticor (N=2,000)	cellcharter	Alignment	0.9390587224725322	0.030754402459369178	CellCharter
Anticor (N=2,000)	cellcharter	Clustering	0.7108735542028193	0.049038664739916915	CellCharter
Anticor (N=2,000)	cellcharter	Integration	0.6107327479459609	0.11451907600648055	CellCharter
Anticor (N=2,000)	cellcharter	CoreOverall	0.6608031510743901	0.07662542713179162	CellCharter
Anticor (N=2,000)	graphst	Alignment	0.86902824992514	0.05748586291994853	GraphST
Anticor (N=2,000)	graphst	Clustering	0.7142884504678794	0.07254132654464077	GraphST
Anticor (N=2,000)	graphst	Integration	0.5528398932122192	0.1543954938252281	GraphST
Anticor (N=2,000)	graphst	CoreOverall	0.6335641718400493	0.09699140757392358	GraphST
Anticor (N=2,000)	scvi	Alignment	0.7022408151471518	0.1367012194052575	scVI
Anticor (N=2,000)	scvi	Clustering	0.5560951969617465	0.13335342214929274	scVI
Anticor (N=2,000)	scvi	Integration	0.6459936608327873	0.11452032143321274	scVI
Anticor (N=2,000)	scvi	CoreOverall	0.601044428897267	0.088034140838927	scVI
Brennecke (N=2,000)	cellcharter	Alignment	0.9073263486501675	0.07883941103202693	CellCharter
Brennecke (N=2,000)	cellcharter	Clustering	0.6834787832327978	0.10125371381311117	CellCharter
Brennecke (N=2,000)	cellcharter	Integration	0.6258126542679101	0.11669512330768927	CellCharter
Brennecke (N=2,000)	cellcharter	CoreOverall	0.6546457187503539	0.08171777177307817	CellCharter
Brennecke (N=2,000)	graphst	Alignment	0.8181482546356096	0.14182331266265855	GraphST
Brennecke (N=2,000)	graphst	Clustering	0.6974254164272482	0.09514641803106677	GraphST
Brennecke (N=2,000)	graphst	Integration	0.5713933203831565	0.14224095144441032	GraphST
Brennecke (N=2,000)	graphst	CoreOverall	0.6344093684052023	0.09780103616525378	GraphST
Brennecke (N=2,000)	scvi	Alignment	0.8028980916079245	0.11001621694695736	scVI
Brennecke (N=2,000)	scvi	Clustering	0.4669953111576015	0.19485479296008684	scVI
Brennecke (N=2,000)	scvi	Integration	0.703228560505123	0.14099347265828865	scVI
Brennecke (N=2,000)	scvi	CoreOverall	0.5851119358313622	0.07547322776585048	scVI
DUBStepR (N=2,000)	cellcharter	Alignment	0.9449305892183573	0.021608686012980622	CellCharter
DUBStepR (N=2,000)	cellcharter	Clustering	0.6947216532262693	0.0752282823014354	CellCharter
DUBStepR (N=2,000)	cellcharter	Integration	0.6150939203800047	0.1221810347834035	CellCharter
DUBStepR (N=2,000)	cellcharter	CoreOverall	0.654907786803137	0.0875507947973492	CellCharter
