dataset	Context	fs_method	MethodGroup	ScoreType	Rank	Method
STOmics0212	Full	Brennecke	expression_driven	Overall	25	Brennecke (N=2,000)
STOmics0212	Full	Brennecke	expression_driven	Integration	24	Brennecke (N=2,000)
STOmics0212	Full	Brennecke	expression_driven	Clustering	25	Brennecke (N=2,000)
STOmics0212	Full	TFs	control	Overall	32	Transcription factors (N=2,000)
STOmics0212	Full	TFs	control	Integration	9	Transcription factors (N=2,000)
STOmics0212	Full	TFs	control	Clustering	32	Transcription factors (N=2,000)
STOmics0212	Full	all_features	control	Overall	31	All features
STOmics0212	Full	all_features	control	Integration	33	All features
STOmics0212	Full	all_features	control	Clustering	26	All features
STOmics0212	Full	anticor	expression_driven	Overall	23	Anticor (N=2,000)
STOmics0212	Full	anticor	expression_driven	Integration	22	Anticor (N=2,000)
STOmics0212	Full	anticor	expression_driven	Clustering	14	Anticor (N=2,000)
STOmics0212	Full	dubstepr	expression_driven	Overall	2	DUBStepR (N=2,000)
STOmics0212	Full	dubstepr	expression_driven	Integration	10	DUBStepR (N=2,000)
STOmics0212	Full	dubstepr	expression_driven	Clustering	4	DUBStepR (N=2,000)
STOmics0212	Full	hotspot	expression_driven	Overall	8	Hotspot (N=2,000)
STOmics0212	Full	hotspot	expression_driven	Integration	15	Hotspot (N=2,000)
STOmics0212	Full	hotspot	expression_driven	Clustering	9	Hotspot (N=2,000)
STOmics0212	Full	morans_i	spatially_informed	Overall	22	Moran's I (N=2,000)
STOmics0212	Full	morans_i	spatially_informed	Integration	2	Moran's I (N=2,000)
STOmics0212	Full	morans_i	spatially_informed	Clustering	28	Moran's I (N=2,000)
STOmics0212	Full	nbumi	expression_driven	Overall	13	NBumi (N=2,000)
STOmics0212	Full	nbumi	expression_driven	Integration	25	NBumi (N=2,000)
STOmics0212	Full	nbumi	expression_driven	Clustering	8	NBumi (N=2,000)
STOmics0212	Full	nnsvg	spatially_informed	Overall	21	nnSVG (N=2,000)
STOmics0212	Full	nnsvg	spatially_informed	Integration	12	nnSVG (N=2,000)
STOmics0212	Full	nnsvg	spatially_informed	Clustering	22	nnSVG (N=2,000)
STOmics0212	Full	osca	expression_driven	Overall	16	OSCA (N=2,000)
STOmics0212	Full	osca	expression_driven	Integration	18	OSCA (N=2,000)
STOmics0212	Full	osca	expression_driven	Clustering	15	OSCA (N=2,000)
STOmics0212	Full	random	control	Overall	33	Random (N=500)
STOmics0212	Full	random	control	Integration	32	Random (N=500)
STOmics0212	Full	random	control	Clustering	33	Random (N=500)
STOmics0212	Full	scPNMF	expression_driven	Overall	14	scPNMF (N=2,000)
STOmics0212	Full	scPNMF	expression_driven	Integration	19	scPNMF (N=2,000)
STOmics0212	Full	scPNMF	expression_driven	Clustering	12	scPNMF (N=2,000)
STOmics0212	Full	scanpy_cell_ranger	expression_driven	Overall	18	Scanpy Cell Ranger (N=2,000)
STOmics0212	Full	scanpy_cell_ranger	expression_driven	Integration	11	Scanpy Cell Ranger (N=2,000)
STOmics0212	Full	scanpy_cell_ranger	expression_driven	Clustering	21	Scanpy Cell Ranger (N=2,000)
STOmics0212	Full	scanpy_cell_ranger_batch	expression_driven	Overall	1	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212	Full	scanpy_cell_ranger_batch	expression_driven	Integration	1	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212	Full	scanpy_cell_ranger_batch	expression_driven	Clustering	16	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212	Full	scanpy_pearson	expression_driven	Overall	9	Scanpy Pearson (N=2,000)
STOmics0212	Full	scanpy_pearson	expression_driven	Integration	21	Scanpy Pearson (N=2,000)
STOmics0212	Full	scanpy_pearson	expression_driven	Clustering	6	Scanpy Pearson (N=2,000)
STOmics0212	Full	scanpy_pearson_batch	expression_driven	Overall	10	Scanpy Pearson, batch (N=2,000)
STOmics0212	Full	scanpy_pearson_batch	expression_driven	Integration	17	Scanpy Pearson, batch (N=2,000)
STOmics0212	Full	scanpy_pearson_batch	expression_driven	Clustering	11	Scanpy Pearson, batch (N=2,000)
