method	group	pair	Jaccard	JaccardSD	NSeeds	Combination	Method
Brennecke	expression	Full vs Epithelial	0.5157256536566881	NA	1	Full vs Epi.	Brennecke (N=2,000)
Brennecke	expression	Full vs Immune	0.26863304789089754	NA	1	Full vs Imm.	Brennecke (N=2,000)
Brennecke	expression	Immune vs Epithelial	0.12359550561797752	NA	1	Epi. vs Imm.	Brennecke (N=2,000)
TFs	control	Full vs Epithelial	1	NA	1	Full vs Epi.	Transcription factors (N=2,000)
TFs	control	Full vs Immune	1	NA	1	Full vs Imm.	Transcription factors (N=2,000)
TFs	control	Immune vs Epithelial	1	NA	1	Epi. vs Imm.	Transcription factors (N=2,000)
all_features	control	Full vs Epithelial	1	NA	1	Full vs Epi.	All features
all_features	control	Full vs Immune	1	NA	1	Full vs Imm.	All features
all_features	control	Immune vs Epithelial	1	NA	1	Epi. vs Imm.	All features
anticor	expression	Full vs Epithelial	0.6506829308009908	0.012600459058238807	3	Full vs Epi.	Anticor (N=2,000)
anticor	expression	Full vs Immune	0.3649211706616257	0.009481716818983164	3	Full vs Imm.	Anticor (N=2,000)
anticor	expression	Immune vs Epithelial	0.333348278275783	0.0054729131384376566	3	Epi. vs Imm.	Anticor (N=2,000)
dubstepr	expression	Full vs Epithelial	0.7954979372552601	3.737874005012849e-4	3	Full vs Epi.	DUBStepR (N=2,000)
dubstepr	expression	Full vs Immune	0.3368254147928785	0.0016830182593995813	3	Full vs Imm.	DUBStepR (N=2,000)
dubstepr	expression	Immune vs Epithelial	0.3079518072289157	0	3	Epi. vs Imm.	DUBStepR (N=2,000)
hotspot	expression	Full vs Epithelial	0.6335777097232898	0.00934409470720129	3	Full vs Epi.	Hotspot (N=2,000)
hotspot	expression	Full vs Immune	0.5236209549467254	0.00334642265463395	3	Full vs Imm.	Hotspot (N=2,000)
hotspot	expression	Immune vs Epithelial	0.4120981770371068	0.0016034065376397074	3	Epi. vs Imm.	Hotspot (N=2,000)
morans_i	spatial	Full vs Epithelial	0.6420361247947455	NA	1	Full vs Epi.	Moran's I (N=2,000)
morans_i	spatial	Full vs Immune	0.34048257372654156	NA	1	Full vs Imm.	Moran's I (N=2,000)
morans_i	spatial	Immune vs Epithelial	0.26863304789089754	NA	1	Epi. vs Imm.	Moran's I (N=2,000)
nbumi	expression	Full vs Epithelial	0.8009980853585515	0.004511935375003342	3	Full vs Epi.	NBumi (N=2,000)
nbumi	expression	Full vs Immune	0.48203526437548716	0.0032946400735964737	3	Full vs Imm.	NBumi (N=2,000)
nbumi	expression	Immune vs Epithelial	0.4069644741470278	0	3	Epi. vs Imm.	NBumi (N=2,000)
nnsvg	spatial	Full vs Epithelial	0.7777777777777778	NA	1	Full vs Epi.	nnSVG (N=2,000)
nnsvg	spatial	Full vs Immune	0.4732965009208103	NA	1	Full vs Imm.	nnSVG (N=2,000)
nnsvg	spatial	Immune vs Epithelial	0.42857142857142855	NA	1	Epi. vs Imm.	nnSVG (N=2,000)
osca	expression	Full vs Epithelial	0.6501650165016502	NA	1	Full vs Epi.	OSCA (N=2,000)
osca	expression	Full vs Immune	0.2702445220704986	NA	1	Full vs Imm.	OSCA (N=2,000)
osca	expression	Immune vs Epithelial	0.2161751292186075	NA	1	Epi. vs Imm.	OSCA (N=2,000)
random	control	Full vs Epithelial	NA	0	3	Full vs Epi.	Random (N=500)
random	control	Full vs Immune	NA	0	3	Full vs Imm.	Random (N=500)
random	control	Immune vs Epithelial	NA	0	3	Epi. vs Imm.	Random (N=500)
scPNMF	expression	Full vs Epithelial	0.3081988517914717	0.10150167881142706	3	Full vs Epi.	scPNMF (N=2,000)
scPNMF	expression	Full vs Immune	0.3683063253061656	0.01825073261575988	3	Full vs Imm.	scPNMF (N=2,000)
scPNMF	expression	Immune vs Epithelial	0.2746362252927513	0.03033746712767486	3	Epi. vs Imm.	scPNMF (N=2,000)
scanpy_cell_ranger	expression	Full vs Epithelial	0.6722408026755853	NA	1	Full vs Epi.	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Full vs Immune	0.3831258644536653	NA	1	Full vs Imm.	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Immune vs Epithelial	0.3149243918474688	NA	1	Epi. vs Imm.	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger_batch	expression	Full vs Epithelial	0.6481252575195715	NA	1	Full vs Epi.	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Full vs Immune	0.20772946859903385	NA	1	Full vs Imm.	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Immune vs Epithelial	0.17405341943058408	NA	1	Epi. vs Imm.	Scanpy Cell Ranger, batch (N=2,000)
scanpy_pearson	expression	Full vs Epithelial	0.669449081803005	NA	1	Full vs Epi.	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Full vs Immune	0.46466495789088247	NA	1	Full vs Imm.	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Immune vs Epithelial	0.35547272111148764	NA	1	Epi. vs Imm.	Scanpy Pearson (N=2,000)
scanpy_pearson_batch	expression	Full vs Epithelial	0.447178002894356	NA	1	Full vs Epi.	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Full vs Immune	0.20772946859903385	NA	1	Full vs Imm.	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Immune vs Epithelial	0.20336943441636585	NA	1	Epi. vs Imm.	Scanpy Pearson, batch (N=2,000)
scanpy_seurat	expression	Full vs Epithelial	0.49588631264023936	NA	1	Full vs Epi.	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Full vs Immune	0.28	NA	1	Full vs Imm.	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Immune vs Epithelial	0.11358574610244988	NA	1	Epi. vs Imm.	Scanpy Seurat (N=2,000)
scanpy_seurat_batch	expression	Full vs Epithelial	0.5077271013946476	NA	1	Full vs Epi.	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Full vs Immune	0.25865324103209564	NA	1	Full vs Imm.	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Immune vs Epithelial	0.1517420097898071	NA	1	Epi. vs Imm.	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_v3	expression	Full vs Epithelial	0.7644464049404499	NA	1	Full vs Epi.	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Full vs Immune	0.28369704749679076	NA	1	Full vs Imm.	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Immune vs Epithelial	0.21876904326630103	NA	1	Epi. vs Imm.	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3_batch	expression	Full vs Epithelial	0.4513788098693759	NA	1	Full vs Epi.	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Full vs Immune	0.17750956726523404	NA	1	Full vs Imm.	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Immune vs Epithelial	0.11203780928551572	NA	1	Epi. vs Imm.	Scanpy Seurat v3, batch (N=2,000)
scry	expression	Full vs Epithelial	0.8823529411764706	NA	1	Full vs Epi.	scry (N=2,000)
scry	expression	Full vs Immune	0.7459624618070712	NA	1	Full vs Imm.	scry (N=2,000)
scry	expression	Immune vs Epithelial	0.6583747927031509	NA	1	Epi. vs Imm.	scry (N=2,000)
scsegindex	control	Full vs Epithelial	0.04602510460251046	NA	1	Full vs Epi.	scSEGIndex (N=500)
scsegindex	control	Full vs Immune	0.001001001001001	NA	1	Full vs Imm.	scSEGIndex (N=500)
scsegindex	control	Immune vs Epithelial	0	NA	1	Epi. vs Imm.	scSEGIndex (N=500)
seurat_disp	expression	Full vs Epithelial	0.5209125475285171	NA	1	Full vs Epi.	Seurat Dispersion (N=2,000)
seurat_disp	expression	Full vs Immune	0.30039011703511054	NA	1	Full vs Imm.	Seurat Dispersion (N=2,000)
seurat_disp	expression	Immune vs Epithelial	0.13765642775881684	NA	1	Epi. vs Imm.	Seurat Dispersion (N=2,000)
seurat_mvp	expression	Full vs Epithelial	0.4540682414698163	NA	1	Full vs Epi.	Seurat MVP (N=2,000)
seurat_mvp	expression	Full vs Immune	0.2222222222222222	NA	1	Full vs Imm.	Seurat MVP (N=2,000)
seurat_mvp	expression	Immune vs Epithelial	0.1207745323268789	NA	1	Epi. vs Imm.	Seurat MVP (N=2,000)
seurat_sct	expression	Full vs Epithelial	0.6954015597299417	0.004333303031572935	3	Full vs Epi.	Seurat sctransform (N=2,000)
seurat_sct	expression	Full vs Immune	0.5420339200281085	0.005658938461582353	3	Full vs Imm.	Seurat sctransform (N=2,000)
seurat_sct	expression	Immune vs Epithelial	0.4390220032677744	0.0010773222403479043	3	Epi. vs Imm.	Seurat sctransform (N=2,000)
seurat_vst	expression	Full vs Epithelial	0.7644464049404499	NA	1	Full vs Epi.	Seurat VST (N=2,000)
seurat_vst	expression	Full vs Immune	0.28328521013795316	NA	1	Full vs Imm.	Seurat VST (N=2,000)
seurat_vst	expression	Immune vs Epithelial	0.21876904326630103	NA	1	Epi. vs Imm.	Seurat VST (N=2,000)
singleCellHaystack	expression	Full vs Epithelial	0.4790941041990973	0.11708801090162438	3	Full vs Epi.	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Full vs Immune	0.07111248802272907	0.054283035729175345	3	Full vs Imm.	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Immune vs Epithelial	0.03439358675976209	0	3	Epi. vs Imm.	singleCellHaystack (N=2,000)
somde	spatial	Full vs Epithelial	0.1954572624028691	NA	1	Full vs Epi.	SOMDE (N=2,000)
somde	spatial	Full vs Immune	0.15606936416184972	NA	1	Full vs Imm.	SOMDE (N=2,000)
somde	spatial	Immune vs Epithelial	0.09649122807017543	NA	1	Epi. vs Imm.	SOMDE (N=2,000)
sparkx	spatial	Full vs Epithelial	0.8323408153916628	NA	1	Full vs Epi.	SPARK-X (N=2,000)
sparkx	spatial	Full vs Immune	0.4614541468761418	NA	1	Full vs Imm.	SPARK-X (N=2,000)
sparkx	spatial	Immune vs Epithelial	0.46092037983929873	NA	1	Epi. vs Imm.	SPARK-X (N=2,000)
spatialde	spatial	Full vs Epithelial	0.6994762675165251	8.335209518890722e-4	3	Full vs Epi.	SpatialDE (N=2,000)
spatialde	spatial	Full vs Immune	0.2741590875515286	0.0024784020937999615	3	Full vs Imm.	SpatialDE (N=2,000)
spatialde	spatial	Immune vs Epithelial	0.2364765948671631	0.0010116570611435752	3	Epi. vs Imm.	SpatialDE (N=2,000)
statistic_mean	expression	Full vs Epithelial	0.9083969465648856	NA	1	Full vs Epi.	Mean expression (N=2,000)
statistic_mean	expression	Full vs Immune	0.759788825340959	NA	1	Full vs Imm.	Mean expression (N=2,000)
statistic_mean	expression	Immune vs Epithelial	0.6891891891891891	NA	1	Epi. vs Imm.	Mean expression (N=2,000)
statistic_variance	expression	Full vs Epithelial	0.8867924528301887	NA	1	Full vs Epi.	Expression variance (N=2,000)
statistic_variance	expression	Full vs Immune	0.7921146953405018	NA	1	Full vs Imm.	Expression variance (N=2,000)
statistic_variance	expression	Immune vs Epithelial	0.7035775127768313	NA	1	Epi. vs Imm.	Expression variance (N=2,000)
triku	expression	Full vs Epithelial	0.6510845273187644	0.005300618981430759	3	Full vs Epi.	triku (N=2,000)
triku	expression	Full vs Immune	0.3636373500582726	0.0014206825736806906	3	Full vs Imm.	triku (N=2,000)
triku	expression	Immune vs Epithelial	0.252740369558409	0	3	Epi. vs Imm.	triku (N=2,000)
wilcoxon	label_informed	Full vs Epithelial	0.2682308180088776	NA	1	Full vs Epi.	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Full vs Immune	0.1813349084465446	NA	1	Full vs Imm.	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Immune vs Epithelial	0.06666666666666667	NA	1	Epi. vs Imm.	Wilcoxon (label-informed) (N=2,000)
