method	group	context	lineage	MeanProp	SDProp	NSeeds	Context	Lineage	Method
Brennecke	expression	Epithelial	Epithelial	0.535	0.2775337817275584	1	Epithelial	Epithelial	Brennecke (N=2,000)
Brennecke	expression	Epithelial	Immune	0.515	0.385	1	Epithelial	Immune	Brennecke (N=2,000)
Brennecke	expression	Full	Epithelial	0.5325	0.267149302825218	1	Full	Epithelial	Brennecke (N=2,000)
Brennecke	expression	Full	Immune	0.5	0.4	1	Full	Immune	Brennecke (N=2,000)
Brennecke	expression	Immune	Epithelial	0.35	0.1051189802081432	1	Immune	Epithelial	Brennecke (N=2,000)
Brennecke	expression	Immune	Immune	0.355	0.125	1	Immune	Immune	Brennecke (N=2,000)
TFs	control	Epithelial	Epithelial	0.0375	0.02772634126602354	1	Epithelial	Epithelial	Transcription factors (N=2,000)
TFs	control	Epithelial	Immune	0.07	0.06	1	Epithelial	Immune	Transcription factors (N=2,000)
TFs	control	Full	Epithelial	0.0375	0.02772634126602354	1	Full	Epithelial	Transcription factors (N=2,000)
TFs	control	Full	Immune	0.07	0.06	1	Full	Immune	Transcription factors (N=2,000)
TFs	control	Immune	Epithelial	0.0375	0.02772634126602354	1	Immune	Epithelial	Transcription factors (N=2,000)
TFs	control	Immune	Immune	0.07	0.06	1	Immune	Immune	Transcription factors (N=2,000)
all_features	control	Epithelial	Epithelial	NA	NA	1	Epithelial	Epithelial	All features
all_features	control	Epithelial	Immune	NA	NA	1	Epithelial	Immune	All features
all_features	control	Full	Epithelial	NA	NA	1	Full	Epithelial	All features
all_features	control	Full	Immune	NA	NA	1	Full	Immune	All features
all_features	control	Immune	Epithelial	NA	NA	1	Immune	Epithelial	All features
all_features	control	Immune	Immune	NA	NA	1	Immune	Immune	All features
anticor	expression	Epithelial	Epithelial	0.7266666666666667	0.214671025030164	3	Epithelial	Epithelial	Anticor (N=2,000)
anticor	expression	Epithelial	Immune	0.7783333333333333	0.07833333333333332	3	Epithelial	Immune	Anticor (N=2,000)
anticor	expression	Full	Epithelial	0.7041666666666667	0.22540893833512865	3	Full	Epithelial	Anticor (N=2,000)
anticor	expression	Full	Immune	0.8166666666666667	0.12333333333333334	3	Full	Immune	Anticor (N=2,000)
anticor	expression	Immune	Epithelial	0.725	0.1757128339080558	3	Immune	Epithelial	Anticor (N=2,000)
anticor	expression	Immune	Immune	0.925	0.07500000000000001	3	Immune	Immune	Anticor (N=2,000)
dubstepr	expression	Epithelial	Epithelial	0.845	0.10499999999999995	3	Epithelial	Epithelial	DUBStepR (N=2,000)
dubstepr	expression	Epithelial	Immune	0.795	0.005	3	Epithelial	Immune	DUBStepR (N=2,000)
dubstepr	expression	Full	Epithelial	0.8116666666666666	0.1333384980928768	3	Full	Epithelial	DUBStepR (N=2,000)
dubstepr	expression	Full	Immune	0.785	0.031666666666666655	3	Full	Immune	DUBStepR (N=2,000)
dubstepr	expression	Immune	Epithelial	0.635	0.21639085008382403	3	Immune	Epithelial	DUBStepR (N=2,000)
dubstepr	expression	Immune	Immune	0.795	0.005	3	Immune	Immune	DUBStepR (N=2,000)
hotspot	expression	Epithelial	Epithelial	0.9458333333333333	0.04551664259092472	3	Epithelial	Epithelial	Hotspot (N=2,000)
hotspot	expression	Epithelial	Immune	0.86	0.14	3	Epithelial	Immune	Hotspot (N=2,000)
hotspot	expression	Full	Epithelial	0.9258333333333333	0.0560702373712102	3	Full	Epithelial	Hotspot (N=2,000)
hotspot	expression	Full	Immune	0.8316666666666667	0.16833333333333333	3	Full	Immune	Hotspot (N=2,000)
hotspot	expression	Immune	Epithelial	0.7525	0.17020208576865326	3	Immune	Epithelial	Hotspot (N=2,000)
hotspot	expression	Immune	Immune	0.81	0.19	3	Immune	Immune	Hotspot (N=2,000)
morans_i	spatial	Epithelial	Epithelial	0.86	0.1055935604097144	1	Epithelial	Epithelial	Moran's I (N=2,000)
morans_i	spatial	Epithelial	Immune	0.91	0.06	1	Epithelial	Immune	Moran's I (N=2,000)
morans_i	spatial	Full	Epithelial	0.89	0.09137833441248532	1	Full	Epithelial	Moran's I (N=2,000)
morans_i	spatial	Full	Immune	0.935	0.05499999999999999	1	Full	Immune	Moran's I (N=2,000)
morans_i	spatial	Immune	Epithelial	0.6224999999999999	0.08584142356694699	1	Immune	Epithelial	Moran's I (N=2,000)
morans_i	spatial	Immune	Immune	0.66	0.27	1	Immune	Immune	Moran's I (N=2,000)
nbumi	expression	Epithelial	Epithelial	0.7075	0.30515364982251153	3	Epithelial	Epithelial	NBumi (N=2,000)
nbumi	expression	Epithelial	Immune	0.515	0.305	3	Epithelial	Immune	NBumi (N=2,000)
nbumi	expression	Full	Epithelial	0.6933333333333334	0.3440117650396245	3	Full	Epithelial	NBumi (N=2,000)
nbumi	expression	Full	Immune	0.49666666666666665	0.3466666666666666	3	Full	Immune	NBumi (N=2,000)
nbumi	expression	Immune	Epithelial	0.5675	0.36196512262923897	3	Immune	Epithelial	NBumi (N=2,000)
