fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds	FullMarkerOverlap	Difference
Brennecke	Epithelial	Keratinocyte	0.25	NA	1	0.26	-0.010000000000000009
Brennecke	Epithelial	Merkel Cell	0.66	NA	1	0.64	0.020000000000000018
Brennecke	Epithelial	Progenitor Cell	0.93	NA	1	0.92	0.010000000000000009
Brennecke	Epithelial	Stem Cell	0.3	NA	1	0.31	-0.010000000000000009
Brennecke	Immune	Langerhans Cell	0.48	NA	1	0.9	-0.42000000000000004
Brennecke	Immune	T Cell	0.23	NA	1	0.1	0.13
TFs	Epithelial	Keratinocyte	0.06	NA	1	0.06	0
TFs	Epithelial	Merkel Cell	0.01	NA	1	0.01	0
TFs	Epithelial	Progenitor Cell	0.01	NA	1	0.01	0
TFs	Epithelial	Stem Cell	0.07	NA	1	0.07	0
TFs	Immune	Langerhans Cell	0.01	NA	1	0.01	0
TFs	Immune	T Cell	0.13	NA	1	0.13	0
all_features	Epithelial	Keratinocyte	1	NA	1	1	0
all_features	Epithelial	Merkel Cell	1	NA	1	1	0
all_features	Epithelial	Progenitor Cell	1	NA	1	1	0
all_features	Epithelial	Stem Cell	1	NA	1	1	0
all_features	Immune	Langerhans Cell	1	NA	1	1	0
all_features	Immune	T Cell	1	NA	1	1	0
anticor	Epithelial	Keratinocyte	1	NA	3	1	0
anticor	Epithelial	Merkel Cell	0.39999999999999997	NA	3	0.36666666666666664	0.033333333333333326
anticor	Epithelial	Progenitor Cell	0.7266666666666667	NA	3	0.7066666666666667	0.020000000000000018
anticor	Epithelial	Stem Cell	0.78	NA	3	0.7433333333333333	0.036666666666666736
anticor	Immune	Langerhans Cell	1	NA	3	0.94	0.06000000000000005
anticor	Immune	T Cell	0.85	NA	3	0.6933333333333334	0.15666666666666662
dubstepr	Epithelial	Keratinocyte	0.97	NA	3	0.97	0
dubstepr	Epithelial	Merkel Cell	0.68	NA	3	0.61	0.07000000000000006
dubstepr	Epithelial	Progenitor Cell	0.85	NA	3	0.7866666666666667	0.06333333333333324
dubstepr	Epithelial	Stem Cell	0.88	NA	3	0.88	0
dubstepr	Immune	Langerhans Cell	0.79	NA	3	0.8166666666666667	-0.026666666666666616
dubstepr	Immune	T Cell	0.8	NA	3	0.7533333333333333	0.046666666666666745
hotspot	Epithelial	Keratinocyte	0.9533333333333333	NA	3	0.95	0.0033333333333332993
hotspot	Epithelial	Merkel Cell	0.9466666666666667	NA	3	0.8866666666666667	0.05999999999999994
hotspot	Epithelial	Progenitor Cell	1	NA	3	1	0
hotspot	Epithelial	Stem Cell	0.8833333333333333	NA	3	0.8666666666666667	0.016666666666666607
hotspot	Immune	Langerhans Cell	1	NA	3	1	0
hotspot	Immune	T Cell	0.62	NA	3	0.6633333333333333	-0.043333333333333335
morans_i	Epithelial	Keratinocyte	0.99	NA	1	1	-0.010000000000000009
morans_i	Epithelial	Merkel Cell	0.71	NA	1	0.75	-0.040000000000000036
morans_i	Epithelial	Progenitor Cell	0.82	NA	1	0.88	-0.06000000000000005
morans_i	Epithelial	Stem Cell	0.92	NA	1	0.93	-0.010000000000000009
morans_i	Immune	Langerhans Cell	0.93	NA	1	0.99	-0.05999999999999994
morans_i	Immune	T Cell	0.39	NA	1	0.88	-0.49
nbumi	Epithelial	Keratinocyte	0.99	NA	3	1	-0.010000000000000009
nbumi	Epithelial	Merkel Cell	0.75	NA	3	0.7566666666666667	-0.00666666666666671
nbumi	Epithelial	Progenitor Cell	0.2	NA	3	0.11666666666666667	0.08333333333333334
nbumi	Epithelial	Stem Cell	0.89	NA	3	0.9	-0.010000000000000009
nbumi	Immune	Langerhans Cell	0.13	NA	3	0.15	-0.01999999999999999
nbumi	Immune	T Cell	0.92	NA	3	0.8433333333333333	0.07666666666666677
nnsvg	Epithelial	Keratinocyte	1	NA	1	1	0
nnsvg	Epithelial	Merkel Cell	0.52	NA	1	0.5	0.020000000000000018
nnsvg	Epithelial	Progenitor Cell	0.7	NA	1	0.83	-0.13
nnsvg	Epithelial	Stem Cell	0.91	NA	1	0.91	0
nnsvg	Immune	Langerhans Cell	0.88	NA	1	0.84	0.040000000000000036
nnsvg	Immune	T Cell	0.53	NA	1	0.89	-0.36
osca	Epithelial	Keratinocyte	0.46	NA	1	0.49	-0.02999999999999997
osca	Epithelial	Merkel Cell	0.84	NA	1	0.79	0.04999999999999993
osca	Epithelial	Progenitor Cell	0.93	NA	1	0.94	-0.009999999999999898
osca	Epithelial	Stem Cell	0.49	NA	1	0.54	-0.050000000000000044
osca	Immune	Langerhans Cell	0.83	NA	1	0.9	-0.07000000000000006
osca	Immune	T Cell	0.42	NA	1	0.31	0.10999999999999999
random	Epithelial	Keratinocyte	0.02	NA	3	0.02	0
