fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds
Brennecke	Epithelial	Keratinocyte	0.25	NA	1
Brennecke	Epithelial	Merkel Cell	0.66	NA	1
Brennecke	Epithelial	Progenitor Cell	0.93	NA	1
Brennecke	Epithelial	Stem Cell	0.3	NA	1
Brennecke	Full	Keratinocyte	0.26	NA	1
Brennecke	Full	Langerhans Cell	0.9	NA	1
Brennecke	Full	Merkel Cell	0.64	NA	1
Brennecke	Full	Progenitor Cell	0.92	NA	1
Brennecke	Full	Stem Cell	0.31	NA	1
Brennecke	Full	T Cell	0.1	NA	1
Brennecke	Immune	Langerhans Cell	0.48	NA	1
Brennecke	Immune	T Cell	0.23	NA	1
TFs	Epithelial	Keratinocyte	0.06	NA	1
TFs	Epithelial	Merkel Cell	0.01	NA	1
TFs	Epithelial	Progenitor Cell	0.01	NA	1
TFs	Epithelial	Stem Cell	0.07	NA	1
TFs	Full	Keratinocyte	0.06	NA	1
TFs	Full	Langerhans Cell	0.01	NA	1
TFs	Full	Merkel Cell	0.01	NA	1
TFs	Full	Progenitor Cell	0.01	NA	1
TFs	Full	Stem Cell	0.07	NA	1
TFs	Full	T Cell	0.13	NA	1
TFs	Immune	Langerhans Cell	0.01	NA	1
TFs	Immune	T Cell	0.13	NA	1
all_features	Epithelial	Keratinocyte	1	NA	1
all_features	Epithelial	Merkel Cell	1	NA	1
all_features	Epithelial	Progenitor Cell	1	NA	1
all_features	Epithelial	Stem Cell	1	NA	1
all_features	Full	Keratinocyte	1	NA	1
all_features	Full	Langerhans Cell	1	NA	1
all_features	Full	Merkel Cell	1	NA	1
all_features	Full	Progenitor Cell	1	NA	1
all_features	Full	Stem Cell	1	NA	1
all_features	Full	T Cell	1	NA	1
all_features	Immune	Langerhans Cell	1	NA	1
all_features	Immune	T Cell	1	NA	1
anticor	Epithelial	Keratinocyte	1	NA	3
anticor	Epithelial	Merkel Cell	0.39999999999999997	NA	3
anticor	Epithelial	Progenitor Cell	0.7266666666666667	NA	3
anticor	Epithelial	Stem Cell	0.78	NA	3
anticor	Full	Keratinocyte	1	NA	3
anticor	Full	Langerhans Cell	0.94	NA	3
anticor	Full	Merkel Cell	0.36666666666666664	NA	3
anticor	Full	Progenitor Cell	0.7066666666666667	NA	3
anticor	Full	Stem Cell	0.7433333333333333	NA	3
anticor	Full	T Cell	0.6933333333333334	NA	3
anticor	Immune	Langerhans Cell	1	NA	3
anticor	Immune	T Cell	0.85	NA	3
dubstepr	Epithelial	Keratinocyte	0.97	NA	3
dubstepr	Epithelial	Merkel Cell	0.68	NA	3
dubstepr	Epithelial	Progenitor Cell	0.85	NA	3
dubstepr	Epithelial	Stem Cell	0.88	NA	3
dubstepr	Full	Keratinocyte	0.97	NA	3
dubstepr	Full	Langerhans Cell	0.8166666666666667	NA	3
dubstepr	Full	Merkel Cell	0.61	NA	3
dubstepr	Full	Progenitor Cell	0.7866666666666667	NA	3
dubstepr	Full	Stem Cell	0.88	NA	3
dubstepr	Full	T Cell	0.7533333333333333	NA	3
dubstepr	Immune	Langerhans Cell	0.79	NA	3
dubstepr	Immune	T Cell	0.8	NA	3
hotspot	Epithelial	Keratinocyte	0.9533333333333333	NA	3
hotspot	Epithelial	Merkel Cell	0.9466666666666667	NA	3
hotspot	Epithelial	Progenitor Cell	1	NA	3
hotspot	Epithelial	Stem Cell	0.8833333333333333	NA	3
hotspot	Full	Keratinocyte	0.95	NA	3
hotspot	Full	Langerhans Cell	1	NA	3
hotspot	Full	Merkel Cell	0.8866666666666667	NA	3
hotspot	Full	Progenitor Cell	1	NA	3
hotspot	Full	Stem Cell	0.8666666666666667	NA	3
hotspot	Full	T Cell	0.6633333333333333	NA	3
hotspot	Immune	Langerhans Cell	1	NA	3
hotspot	Immune	T Cell	0.62	NA	3
morans_i	Epithelial	Keratinocyte	0.99	NA	1
morans_i	Epithelial	Merkel Cell	0.71	NA	1
morans_i	Epithelial	Progenitor Cell	0.82	NA	1
morans_i	Epithelial	Stem Cell	0.92	NA	1
morans_i	Full	Keratinocyte	1	NA	1
morans_i	Full	Langerhans Cell	0.99	NA	1
morans_i	Full	Merkel Cell	0.75	NA	1
morans_i	Full	Progenitor Cell	0.88	NA	1
morans_i	Full	Stem Cell	0.93	NA	1
morans_i	Full	T Cell	0.88	NA	1
morans_i	Immune	Langerhans Cell	0.93	NA	1
morans_i	Immune	T Cell	0.39	NA	1
nbumi	Epithelial	Keratinocyte	0.99	NA	3
nbumi	Epithelial	Merkel Cell	0.75	NA	3
nbumi	Epithelial	Progenitor Cell	0.2	NA	3
nbumi	Epithelial	Stem Cell	0.89	NA	3
nbumi	Full	Keratinocyte	1	NA	3
nbumi	Full	Langerhans Cell	0.15	NA	3
nbumi	Full	Merkel Cell	0.7566666666666667	NA	3
nbumi	Full	Progenitor Cell	0.11666666666666667	NA	3
nbumi	Full	Stem Cell	0.9	NA	3
nbumi	Full	T Cell	0.8433333333333333	NA	3
nbumi	Immune	Langerhans Cell	0.13	NA	3
nbumi	Immune	T Cell	0.92	NA	3
nnsvg	Epithelial	Keratinocyte	1	NA	1
nnsvg	Epithelial	Merkel Cell	0.52	NA	1
nnsvg	Epithelial	Progenitor Cell	0.7	NA	1
nnsvg	Epithelial	Stem Cell	0.91	NA	1
nnsvg	Full	Keratinocyte	1	NA	1
nnsvg	Full	Langerhans Cell	0.84	NA	1
nnsvg	Full	Merkel Cell	0.5	NA	1
nnsvg	Full	Progenitor Cell	0.83	NA	1
nnsvg	Full	Stem Cell	0.91	NA	1
nnsvg	Full	T Cell	0.89	NA	1
nnsvg	Immune	Langerhans Cell	0.88	NA	1
nnsvg	Immune	T Cell	0.53	NA	1
osca	Epithelial	Keratinocyte	0.46	NA	1
osca	Epithelial	Merkel Cell	0.84	NA	1
osca	Epithelial	Progenitor Cell	0.93	NA	1
osca	Epithelial	Stem Cell	0.49	NA	1
osca	Full	Keratinocyte	0.49	NA	1
osca	Full	Langerhans Cell	0.9	NA	1
osca	Full	Merkel Cell	0.79	NA	1
osca	Full	Progenitor Cell	0.94	NA	1
osca	Full	Stem Cell	0.54	NA	1
osca	Full	T Cell	0.31	NA	1
osca	Immune	Langerhans Cell	0.83	NA	1
osca	Immune	T Cell	0.42	NA	1
random	Epithelial	Keratinocyte	0.02	NA	3
random	Epithelial	Merkel Cell	0.02666666666666667	NA	3
random	Epithelial	Progenitor Cell	0.02333333333333333	NA	3
random	Epithelial	Stem Cell	0.02666666666666667	NA	3
random	Full	Keratinocyte	0.02	NA	3
random	Full	Langerhans Cell	0.016666666666666666	NA	3
random	Full	Merkel Cell	0.02666666666666667	NA	3
random	Full	Progenitor Cell	0.02333333333333333	NA	3
random	Full	Stem Cell	0.02666666666666667	NA	3
random	Full	T Cell	0.04	NA	3
random	Immune	Langerhans Cell	0.016666666666666666	NA	3
random	Immune	T Cell	0.04	NA	3
scPNMF	Epithelial	Keratinocyte	0.66	NA	3
scPNMF	Epithelial	Merkel Cell	0.74	NA	3
