fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
scanpy_seurat_v3	cellcharter	expression_driven	0.600378938010236	0.153703598398784	17.571428571428573	12.190941211368694	7	0.7615193201193083	0.04911689042852387	9.142857142857142	9.616454152970858	7	0.9506678635073391	0.004419355593937341	15.5	19.091883092036785	2	0.6809491290647721	0.07821727477959145	7.285714285714286	5.677860093212515	7	0.82946369589773	0.0024053321397622886	6.0	7.0710678118654755	2	1.5
seurat_vst	cellcharter	expression_driven	0.6013092095153605	0.15472363461134708	17.428571428571427	12.660399452059728	7	0.7559399299893491	0.05302856329711256	9.0	10.04987562112089	7	0.9513612720531691	0.007838346530627238	15.0	16.97056274847714	2	0.6786245697523549	0.08063246767325345	7.285714285714286	5.437961803049794	7	0.8287706153218843	9.414788928242497e-05	5.0	4.242640687119285	2	1.5
scanpy_seurat_v3_batch	cellcharter	expression_driven	0.6087660647348859	0.14576567782124966	16.428571428571427	10.097147168996843	7	0.7502799760022673	0.03416118751854383	7.714285714285714	8.788520651286838	7	0.9466076238304132	0.01671612063838334	14.5	10.606601717798213	2	0.6795230203685767	0.07721940383251057	7.857142857142857	5.459809869356607	7	0.8239698510651041	0.006949920624160846	6.5	0.7071067811865476	2	3.0
scanpy_cell_ranger_batch	cellcharter	expression_driven	0.6292689419316172	0.1260063779393764	10.285714285714286	6.993193970194299	7	0.7202499920272688	0.050194384725476916	17.857142857142858	12.772738827004064	7	0.9000485386351276	0.08150047633578522	28.0	4.242640687119285	2	0.6747594669794431	0.062462877448600074	8.571428571428571	8.343802947040853	7	0.7870922763716897	0.06000471660451837	16.5	16.263455967290593	2	4.0
nbumi	cellcharter	expression_driven	0.613673846448339	0.13436794821873127	17.0	11.060440015358038	7	0.7367663483850523	0.043421892556515386	9.142857142857142	4.845223470201398	7	0.9506225487582396	0.017774329418702155	8.5	4.949747468305833	2	0.6752200974166955	0.08128773216880257	9.857142857142858	5.459809869356607	7	0.8237641017613702	0.005892874869924228	7.0	4.242640687119285	2	5.0
wilcoxon	cellcharter	label_informed	0.6369900941588936	0.12602818921047962	22.2	11.497825881443848	5	0.7690193715359864	0.017818437335058574	10.0	10.700467279516348	5	0.9554888802805311	0.006949565126384189	10.0	12.727922061357855	2	0.70300473284744	0.06535470869303653	10.6	13.164345787011218	5	0.8145314692278085	0.013386198510423532	17.0	19.79898987322333	2	6.0
triku	cellcharter	expression_driven	0.6039803337046374	0.15031543713102868	17.571428571428573	13.525989093311475	7	0.733750492508813	0.03214169132071357	10.428571428571429	6.477065767180456	7	0.9499952738171185	0.011603991211141793	13.5	13.435028842544403	2	0.6688654131067252	0.08837712900131513	12.428571428571429	10.627905765125176	7	0.824574237017442	0.007411997653754469	4.5	0.7071067811865476	2	7.0
singleCellHaystack	cellcharter	expression_driven	0.6143056888965789	0.1317128806852166	15.0	7.831560082980487	7	0.7139184862728822	0.06662000613991242	12.714285714285714	8.731442906993966	7	0.9470610668861366	0.015424693285602201	15.0	12.727922061357855	2	0.6641120875847306	0.08588739076681925	13.285714285714286	6.945365018348226	7	0.81531963854914	0.013490028879802643	14.5	7.7781745930520225	2	8.0
seurat_mvp	cellcharter	expression_driven	0.6287600433915703	0.12567707917470722	15.285714285714286	9.5343988748511	7	0.6983638159312563	0.07313874081894589	15.857142857142858	8.933617621631441	7	0.91175850512599	0.06454484803925124	26.5	0.7071067811865476	2	0.6635619296614133	0.07570236816163987	13.857142857142858	8.029706749078105	7	0.7899301725261294	0.04881751994551978	23.0	0.0	2	9.0
scanpy_cell_ranger	cellcharter	expression_driven	0.6125299822704778	0.14117270063978646	15.0	9.237604307034012	7	0.7192299330656879	0.06006368427687767	15.0	12.138094304022083	7	0.8997963496019514	0.07966847350227477	29.0	1.4142135623730951	2	0.665879957668083	0.07400709567923618	14.0	12.727922061357855	7	0.7773583911600654	0.07087452140071983	21.0	12.727922061357855	2	10.0
