Reference	method	Metric	Mean	SD	NFolds
Moran's I	all_features	ARI	0.3699842588722151	0.26165608047165306	6
Moran's I	all_features	Jaccard			0
Moran's I	all_features	MeanReferencePercentile			0
Moran's I	all_features	NMI	0.476369852841067	0.2537471485516944	6
Moran's I	all_features	RankSpearman			0
Moran's I	morans_i	ARI	0.37398681339935247	0.2588091694244334	6
Moran's I	morans_i	Jaccard	0.5705094177931009	0.22044874503871303	6
Moran's I	morans_i	MeanReferencePercentile	0.8988088851028122	0.05068529344565042	6
Moran's I	morans_i	NMI	0.47102851068211143	0.2564453123011554	6
Moran's I	morans_i	RankSpearman	0.4503566734613161	0.06288840220157602	6
Moran's I	nnsvg	ARI	0.3584339626917987	0.24373820571593863	6
Moran's I	nnsvg	Jaccard	0.5448928932124247	0.205337518637237	6
Moran's I	nnsvg	MeanReferencePercentile	0.8976306780852076	0.05306019754970983	6
Moran's I	nnsvg	NMI	0.4621686021412131	0.2564606351604959	6
Moran's I	nnsvg	RankSpearman	0.4488761129716214	0.06522004312281406	6
Moran's I	random	ARI	0.28593754558877105	0.25566310744017323	6
Moran's I	random	Jaccard	0.0527310544922464	0.0030052662747496028	6
Moran's I	random	MeanReferencePercentile	0.4999065895131864	0.011332919944395167	6
Moran's I	random	NMI	0.36451816945261134	0.25374839187225673	6
Moran's I	random	RankSpearman	1.9699577129783246e-05	0.012758610693996962	6
Moran's I	scanpy_cell_ranger_batch	ARI	0.3158056623993411	0.2619216418632375	6
Moran's I	scanpy_cell_ranger_batch	Jaccard	0.17532589822115963	0.08865984571417712	6
Moran's I	scanpy_cell_ranger_batch	MeanReferencePercentile	0.6834932013931602	0.07466602340255692	6
Moran's I	scanpy_cell_ranger_batch	NMI	0.4148056135356856	0.25695009416134545	6
Moran's I	scanpy_cell_ranger_batch	RankSpearman	0.21269512889794762	0.08926375469485916	6
Moran's I	scanpy_seurat_v3_batch	ARI	0.3718954413480262	0.23198032314742684	6
Moran's I	scanpy_seurat_v3_batch	Jaccard	0.23201825451292424	0.15625333616646916	6
Moran's I	scanpy_seurat_v3_batch	MeanReferencePercentile	0.6730809685309208	0.13063190711927886	6
Moran's I	scanpy_seurat_v3_batch	NMI	0.4776464023712419	0.22202142769016606	6
Moran's I	scanpy_seurat_v3_batch	RankSpearman	0.1977568513639213	0.15362615973802526	6
Moran's I	scsegindex	ARI	0.2764376292636816	0.21497164205378763	6
Moran's I	scsegindex	Jaccard	0.16087094754031245	0.10562706607967683	6
Moran's I	scsegindex	MeanReferencePercentile	0.7243839770520378	0.10784281311767922	6
Moran's I	scsegindex	NMI	0.372937053833782	0.22842890684538594	6
Moran's I	scsegindex	RankSpearman	0.2462515451303154	0.11820752134435787	6
Moran's I	seurat_vst	ARI	0.36805996241585714	0.23477588238667402	6
Moran's I	seurat_vst	Jaccard	0.2759790989791217	0.12616677966836615	6
Moran's I	seurat_vst	MeanReferencePercentile	0.7085670173840728	0.09125993183008986	6
Moran's I	seurat_vst	NMI	0.4723869075232187	0.22652324291282788	6
Moran's I	seurat_vst	RankSpearman	0.2383124835318993	0.10926144414167473	6
Moran's I	singleCellHaystack	ARI	0.3196000018292871	0.24784129607876784	6
Moran's I	singleCellHaystack	Jaccard	0.3716448952535308	0.14085414607222296	6
Moran's I	singleCellHaystack	MeanReferencePercentile	0.8586931268830043	0.06574872128109041	6
Moran's I	singleCellHaystack	NMI	0.4298091210314882	0.25636547775776397	6
Moran's I	singleCellHaystack	RankSpearman	0.4026781702579561	0.07819832196082065	6
Moran's I	somde	ARI	0.3925502942316366	0.24961330178437807	6
Moran's I	somde	Jaccard	0.38347525873189525	0.16199058722050133	6
Moran's I	somde	MeanReferencePercentile	0.8199700038373673	0.07395156034589091	6
Moran's I	somde	NMI	0.48907499419868944	0.2394684305733944	6
Moran's I	somde	RankSpearman	0.363040723706406	0.08934286525693423	6
Moran's I	sparkx	ARI	0.3493196806755319	0.2745201064019074	6
Moran's I	sparkx	Jaccard	0.4135677334327084	0.13103358252247677	6
Moran's I	sparkx	MeanReferencePercentile	0.8756565794025556	0.05531773845618025	6
Moran's I	sparkx	NMI	0.44983394023505974	0.2764229287966289	6
Moran's I	sparkx	RankSpearman	0.4243326651544543	0.06669344468608387	6
Moran's I	spatialde	ARI	0.3836524416007683	0.2516718372868859	6
Moran's I	spatialde	Jaccard	0.4231738759154384	0.1393295120051643	6
Moran's I	spatialde	MeanReferencePercentile	0.8324028551844306	0.03347121387408434	6
Moran's I	spatialde	NMI	0.4776585231274985	0.2504696749251736	6
