dataset	fs_method	requested_n_features	effective_n_features
E8p5Embryo	hybrid_hvg_svg_union	2000	2000
E8p5Embryo	hybrid_hvg_svg_intersection	2000	253
STOmics0212	hybrid_hvg_svg_union	2000	2000
STOmics0212	hybrid_hvg_svg_intersection	2000	488
E9p5Embryo	hybrid_hvg_svg_union	2000	2000
E9p5Embryo	hybrid_hvg_svg_intersection	2000	290
DLPFC	hybrid_hvg_svg_union	2000	2000
DLPFC	hybrid_hvg_svg_intersection	2000	354
STOmics0218	hybrid_hvg_svg_union	2000	2000
STOmics0218	hybrid_hvg_svg_intersection	2000	889
MouseBrainSerialSections	hybrid_hvg_svg_union	2000	2000
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	1157
STOmics0224	hybrid_hvg_svg_union	2000	2000
STOmics0224	hybrid_hvg_svg_intersection	2000	134
