fs_method	integration_method	MethodGroup	MeanCoreOverall	SDCoreOverall	MeanDatasetRank	NDatasets	GlobalRankWithHybrids	EffectiveFeaturesMin	EffectiveFeaturesMedian	EffectiveFeaturesMax
Brennecke	cellcharter	expression_driven	0.6546457187503539	0.0817177717730782	17.571428571428573	7	20.0			
Brennecke	scvi	expression_driven	0.5851119358313622	0.07547322776585048	23.714285714285715	7	30.0			
anticor	cellcharter	expression_driven	0.66080315107439	0.07662542713179162	17.428571428571427	7	19.0			
anticor	scvi	expression_driven	0.601044428897267	0.08803414083892701	14.857142857142858	7	15.0			
dubstepr	cellcharter	expression_driven	0.654907786803137	0.0875507947973492	17.714285714285715	7	21.5			
dubstepr	scvi	expression_driven	0.6048140673024234	0.08083263143857229	12.428571428571429	7	8.5			
hotspot	cellcharter	expression_driven	0.6614716742216997	0.0782483875995067	15.714285714285714	7	13.5			
hotspot	scvi	expression_driven	0.5993863650596861	0.1073070327975296	15.285714285714286	7	16.5			
hybrid_hvg_svg_intersection	cellcharter	hybrid	0.6784691372756905	0.07207333035760552	8.142857142857142	7	4.0	134.0	354.0	1157.0
hybrid_hvg_svg_intersection	scvi	hybrid	0.6310514687489146	0.08860720452287463	11.571428571428571	7	5.0	134.0	354.0	1157.0
hybrid_hvg_svg_union	cellcharter	hybrid	0.6582673392191634	0.08748859348285593	18.714285714285715	7	24.0	2000.0	2000.0	2000.0
hybrid_hvg_svg_union	scvi	hybrid	0.5912193259333506	0.08999606015065266	18.571428571428573	7	21.0	2000.0	2000.0	2000.0
morans_i	cellcharter	spatially_informed	0.6555499485477939	0.09154669175023951	17.0	7	18.0			
morans_i	scvi	spatially_informed	0.5954664651928515	0.08096423370779982	15.428571428571429	7	18.0			
nbumi	cellcharter	expression_driven	0.6752339948366688	0.08127007377091824	9.428571428571429	7	6.0			
nbumi	scvi	expression_driven	0.6222333446890204	0.07987549297552655	12.285714285714286	7	7.0			
nnsvg	cellcharter	spatially_informed	0.6503461955231696	0.09146038876604648	18.428571428571427	7	23.0			
nnsvg	scvi	spatially_informed	0.6061721607654542	0.07103451522512957	13.285714285714286	7	10.0			
osca	cellcharter	expression_driven	0.6606061340871116	0.08814104211885522	13.857142857142858	7	9.5			
osca	scvi	expression_driven	0.6140739774693537	0.07688285724438654	11.142857142857142	7	3.0			
scPNMF	cellcharter	expression_driven	0.6420966246559653	0.08575186464821541	25.857142857142858	7	31.0			
scPNMF	scvi	expression_driven	0.5945129394603212	0.07644310743062543	18.714285714285715	7	22.5			
scanpy_cell_ranger	cellcharter	expression_driven	0.6658928286292882	0.07399816041674079	14.0	7	11.0			
scanpy_cell_ranger	scvi	expression_driven	0.6153167279362025	0.10766852588229886	15.571428571428571	7	19.0			
scanpy_cell_ranger_batch	cellcharter	expression_driven	0.6747723397059426	0.062449205873037275	8.714285714285714	7	5.0			
scanpy_cell_ranger_batch	scvi	expression_driven	0.6185084239380155	0.1037246018265446	13.714285714285714	7	11.5			
scanpy_pearson	cellcharter	expression_driven	0.6596445141929417	0.06900518324913366	17.714285714285715	7	21.5			
scanpy_pearson	scvi	expression_driven	0.6020598575072559	0.08114744294587796	12.428571428571429	7	8.5			
scanpy_pearson_batch	cellcharter	expression_driven	0.6625418219719296	0.07183599977743138	16.571428571428573	7	16.0			
scanpy_pearson_batch	scvi	expression_driven	0.5857146246515842	0.0946380357870439	18.142857142857142	7	20.0			
scanpy_seurat	cellcharter	expression_driven	0.6612398596940151	0.07455693900465465	15.857142857142858	7	15.0			
scanpy_seurat	scvi	expression_driven	0.6166900300585596	0.10188632204531928	21.142857142857142	7	26.0			
scanpy_seurat_batch	cellcharter	expression_driven	0.6584395702371176	0.07367700695315058	16.857142857142858	7	17.0			
scanpy_seurat_batch	scvi	expression_driven	0.6105871806394501	0.07651288761340669	18.714285714285715	7	22.5			
scanpy_seurat_v3	cellcharter	expression_driven	0.6809629123546675	0.07820452490104102	7.428571428571429	7	2.0			
scanpy_seurat_v3	scvi	expression_driven	0.6274660134683128	0.07927871330694845	12.0	7	6.0			
scanpy_seurat_v3_batch	cellcharter	expression_driven	0.6795362495914713	0.0772047957502	7.857142857142857	7	3.0			
scanpy_seurat_v3_batch	scvi	expression_driven	0.6134500372254987	0.07573657769484408	15.285714285714286	7	16.5			
scry	cellcharter	expression_driven	0.643672253557758	0.09413421299844048	20.714285714285715	7	25.0			
scry	scvi	expression_driven	0.5735257923722036	0.08938675856370977	21.857142857142858	7	29.0			
seurat_disp	cellcharter	expression_driven	0.6532039182151604	0.0731926416263704	20.857142857142858	7	26.0			
seurat_disp	scvi	expression_driven	0.5957870962367549	0.0854085399952388	18.857142857142858	7	24.0			
seurat_mvp	cellcharter	expression_driven	0.6635715143825155	0.07569278429845201	13.857142857142858	7	9.5			
seurat_mvp	scvi	expression_driven	0.616847031744482	0.0967095389669548	20.428571428571427	7	25.0			
seurat_sct	cellcharter	expression_driven	0.62204879836084	0.12983201628638164	21.285714285714285	7	27.0			
seurat_sct	scvi	expression_driven	0.5947226821092793	0.12023008939599644	14.142857142857142	7	13.0			
seurat_vst	cellcharter	expression_driven	0.6786383474337373	0.08062017293274937	7.142857142857143	7	1.0			
seurat_vst	scvi	expression_driven	0.628472630560216	0.08493360027977917	11.285714285714286	7	4.0			
singleCellHaystack	cellcharter	expression_driven	0.6641252544903812	0.08587086485270191	13.285714285714286	7	8.0			
singleCellHaystack	scvi	expression_driven	0.5990045676861427	0.11410461496217217	14.571428571428571	7	14.0			
somde	cellcharter	spatially_informed	0.6610569623284003	0.08907351769217224	15.714285714285714	7	13.5			
somde	scvi	spatially_informed	0.6112166857060343	0.0893153480408955	10.142857142857142	7	2.0			
sparkx	cellcharter	spatially_informed	0.6461363390760263	0.09049385236734157	23.285714285714285	7	29.0			
sparkx	scvi	spatially_informed	0.5792753688061992	0.0713081352695815	21.428571428571427	7	27.0			
