dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	Metric	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	alignment_eval	Accuracy	0.7456	0	59.1185776228	4476.4375	354	cache_signature=40b625cec8d7710e5bff91f5450165d4	Accuracy	1	0.7456	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.944902016472593
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	alignment_eval	Ratio	1.2216029893	0	59.1185776228	4476.4375	354	cache_signature=40b625cec8d7710e5bff91f5450165d4	Ratio	-1	-1.2216029893	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.916310646818151
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	silhouette	0.0969725475	0	59.629046659	4476.4375	354	cache_signature=8f13db566f0a75e232e1656442710916	silhouette	1	0.0969725475	0.0293384020666666	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.0795637096257079
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	ari	0.3269934511	0	59.629046659	4476.4375	354	cache_signature=8f13db566f0a75e232e1656442710916	ari	1	0.3269934511	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.8457453061588799
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	nmi	0.5013855998	0	59.629046659	4476.4375	354	cache_signature=8f13db566f0a75e232e1656442710916	nmi	1	0.5013855998	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.937882684490727
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	CHAOS	0.0589507247	0	59.629046659	4476.4375	354	cache_signature=8f13db566f0a75e232e1656442710916	CHAOS	-1	-0.0589507247	-0.0892011679	-0.0581763831	0.0310247848	ok	0.0310247848	0.9750411935169976
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	PAS	0.0463333333	0	59.629046659	4476.4375	354	cache_signature=8f13db566f0a75e232e1656442710916	PAS	-1	-0.0463333333	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9758008598266092
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	bASW	0.9608481415	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	bASW	1	0.9608481415	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9519445240211643
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	iLISI	0.1996833458	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	iLISI	1	0.1996833458	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.275196803354723
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dASW	0.5226503424	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	dASW	1	0.5226503424	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.9044408413566106
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dLISI	0.9356383696	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	dLISI	1	0.9356383696	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.967492664499909
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	ILL	0.6456927222	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	ILL	1	0.6456927222	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.8754211155335585
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	GC	0.9780968227	0	62.6352021061	4476.4375	354	cache_signature=f580de5453b3e951adc8666e924b33bf	GC	1	0.9780968227	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9791158944442211
